region_id,Age_40_44_NonInd_F,Age_40_44_NonInd_P,Age_40_44_Indig_st_nsM,Age_40_44_Indig_st_nsF,Age_40_44_Indig_st_nsP,Age_40_44_TotM,Age_40_44_TotF,Age_40_44_TotP,Age_45_49_Indig_M,Age_45_49_Indig_F,Age_45_49_Indig_P,Age_45_49_NonInd_M,Age_45_49_NonInd_F,Age_45_49_NonInd_P,Age_45_49_Indig_st_nsM,Age_45_49_Indig_st_nsF,Age_45_49_Indig_st_nsP,Age_45_49_TotM,Age_45_49_TotF,Age_45_49_TotP,Age_50_54_Indig_M,Age_50_54_Indig_F,Age_50_54_Indig_P,Age_50_54_NonInd_M,Age_50_54_NonInd_F,Age_50_54_NonInd_P,Age_50_54_Indig_st_nsM,Age_50_54_Indig_st_nsF,Age_50_54_Indig_st_nsP,Age_50_54_TotM,Age_50_54_TotF,Age_50_54_TotP,Age_55_59_Indig_M,Age_55_59_Indig_F,Age_55_59_Indig_P,Age_55_59_NonInd_M,Age_55_59_NonInd_F,Age_55_59_NonInd_P,Age_55_59_Indig_st_nsM,Age_55_59_Indig_st_nsF,Age_55_59_Indig_st_nsP,Age_55_59_TotM,Age_55_59_TotF,Age_55_59_TotP,Age_60_64_Indig_M,Age_60_64_Indig_F,Age_60_64_Indig_P,Age_60_64_NonInd_M,Age_60_64_NonInd_F,Age_60_64_NonInd_P,Age_60_64_Indig_st_nsM,Age_60_64_Indig_st_nsF,Age_60_64_Indig_st_nsP,Age_60_64_TotM,Age_60_64_TotF,Age_60_64_TotP,Age_65over_Indig_M,Age_65over_Indig_F,Age_65over_Indig_P,Age_65over_NonInd_M,Age_65over_NonInd_F,Age_65over_NonInd_P,Age_65over_Indig_st_nsM,Age_65over_Indig_st_nsF,Age_65over_Indig_st_nsP,Age_65_over_TotM,Age_65_over_TotF,Age_65_over_TotP,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_NonInd_M,Tot_NonInd_F,Tot_NonInd_P,Tot_Indig_st_nsM,Tot_Indig_st_nsF,Tot_Indig_st_nsP,Tot_TotM,Tot_TotF,Tot_TotP
LGA11450,2164,4185,72,65,137,2124,2264,4388,24,30,54,1852,1923,3775,73,57,130,1949,2010,3959,25,22,47,1611,1727,3338,68,58,126,1704,1807,3511,13,21,34,1405,1449,2854,48,47,95,1466,1517,2983,11,10,21,1262,1230,2492,48,61,109,1321,1301,2622,20,16,36,2306,2909,5215,138,125,263,2464,3050,5514,571,544,1115,26257,27332,53589,1051,963,2014,27879,28839,56718
LGA11500,4629,8754,195,208,403,4418,4976,9394,83,122,205,4468,4943,9411,256,234,490,4807,5299,10106,73,108,181,4628,5070,9698,234,204,438,4935,5382,10317,71,93,164,4311,4563,8874,204,189,393,4586,4845,9431,45,58,103,3793,3892,7685,172,187,359,4010,4137,8147,43,72,115,5874,6938,12812,316,367,683,6233,7377,13610,2184,2545,4729,65566,68495,134061,3590,3588,7178,71340,74628,145968
LGA11520,2835,5387,160,129,289,2720,2969,5689,10,6,16,2345,2638,4983,146,121,267,2501,2765,5266,7,10,17,2212,2351,4563,157,112,269,2376,2473,4849,11,7,18,1871,2097,3968,91,86,177,1973,2190,4163,3,6,9,1769,1945,3714,88,100,188,1860,2051,3911,8,12,20,4411,5527,9938,255,278,533,4674,5817,10491,130,155,285,34224,36748,70972,2449,2056,4505,36803,38959,75762
LGA11550,4879,9472,285,255,540,4901,5171,10072,25,39,64,4468,4487,8955,281,257,538,4774,4783,9557,23,24,47,3980,4109,8089,277,236,513,4280,4369,8649,24,11,35,3319,3577,6896,212,189,401,3555,3777,7332,13,8,21,3011,3008,6019,201,192,393,3225,3208,6433,11,27,38,8098,9257,17355,548,575,1123,8657,9859,18516,369,428,797,63821,64279,128100,4519,4037,8556,68709,68744,137453
LGA11600,73,165,0,6,6,97,84,181,8,9,17,94,95,189,6,0,6,108,104,212,4,4,8,109,91,200,10,0,10,123,95,218,0,3,3,100,70,170,5,0,5,105,73,178,0,0,0,77,50,127,3,3,6,80,53,133,3,7,10,186,180,366,9,10,19,198,197,395,75,100,175,1231,1072,2303,60,49,109,1366,1221,2587
LGA11700,35,84,3,5,8,70,67,137,24,33,57,42,35,77,5,0,5,71,68,139,15,20,35,51,45,96,9,0,9,75,65,140,12,16,28,72,47,119,4,3,7,88,66,154,16,14,30,59,40,99,7,3,10,82,57,139,12,25,37,134,79,213,6,8,14,152,112,264,364,398,762,625,518,1143,57,27,84,1046,943,1989
LGA11720,1529,3095,68,49,117,1712,1653,3365,48,66,114,1490,1503,2993,72,69,141,1610,1638,3248,52,57,109,1579,1662,3241,84,78,162,1715,1797,3512,30,42,72,1516,1548,3064,87,82,169,1633,1672,3305,26,25,51,1532,1535,3067,86,62,148,1644,1622,3266,39,48,87,3010,3649,6659,201,214,415,3250,3911,7161,1240,1218,2458,22799,23252,46051,1217,1115,2332,25256,25585,50841
LGA11730,1434,2676,59,56,115,1392,1583,2975,66,85,151,1562,1550,3112,59,60,119,1687,1695,3382,61,76,137,1719,1865,3584,68,58,126,1848,1999,3847,42,55,97,1827,1832,3659,67,46,113,1936,1933,3869,32,36,68,1888,1800,3688,66,57,123,1986,1893,3879,60,67,127,4741,5282,10023,208,206,414,5009,5555,10564,1404,1440,2844,22137,22774,44911,974,937,1911,24515,25151,49666
LGA11750,92,209,17,7,24,144,120,264,13,25,38,156,141,297,12,11,23,181,177,358,16,12,28,166,124,290,14,7,21,196,143,339,12,11,23,125,120,245,6,9,15,143,140,283,9,11,20,111,82,193,15,6,21,135,99,234,13,14,27,225,275,500,23,14,37,261,303,564,320,284,604,1943,1816,3759,198,152,350,2461,2252,4713
LGA11800,2209,4089,92,74,166,2050,2394,4444,54,78,132,2066,2428,4494,111,86,197,2231,2592,4823,74,63,137,2261,2569,4830,106,91,197,2441,2723,5164,54,57,111,2354,2355,4709,102,93,195,2510,2505,5015,25,33,58,2255,2253,4508,88,103,191,2368,2389,4757,36,54,90,5385,6260,11645,277,333,610,5698,6647,12345,1334,1483,2817,30391,32308,62699,1477,1421,2898,33202,35212,68414
LGA11860,53,106,0,3,3,53,56,109,0,3,3,63,53,116,4,3,7,67,59,126,3,0,3,65,55,120,3,3,6,71,58,129,0,4,4,64,42,106,4,3,7,68,49,117,0,0,0,55,44,99,0,0,0,55,44,99,0,0,0,107,78,185,7,3,10,114,81,195,16,14,30,778,685,1463,22,24,46,816,723,1539
LGA12000,135,266,3,9,12,137,150,287,3,0,3,142,135,277,7,3,10,152,138,290,3,0,3,132,144,276,14,11,25,149,155,304,0,3,3,130,109,239,6,4,10,136,116,252,0,3,3,121,124,245,8,6,14,129,133,262,3,0,3,377,403,780,26,26,52,406,429,835,48,59,107,1864,1934,3798,95,101,196,2007,2094,4101
LGA12050,326,634,15,16,31,336,347,683,11,6,17,348,361,709,15,14,29,374,381,755,11,6,17,376,372,748,27,7,34,414,385,799,3,6,9,312,321,633,9,3,12,324,330,654,0,3,3,323,308,631,22,15,37,345,326,671,5,5,10,776,893,1669,45,48,93,826,946,1772,133,132,265,4556,4549,9105,214,189,403,4903,4870,9773
LGA12150,75,167,12,9,21,142,128,270,33,33,66,112,84,196,8,4,12,153,121,274,26,30,56,99,127,226,8,5,13,133,162,295,24,24,48,128,89,217,10,7,17,162,120,282,24,21,45,101,91,192,8,12,20,133,124,257,29,37,66,288,298,586,23,19,42,340,354,694,569,611,1180,1334,1271,2605,127,121,248,2030,2003,4033
LGA12200,216,391,6,5,11,190,226,416,8,11,19,244,221,465,13,6,19,265,238,503,7,10,17,236,258,494,9,5,14,252,273,525,6,3,9,242,244,486,10,12,22,258,259,517,13,6,19,263,288,551,20,8,28,296,302,598,12,13,25,741,871,1612,32,38,70,785,922,1707,134,150,284,3222,3483,6705,197,148,345,3553,3781,7334
LGA12300,329,627,12,14,26,310,343,653,3,6,9,346,329,675,16,9,25,365,344,709,6,4,10,354,347,701,20,11,31,380,362,742,3,0,3,346,405,751,19,11,30,368,416,784,4,0,4,421,407,828,21,12,33,446,419,865,0,4,4,1263,1292,2555,51,49,100,1314,1345,2659,72,70,142,5195,5261,10456,219,181,400,5486,5512,10998
LGA12350,349,669,22,15,37,369,390,759,22,23,45,353,335,688,22,22,44,397,380,777,29,15,44,366,374,740,19,22,41,414,411,825,16,18,34,420,418,838,23,16,39,459,452,911,14,16,30,437,419,856,23,20,43,474,455,929,23,26,49,1150,1295,2445,70,75,145,1243,1396,2639,416,378,794,5299,5396,10695,344,313,657,6059,6087,12146
LGA12500,219,406,6,11,17,196,241,437,6,4,10,182,240,422,9,6,15,197,250,447,5,7,12,246,243,489,12,10,22,263,260,523,5,8,13,264,237,501,17,13,30,286,258,544,6,4,10,230,214,444,8,7,15,244,225,469,7,9,16,635,778,1413,46,42,88,688,829,1517,142,115,257,3123,3384,6507,189,166,355,3454,3665,7119
LGA12600,1175,2211,67,61,128,1225,1396,2621,113,119,232,1087,1173,2260,57,65,122,1257,1357,2614,94,130,224,1099,1255,2354,69,53,122,1262,1438,2700,76,81,157,982,1053,2035,49,43,92,1107,1177,2284,55,50,105,950,928,1878,40,45,85,1045,1023,2068,74,110,184,2243,2802,5045,114,159,273,2431,3071,5502,2372,2613,4985,15462,16644,32106,894,821,1715,18728,20078,38806
LGA12700,281,522,10,22,32,258,308,566,3,7,10,313,311,624,8,8,16,324,326,650,13,7,20,322,317,639,12,15,27,347,339,686,6,7,13,311,301,612,14,12,26,331,320,651,3,6,9,310,294,604,13,10,23,326,310,636,5,10,15,708,672,1380,34,36,70,747,718,1465,133,133,266,3885,3840,7725,171,157,328,4189,4130,8319
LGA12750,944,1788,61,51,112,957,1051,2008,47,62,109,987,1089,2076,74,59,133,1108,1210,2318,35,55,90,1187,1261,2448,55,44,99,1277,1360,2637,32,39,71,1285,1449,2734,63,70,133,1380,1558,2938,29,34,63,1575,1567,3142,72,82,154,1676,1683,3359,48,44,92,4165,4458,8623,256,264,520,4469,4766,9235,895,920,1815,15707,16324,32031,977,919,1896,17579,18163,35742
LGA12850,6408,12425,282,285,567,6334,6728,13062,24,39,63,6256,6471,12727,306,254,560,6586,6764,13350,32,39,71,6321,6631,12952,302,256,558,6655,6926,13581,33,18,51,5334,5850,11184,246,215,461,5613,6083,11696,26,21,47,4559,4624,9183,204,203,407,4789,4848,9637,26,38,64,9897,11436,21333,565,589,1154,10488,12063,22551,666,658,1324,87480,90415,177895,4376,4171,8547,92522,95244,187766
LGA12900,257,497,7,3,10,269,291,560,27,21,48,268,289,557,8,4,12,303,314,617,12,21,33,280,255,535,12,12,24,304,288,592,15,15,30,288,278,566,10,5,15,313,298,611,11,13,24,286,283,569,15,9,24,312,305,617,22,25,47,752,890,1642,44,52,96,818,967,1785,432,451,883,3959,4012,7971,157,160,317,4548,4623,9171
LGA12950,114,217,10,7,17,130,138,268,9,12,21,135,137,272,6,9,15,150,158,308,14,18,32,137,152,289,14,10,24,165,180,345,12,17,29,135,121,256,6,9,15,153,147,300,16,15,31,112,128,240,9,5,14,137,148,285,18,9,27,374,432,806,26,44,70,418,485,903,268,264,532,1728,1881,3609,107,117,224,2103,2262,4365
LGA13010,237,434,10,11,21,221,265,486,14,18,32,248,282,530,8,13,21,270,313,583,11,11,22,335,294,629,18,10,28,364,315,679,9,6,15,296,282,578,14,12,26,319,300,619,7,7,14,322,329,651,16,15,31,345,351,696,10,14,24,841,968,1809,37,35,72,888,1017,1905,254,233,487,3840,3979,7819,192,156,348,4286,4368,8654
LGA13050,145,290,4,0,4,154,152,306,10,10,20,154,146,300,3,4,7,167,160,327,0,12,12,182,155,337,6,7,13,188,174,362,5,4,9,172,160,332,8,10,18,185,174,359,5,6,11,201,231,432,12,0,12,218,237,455,3,12,15,572,630,1202,22,30,52,597,672,1269,114,114,228,2237,2258,4495,80,75,155,2431,2447,4878
LGA13100,5432,10226,267,228,495,5143,5775,10918,96,124,220,5094,5664,10758,279,223,502,5469,6011,11480,93,85,178,5198,5743,10941,301,278,579,5592,6106,11698,64,58,122,4784,5141,9925,231,215,446,5079,5414,10493,37,66,103,4572,4985,9557,236,232,468,4845,5283,10128,71,101,172,12789,16470,29259,749,964,1713,13609,17535,31144,1784,1773,3557,72578,78587,151165,3962,3755,7717,78324,84115,162439
LGA13310,856,1711,41,33,74,933,912,1845,28,20,48,980,907,1887,52,25,77,1060,952,2012,17,17,34,907,892,1799,41,29,70,965,938,1903,12,16,28,868,907,1775,45,22,67,925,945,1870,10,6,16,880,814,1694,40,24,64,930,844,1774,15,23,38,2042,2470,4512,111,136,247,2168,2629,4797,419,361,780,12868,12751,25619,594,487,1081,13881,13599,27480
LGA13320,872,1629,46,34,80,840,947,1787,38,54,92,974,1000,1974,52,29,81,1064,1083,2147,42,29,71,1025,1130,2155,52,50,102,1119,1209,2328,32,38,70,1142,1182,2324,69,52,121,1243,1272,2515,21,28,49,1343,1532,2875,68,55,123,1432,1615,3047,33,44,77,4807,5016,9823,285,363,648,5125,5423,10548,662,663,1325,15292,15999,31291,908,907,1815,16862,17569,34431
LGA13340,322,598,11,7,18,287,339,626,3,7,10,326,359,685,18,16,34,347,382,729,4,5,9,363,359,722,9,12,21,376,376,752,5,0,5,341,347,688,20,15,35,366,362,728,4,5,9,381,320,701,22,18,40,407,343,750,5,3,8,813,798,1611,51,47,98,869,848,1717,91,110,201,4621,4542,9163,247,205,452,4959,4857,9816
LGA13380,1331,2489,61,43,104,1265,1454,2719,52,61,113,1363,1517,2880,56,55,111,1471,1633,3104,55,70,125,1558,1662,3220,85,61,146,1698,1793,3491,43,56,99,1616,1683,3299,88,63,151,1747,1802,3549,32,38,70,1694,1729,3423,72,83,155,1798,1850,3648,44,42,86,4678,5158,9836,252,294,546,4974,5494,10468,1230,1272,2502,20339,21574,41913,1088,1038,2126,22657,23884,46541
LGA13450,794,1533,47,42,89,811,861,1672,28,34,62,777,760,1537,49,35,84,854,829,1683,23,24,47,738,698,1436,60,45,105,821,767,1588,21,20,41,649,671,1320,47,38,85,717,729,1446,13,19,32,554,541,1095,32,37,69,599,597,1196,13,20,33,1486,1734,3220,109,114,223,1608,1868,3476,498,504,1002,10907,10947,21854,832,677,1509,12237,12128,24365
LGA13500,99,213,4,0,4,118,103,221,4,0,4,131,117,248,6,4,10,141,121,262,4,3,7,142,114,256,6,0,6,152,117,269,0,0,0,119,119,238,11,6,17,130,125,255,0,4,4,123,119,242,0,5,5,123,128,251,3,7,10,313,340,653,15,20,35,331,367,698,46,46,92,1749,1692,3441,76,57,133,1871,1795,3666
LGA13550,334,643,16,17,33,355,392,747,24,33,57,367,341,708,13,17,30,404,391,795,43,33,76,375,376,751,19,17,36,437,426,863,20,28,48,378,310,688,23,20,43,421,358,779,19,15,34,331,311,642,17,15,32,367,341,708,29,41,70,919,1062,1981,67,68,135,1015,1171,2186,686,677,1363,5027,5070,10097,319,286,605,6032,6033,12065
LGA13650,113,237,8,12,20,143,138,281,10,9,19,122,126,248,0,6,6,132,141,273,6,15,21,149,143,292,10,3,13,165,161,326,10,8,18,135,124,259,9,4,13,154,136,290,9,10,19,161,135,296,5,7,12,175,152,327,12,9,21,338,402,740,8,16,24,358,427,785,221,221,442,1876,1876,3752,108,95,203,2205,2192,4397
LGA13660,170,328,7,4,11,173,174,347,3,6,9,160,169,329,6,0,6,169,175,344,3,3,6,180,156,336,6,7,13,189,166,355,3,4,7,143,140,283,11,6,17,157,150,307,5,4,9,191,182,373,9,3,12,205,189,394,9,0,9,522,559,1081,15,17,32,546,576,1122,106,84,190,2335,2307,4642,76,60,136,2517,2451,4968
LGA13700,98,182,9,3,12,96,112,208,0,5,5,103,104,207,0,5,5,103,114,217,8,3,11,126,125,251,5,4,9,139,132,271,0,3,3,132,117,249,3,3,6,135,123,258,6,0,6,157,150,307,4,4,8,167,154,321,8,5,13,360,381,741,17,20,37,385,406,791,81,80,161,1617,1655,3272,79,73,152,1777,1808,3585
LGA13800,2336,4465,110,125,235,2281,2515,4796,34,57,91,2136,2275,4411,112,103,215,2282,2435,4717,38,40,78,2097,2106,4203,104,91,195,2239,2237,4476,26,22,48,1727,1750,3477,88,83,171,1841,1855,3696,24,15,39,1604,1618,3222,102,75,177,1730,1708,3438,21,28,49,3139,3626,6765,207,226,433,3367,3880,7247,814,793,1607,28737,29076,57813,1506,1428,2934,31057,31297,62354
LGA13850,90,186,7,0,7,106,90,196,3,14,17,112,122,234,3,6,9,118,142,260,3,6,9,127,110,237,7,3,10,137,119,256,4,3,7,78,88,166,4,3,7,86,94,180,5,0,5,88,84,172,4,0,4,97,84,181,3,6,9,256,268,524,17,21,38,276,295,571,92,77,169,1313,1336,2649,74,67,141,1479,1480,2959
LGA13950,3131,6251,175,167,342,3320,3329,6649,18,25,43,2988,2973,5961,175,130,305,3181,3128,6309,17,25,42,2615,2731,5346,176,147,323,2808,2903,5711,15,19,34,2220,2388,4608,119,132,251,2354,2539,4893,13,17,30,2240,2330,4570,115,103,218,2368,2450,4818,19,26,45,5003,6181,11184,332,416,748,5354,6623,11977,385,430,815,45773,46980,92753,2946,2648,5594,49104,50058,99162
LGA14000,6179,11624,147,142,289,5610,6345,11955,14,20,34,5791,6305,12096,165,166,331,5970,6491,12461,10,16,26,5569,5956,11525,191,136,327,5770,6108,11878,8,15,23,4710,4841,9551,147,113,260,4865,4969,9834,7,8,15,4131,4231,8362,116,114,230,4254,4353,8607,18,15,33,9648,12083,21731,372,501,873,10038,12599,22637,262,301,563,73909,77918,151827,2287,2170,4457,76458,80389,156847
LGA14100,499,955,16,16,32,472,521,993,0,0,0,432,484,916,11,19,30,443,503,946,0,0,0,403,439,842,17,14,31,420,453,873,0,0,0,379,427,806,17,9,26,396,436,832,0,0,0,407,410,817,12,11,23,419,421,840,5,0,5,1003,1443,2446,45,65,110,1053,1508,2561,41,11,52,6260,6431,12691,237,235,472,6538,6677,13215
