region_id,Neg_Nil_inc_hh_with_Ind_psns,Neg_Nil_inc_Other_households,Neg_Nil_income_Tot_hhlds,HI1_199_Hhd_with_Indig_psns,HI1_199_Other_households,HI1_199_Tot_hhlds,HI200_299_Hhd_with_Indig_psns,HI200_299_Other_households,HI200_299_Tot_hhlds,HI300_399_Hhd_with_Indig_psns,HI300_399_Other_households,HI300_399_Tot_hhlds,HI400_599_Hhd_with_Indig_psns,HI400_599_Other_households,HI400_599_Tot_hhlds,HI600_799_Hhd_with_Indig_psns,HI600_799_Other_households,HI600_799_Tot_hhlds,HI800_999_Hhd_with_Indig_psns,HI800_999_Other_households,HI800_999_Tot_hhlds,HI1000_1249_Hh_with_Indig_psn,HI1000_1249_Other_households,HI1000_1249_Tot_hhlds,HI1250_1499_Hh_with_Indig_psn,HI1250_1499_Other_households,HI1250_1499_Tot_hhlds,HI1500_1999_Hh_with_Indig_psn,HI1500_1999_Other_households,HI1500_1999_Tot_hhlds,HI2000_2499_Hh_with_Indig_psn,HI2000_2499_Other_households,HI2000_2499_Tot_hhlds,HI2500_2999_Hh_with_Indig_psn,HI2500_2999_Other_households,HI2500_2999_Tot_hhlds,HI3000_more_Hh_with_Indig_psn,HI3000_more_Other_households,HI3000_more_Tot_hhlds,Part_inc_st_Hh_with_Indig_psn,Partial_inc_stated_Other_hhds,Partial_inc_stated_Tot_hhlds,All_inc_ns_Hh_with_Ind_psns,All_income_ns_Other_household,All_inc_NS_Tot_hhlds,Tot_Household_with_Indig_psns,Tot_Other_households,Tot_Tot_hhlds
LGA14600,9,62,71,4,61,65,13,74,87,41,194,235,45,252,297,55,204,259,37,195,232,20,179,199,24,136,160,33,212,245,13,104,117,9,65,74,10,83,93,52,144,196,30,115,145,395,2080,2475
LGA14650,18,573,591,53,852,905,84,1789,1873,147,5400,5547,304,7600,7904,255,6363,6618,212,5468,5680,218,5075,5293,179,4537,4716,283,7509,7792,199,5401,5600,113,4546,4659,145,5884,6029,242,5139,5381,112,1859,1971,2564,67995,70559
LGA14700,0,148,148,0,130,130,5,179,184,0,402,402,3,547,550,0,510,510,4,577,581,3,682,685,0,660,660,4,1201,1205,3,888,891,3,1753,1756,6,3045,3051,7,936,943,4,181,185,42,11839,11881
LGA14750,4,45,49,6,72,78,13,114,127,22,269,291,38,421,459,32,373,405,23,307,330,18,324,342,19,285,304,28,405,433,10,251,261,11,141,152,3,140,143,17,258,275,14,125,139,258,3530,3788
LGA14800,3,224,227,10,227,237,22,475,497,28,900,928,20,946,966,23,960,983,18,909,927,17,1079,1096,9,1141,1150,22,2018,2040,22,1359,1381,16,3307,3323,41,5601,5642,19,1566,1585,10,326,336,280,21038,21318
LGA14850,10,156,166,23,267,290,34,661,695,66,1368,1434,89,2049,2138,109,1748,1857,68,1517,1585,75,1462,1537,54,1235,1289,84,1627,1711,29,929,958,19,583,602,19,581,600,76,1044,1120,34,327,361,789,15554,16343
LGA14870,5,72,77,14,147,161,15,343,358,30,742,772,41,1025,1066,39,741,780,26,594,620,29,532,561,27,418,445,44,688,732,16,406,422,20,466,486,19,519,538,38,462,500,20,248,268,383,7403,7786
LGA14900,17,626,643,34,908,942,62,1510,1572,81,2646,2727,112,4254,4366,114,4168,4282,83,3859,3942,92,4437,4529,66,3993,4059,124,6421,6545,102,5252,5354,51,3635,3686,64,4871,4935,103,4328,4431,60,1521,1581,1165,52429,53594
LGA14920,0,37,37,5,57,62,11,124,135,25,259,284,59,377,436,54,299,353,44,230,274,33,194,227,30,171,201,26,229,255,5,124,129,3,115,118,9,88,97,29,204,233,12,97,109,345,2605,2950
LGA14950,0,21,21,0,22,22,0,44,44,4,88,92,7,141,148,5,119,124,5,115,120,4,84,88,0,96,96,0,94,94,0,57,57,0,36,36,0,40,40,3,98,101,3,41,44,31,1096,1127
LGA15050,9,188,197,24,250,274,26,531,557,47,1587,1634,97,2148,2245,112,1925,2037,96,1686,1782,96,1766,1862,83,1575,1658,120,2806,2926,80,2057,2137,53,2000,2053,79,2292,2371,88,1665,1753,48,562,610,1058,23038,24096
LGA15150,0,182,182,0,148,148,5,215,220,10,494,504,5,719,724,4,732,736,3,759,762,5,799,804,5,791,796,4,1423,1427,9,1038,1047,3,2443,2446,15,3737,3752,0,1302,1302,0,284,284,68,15066,15134
LGA15200,6,379,385,13,361,374,27,737,764,31,1373,1404,33,1927,1960,52,1827,1879,34,1786,1820,44,2140,2184,30,2058,2088,53,3604,3657,51,2608,2659,44,3148,3192,64,4820,4884,41,2121,2162,19,544,563,542,29433,29975
LGA15270,4,109,113,6,153,159,10,273,283,31,783,814,47,1005,1052,37,771,808,35,656,691,26,538,564,34,493,527,49,739,788,22,476,498,21,511,532,26,503,529,34,649,683,18,302,320,400,7961,8361
LGA15300,15,68,83,30,73,103,78,85,163,70,240,310,101,340,441,103,328,431,75,338,413,81,328,409,47,338,385,55,422,477,39,282,321,22,197,219,9,276,285,91,296,387,76,157,233,892,3768,4660
LGA15350,0,158,158,0,113,113,0,140,140,0,316,316,0,471,471,0,478,478,4,514,518,3,562,565,3,600,603,3,968,971,4,527,531,4,2009,2013,3,2780,2783,0,897,897,0,184,184,24,10717,10741
LGA15500,0,41,41,5,34,39,9,75,84,9,239,248,17,384,401,15,313,328,4,263,267,11,199,210,7,180,187,11,226,237,3,146,149,0,100,100,3,111,114,5,196,201,3,100,103,102,2607,2709
LGA15550,0,16,16,0,10,10,8,21,29,5,63,68,10,94,104,18,79,97,15,81,96,13,64,77,9,49,58,9,80,89,5,46,51,0,31,31,0,23,23,11,53,64,3,20,23,106,730,836
