Measure,Region Type,Frequency,Region,Time,Value,Flags
"Estimated Resident Population","Australia","Annual","Australia","2003",19720737,
"Estimated Resident Population","Australia","Annual","Australia","2004",19932722,
"Estimated Resident Population","Australia","Annual","Australia","2005",20176844,
"Estimated Resident Population","Australia","Annual","Australia","2006",20450966,
"Estimated Resident Population","Australia","Annual","Australia","2007",20827622,
"Estimated Resident Population","Australia","Annual","Australia","2008",21249199,
"Estimated Resident Population","Australia","Annual","Australia","2009",21691653,
"Estimated Resident Population","Australia","Annual","Australia","2010",22031750,
"Estimated Resident Population","Australia","Annual","Australia","2011",22340024,
"Estimated Resident Population","Australia","Annual","Australia","2012",22728254,
"Estimated Resident Population","Australia","Annual","Australia","2013",23135281,
"Estimated Resident Population","States and Territories","Annual","New South Wales","2003",6620715,
"Estimated Resident Population","States and Territories","Annual","New South Wales","2004",6650735,
"Estimated Resident Population","States and Territories","Annual","New South Wales","2005",6693206,
"Estimated Resident Population","States and Territories","Annual","New South Wales","2006",6742690,
"Estimated Resident Population","States and Territories","Annual","New South Wales","2007",6834156,
"Estimated Resident Population","States and Territories","Annual","New South Wales","2008",6943461,
"Estimated Resident Population","States and Territories","Annual","New South Wales","2009",7053755,
"Estimated Resident Population","States and Territories","Annual","New South Wales","2010",7144292,
"Estimated Resident Population","States and Territories","Annual","New South Wales","2011",7218529,
"Estimated Resident Population","States and Territories","Annual","New South Wales","2012",7307183,
"Estimated Resident Population","States and Territories","Annual","New South Wales","2013",7410399,
"Estimated Resident Population","States and Territories","Annual","Victoria","2003",4873809,
"Estimated Resident Population","States and Territories","Annual","Victoria","2004",4927149,
"Estimated Resident Population","States and Territories","Annual","Victoria","2005",4989246,
"Estimated Resident Population","States and Territories","Annual","Victoria","2006",5061266,
"Estimated Resident Population","States and Territories","Annual","Victoria","2007",5153522,
"Estimated Resident Population","States and Territories","Annual","Victoria","2008",5256375,
"Estimated Resident Population","States and Territories","Annual","Victoria","2009",5371934,
"Estimated Resident Population","States and Territories","Annual","Victoria","2010",5461101,
"Estimated Resident Population","States and Territories","Annual","Victoria","2011",5537817,
"Estimated Resident Population","States and Territories","Annual","Victoria","2012",5632521,
"Estimated Resident Population","States and Territories","Annual","Victoria","2013",5739341,
"Estimated Resident Population","States and Territories","Annual","Queensland","2003",3743121,
"Estimated Resident Population","States and Territories","Annual","Queensland","2004",3829970,
"Estimated Resident Population","States and Territories","Annual","Queensland","2005",3918494,
"Estimated Resident Population","States and Territories","Annual","Queensland","2006",4007992,
"Estimated Resident Population","States and Territories","Annual","Queensland","2007",4111018,
"Estimated Resident Population","States and Territories","Annual","Queensland","2008",4219505,
"Estimated Resident Population","States and Territories","Annual","Queensland","2009",4328771,
"Estimated Resident Population","States and Territories","Annual","Queensland","2010",4404744,
"Estimated Resident Population","States and Territories","Annual","Queensland","2011",4476778,
"Estimated Resident Population","States and Territories","Annual","Queensland","2012",4568205,
"Estimated Resident Population","States and Territories","Annual","Queensland","2013",4656803,
"Estimated Resident Population","States and Territories","Annual","South Australia","2003",1520399,
"Estimated Resident Population","States and Territories","Annual","South Australia","2004",1528189,
"Estimated Resident Population","States and Territories","Annual","South Australia","2005",1538804,
"Estimated Resident Population","States and Territories","Annual","South Australia","2006",1552529,
"Estimated Resident Population","States and Territories","Annual","South Australia","2007",1570619,
"Estimated Resident Population","States and Territories","Annual","South Australia","2008",1588665,
"Estimated Resident Population","States and Territories","Annual","South Australia","2009",1608902,
"Estimated Resident Population","States and Territories","Annual","South Australia","2010",1627322,
"Estimated Resident Population","States and Territories","Annual","South Australia","2011",1639614,
"Estimated Resident Population","States and Territories","Annual","South Australia","2012",1656035,
"Estimated Resident Population","States and Territories","Annual","South Australia","2013",1670827,
"Estimated Resident Population","States and Territories","Annual","Western Australia","2003",1952741,
"Estimated Resident Population","States and Territories","Annual","Western Australia","2004",1979542,
"Estimated Resident Population","States and Territories","Annual","Western Australia","2005",2011207,
"Estimated Resident Population","States and Territories","Annual","Western Australia","2006",2050581,
"Estimated Resident Population","States and Territories","Annual","Western Australia","2007",2106139,
"Estimated Resident Population","States and Territories","Annual","Western Australia","2008",2171700,
"Estimated Resident Population","States and Territories","Annual","Western Australia","2009",2240250,
"Estimated Resident Population","States and Territories","Annual","Western Australia","2010",2290845,
"Estimated Resident Population","States and Territories","Annual","Western Australia","2011",2353409,
"Estimated Resident Population","States and Territories","Annual","Western Australia","2012",2437994,
"Estimated Resident Population","States and Territories","Annual","Western Australia","2013",2519321,
"Estimated Resident Population","States and Territories","Annual","Tasmania","2003",478534,
"Estimated Resident Population","States and Territories","Annual","Tasmania","2004",483178,
"Estimated Resident Population","States and Territories","Annual","Tasmania","2005",486202,
"Estimated Resident Population","States and Territories","Annual","Tasmania","2006",489302,
"Estimated Resident Population","States and Territories","Annual","Tasmania","2007",493262,
"Estimated Resident Population","States and Territories","Annual","Tasmania","2008",498568,
"Estimated Resident Population","States and Territories","Annual","Tasmania","2009",504353,
"Estimated Resident Population","States and Territories","Annual","Tasmania","2010",508847,
"Estimated Resident Population","States and Territories","Annual","Tasmania","2011",511483,
"Estimated Resident Population","States and Territories","Annual","Tasmania","2012",512106,
"Estimated Resident Population","States and Territories","Annual","Tasmania","2013",513159,
"Estimated Resident Population","States and Territories","Annual","Northern Territory","2003",201725,
"Estimated Resident Population","States and Territories","Annual","Northern Territory","2004",202663,
"Estimated Resident Population","States and Territories","Annual","Northern Territory","2005",205905,
"Estimated Resident Population","States and Territories","Annual","Northern Territory","2006",209057,
"Estimated Resident Population","States and Territories","Annual","Northern Territory","2007",213748,
"Estimated Resident Population","States and Territories","Annual","Northern Territory","2008",219874,
"Estimated Resident Population","States and Territories","Annual","Northern Territory","2009",226027,
"Estimated Resident Population","States and Territories","Annual","Northern Territory","2010",229778,
"Estimated Resident Population","States and Territories","Annual","Northern Territory","2011",231292,
"Estimated Resident Population","States and Territories","Annual","Northern Territory","2012",235881,
"Estimated Resident Population","States and Territories","Annual","Northern Territory","2013",240759,
"Estimated Resident Population","States and Territories","Annual","Australian Capital Territory","2003",327357,
"Estimated Resident Population","States and Territories","Annual","Australian Capital Territory","2004",328940,
"Estimated Resident Population","States and Territories","Annual","Australian Capital Territory","2005",331399,
"Estimated Resident Population","States and Territories","Annual","Australian Capital Territory","2006",335170,
"Estimated Resident Population","States and Territories","Annual","Australian Capital Territory","2007",342644,
"Estimated Resident Population","States and Territories","Annual","Australian Capital Territory","2008",348368,
"Estimated Resident Population","States and Territories","Annual","Australian Capital Territory","2009",354785,
"Estimated Resident Population","States and Territories","Annual","Australian Capital Territory","2010",361766,
"Estimated Resident Population","States and Territories","Annual","Australian Capital Territory","2011",367985,
"Estimated Resident Population","States and Territories","Annual","Australian Capital Territory","2012",375183,
"Estimated Resident Population","States and Territories","Annual","Australian Capital Territory","2013",381488,
"Estimated Resident Population","States and Territories","Annual","Other Territories","2003",2336,
"Estimated Resident Population","States and Territories","Annual","Other Territories","2004",2356,
"Estimated Resident Population","States and Territories","Annual","Other Territories","2005",2381,
"Estimated Resident Population","States and Territories","Annual","Other Territories","2006",2379,
"Estimated Resident Population","States and Territories","Annual","Other Territories","2007",2514,
"Estimated Resident Population","States and Territories","Annual","Other Territories","2008",2683,
"Estimated Resident Population","States and Territories","Annual","Other Territories","2009",2876,
"Estimated Resident Population","States and Territories","Annual","Other Territories","2010",3055,
"Estimated Resident Population","States and Territories","Annual","Other Territories","2011",3117,
"Estimated Resident Population","States and Territories","Annual","Other Territories","2012",3146,
"Estimated Resident Population","States and Territories","Annual","Other Territories","2013",3184,
"Estimated Resident Population","Local Government Areas","Annual","Australia","2003",19720737,
"Estimated Resident Population","Local Government Areas","Annual","Australia","2004",19932722,
"Estimated Resident Population","Local Government Areas","Annual","Australia","2005",20176844,
"Estimated Resident Population","Local Government Areas","Annual","Australia","2006",20450966,
"Estimated Resident Population","Local Government Areas","Annual","Australia","2007",20827622,
"Estimated Resident Population","Local Government Areas","Annual","Australia","2008",21249199,
"Estimated Resident Population","Local Government Areas","Annual","Australia","2009",21691653,
"Estimated Resident Population","Local Government Areas","Annual","Australia","2010",22031750,
"Estimated Resident Population","Local Government Areas","Annual","Australia","2011",22340024,
"Estimated Resident Population","Local Government Areas","Annual","Australia","2012",22728254,
"Estimated Resident Population","Local Government Areas","Annual","Australia","2013",23135281,
"Estimated Resident Population","Local Government Areas","Annual","New South Wales","2003",6620715,
"Estimated Resident Population","Local Government Areas","Annual","New South Wales","2004",6650735,
"Estimated Resident Population","Local Government Areas","Annual","New South Wales","2005",6693206,
"Estimated Resident Population","Local Government Areas","Annual","New South Wales","2006",6742690,
"Estimated Resident Population","Local Government Areas","Annual","New South Wales","2007",6834156,
"Estimated Resident Population","Local Government Areas","Annual","New South Wales","2008",6943461,
"Estimated Resident Population","Local Government Areas","Annual","New South Wales","2009",7053755,
"Estimated Resident Population","Local Government Areas","Annual","New South Wales","2010",7144292,
"Estimated Resident Population","Local Government Areas","Annual","New South Wales","2011",7218529,
"Estimated Resident Population","Local Government Areas","Annual","New South Wales","2012",7307183,
"Estimated Resident Population","Local Government Areas","Annual","New South Wales","2013",7410399,
"Estimated Resident Population","Local Government Areas","Annual","Albury (C)","2003",46180,
"Estimated Resident Population","Local Government Areas","Annual","Albury (C)","2004",46505,
"Estimated Resident Population","Local Government Areas","Annual","Albury (C)","2005",47004,
"Estimated Resident Population","Local Government Areas","Annual","Albury (C)","2006",47566,
"Estimated Resident Population","Local Government Areas","Annual","Albury (C)","2007",48140,
"Estimated Resident Population","Local Government Areas","Annual","Albury (C)","2008",48518,
"Estimated Resident Population","Local Government Areas","Annual","Albury (C)","2009",48814,
"Estimated Resident Population","Local Government Areas","Annual","Albury (C)","2010",49222,
"Estimated Resident Population","Local Government Areas","Annual","Albury (C)","2011",49451,
"Estimated Resident Population","Local Government Areas","Annual","Albury (C)","2012",49709,
"Estimated Resident Population","Local Government Areas","Annual","Albury (C)","2013",50243,
"Estimated Resident Population","Local Government Areas","Annual","Armidale Dumaresq (A)","2003",24346,
"Estimated Resident Population","Local Government Areas","Annual","Armidale Dumaresq (A)","2004",24171,
"Estimated Resident Population","Local Government Areas","Annual","Armidale Dumaresq (A)","2005",24115,
"Estimated Resident Population","Local Government Areas","Annual","Armidale Dumaresq (A)","2006",24146,
"Estimated Resident Population","Local Government Areas","Annual","Armidale Dumaresq (A)","2007",24275,
"Estimated Resident Population","Local Government Areas","Annual","Armidale Dumaresq (A)","2008",24573,
"Estimated Resident Population","Local Government Areas","Annual","Armidale Dumaresq (A)","2009",24862,
"Estimated Resident Population","Local Government Areas","Annual","Armidale Dumaresq (A)","2010",25046,
"Estimated Resident Population","Local Government Areas","Annual","Armidale Dumaresq (A)","2011",25158,
"Estimated Resident Population","Local Government Areas","Annual","Armidale Dumaresq (A)","2012",25298,
"Estimated Resident Population","Local Government Areas","Annual","Armidale Dumaresq (A)","2013",25343,
"Estimated Resident Population","Local Government Areas","Annual","Ashfield (A)","2003",40501,
"Estimated Resident Population","Local Government Areas","Annual","Ashfield (A)","2004",40614,
"Estimated Resident Population","Local Government Areas","Annual","Ashfield (A)","2005",40832,
"Estimated Resident Population","Local Government Areas","Annual","Ashfield (A)","2006",41269,
"Estimated Resident Population","Local Government Areas","Annual","Ashfield (A)","2007",41916,
"Estimated Resident Population","Local Government Areas","Annual","Ashfield (A)","2008",42207,
"Estimated Resident Population","Local Government Areas","Annual","Ashfield (A)","2009",42766,
"Estimated Resident Population","Local Government Areas","Annual","Ashfield (A)","2010",43038,
"Estimated Resident Population","Local Government Areas","Annual","Ashfield (A)","2011",43538,
"Estimated Resident Population","Local Government Areas","Annual","Ashfield (A)","2012",43744,
"Estimated Resident Population","Local Government Areas","Annual","Ashfield (A)","2013",44175,
"Estimated Resident Population","Local Government Areas","Annual","Auburn (C)","2003",61406,
"Estimated Resident Population","Local Government Areas","Annual","Auburn (C)","2004",63318,
"Estimated Resident Population","Local Government Areas","Annual","Auburn (C)","2005",65924,
"Estimated Resident Population","Local Government Areas","Annual","Auburn (C)","2006",67819,
"Estimated Resident Population","Local Government Areas","Annual","Auburn (C)","2007",70232,
"Estimated Resident Population","Local Government Areas","Annual","Auburn (C)","2008",72630,
"Estimated Resident Population","Local Government Areas","Annual","Auburn (C)","2009",74920,
"Estimated Resident Population","Local Government Areas","Annual","Auburn (C)","2010",76640,
"Estimated Resident Population","Local Government Areas","Annual","Auburn (C)","2011",77779,
"Estimated Resident Population","Local Government Areas","Annual","Auburn (C)","2012",80540,
"Estimated Resident Population","Local Government Areas","Annual","Auburn (C)","2013",83367,
"Estimated Resident Population","Local Government Areas","Annual","Ballina (A)","2003",38870,
"Estimated Resident Population","Local Government Areas","Annual","Ballina (A)","2004",39120,
"Estimated Resident Population","Local Government Areas","Annual","Ballina (A)","2005",39305,
"Estimated Resident Population","Local Government Areas","Annual","Ballina (A)","2006",39537,
"Estimated Resident Population","Local Government Areas","Annual","Ballina (A)","2007",39824,
"Estimated Resident Population","Local Government Areas","Annual","Ballina (A)","2008",40020,
"Estimated Resident Population","Local Government Areas","Annual","Ballina (A)","2009",40295,
"Estimated Resident Population","Local Government Areas","Annual","Ballina (A)","2010",40571,
"Estimated Resident Population","Local Government Areas","Annual","Ballina (A)","2011",40747,
"Estimated Resident Population","Local Government Areas","Annual","Ballina (A)","2012",41015,
"Estimated Resident Population","Local Government Areas","Annual","Ballina (A)","2013",41335,
"Estimated Resident Population","Local Government Areas","Annual","Balranald (A)","2003",2661,
"Estimated Resident Population","Local Government Areas","Annual","Balranald (A)","2004",2596,
"Estimated Resident Population","Local Government Areas","Annual","Balranald (A)","2005",2545,
"Estimated Resident Population","Local Government Areas","Annual","Balranald (A)","2006",2507,
"Estimated Resident Population","Local Government Areas","Annual","Balranald (A)","2007",2473,
"Estimated Resident Population","Local Government Areas","Annual","Balranald (A)","2008",2433,
"Estimated Resident Population","Local Government Areas","Annual","Balranald (A)","2009",2404,
"Estimated Resident Population","Local Government Areas","Annual","Balranald (A)","2010",2381,
"Estimated Resident Population","Local Government Areas","Annual","Balranald (A)","2011",2353,
"Estimated Resident Population","Local Government Areas","Annual","Balranald (A)","2012",2340,
"Estimated Resident Population","Local Government Areas","Annual","Balranald (A)","2013",2371,
"Estimated Resident Population","Local Government Areas","Annual","Bankstown (C)","2003",171975,
"Estimated Resident Population","Local Government Areas","Annual","Bankstown (C)","2004",172208,
"Estimated Resident Population","Local Government Areas","Annual","Bankstown (C)","2005",173282,
"Estimated Resident Population","Local Government Areas","Annual","Bankstown (C)","2006",175789,
"Estimated Resident Population","Local Government Areas","Annual","Bankstown (C)","2007",179352,
"Estimated Resident Population","Local Government Areas","Annual","Bankstown (C)","2008",182679,
"Estimated Resident Population","Local Government Areas","Annual","Bankstown (C)","2009",185770,
"Estimated Resident Population","Local Government Areas","Annual","Bankstown (C)","2010",188185,
"Estimated Resident Population","Local Government Areas","Annual","Bankstown (C)","2011",190851,
"Estimated Resident Population","Local Government Areas","Annual","Bankstown (C)","2012",193605,
"Estimated Resident Population","Local Government Areas","Annual","Bankstown (C)","2013",196974,
"Estimated Resident Population","Local Government Areas","Annual","Bathurst Regional (A)","2003",36084,
"Estimated Resident Population","Local Government Areas","Annual","Bathurst Regional (A)","2004",36245,
"Estimated Resident Population","Local Government Areas","Annual","Bathurst Regional (A)","2005",36547,
"Estimated Resident Population","Local Government Areas","Annual","Bathurst Regional (A)","2006",36916,
"Estimated Resident Population","Local Government Areas","Annual","Bathurst Regional (A)","2007",37272,
"Estimated Resident Population","Local Government Areas","Annual","Bathurst Regional (A)","2008",37904,
"Estimated Resident Population","Local Government Areas","Annual","Bathurst Regional (A)","2009",38848,
"Estimated Resident Population","Local Government Areas","Annual","Bathurst Regional (A)","2010",39484,
"Estimated Resident Population","Local Government Areas","Annual","Bathurst Regional (A)","2011",39960,
"Estimated Resident Population","Local Government Areas","Annual","Bathurst Regional (A)","2012",40368,
"Estimated Resident Population","Local Government Areas","Annual","Bathurst Regional (A)","2013",41051,
"Estimated Resident Population","Local Government Areas","Annual","Bega Valley (A)","2003",31056,
"Estimated Resident Population","Local Government Areas","Annual","Bega Valley (A)","2004",31406,
"Estimated Resident Population","Local Government Areas","Annual","Bega Valley (A)","2005",31608,
"Estimated Resident Population","Local Government Areas","Annual","Bega Valley (A)","2006",31829,
"Estimated Resident Population","Local Government Areas","Annual","Bega Valley (A)","2007",32183,
"Estimated Resident Population","Local Government Areas","Annual","Bega Valley (A)","2008",32367,
"Estimated Resident Population","Local Government Areas","Annual","Bega Valley (A)","2009",32620,
"Estimated Resident Population","Local Government Areas","Annual","Bega Valley (A)","2010",32962,
"Estimated Resident Population","Local Government Areas","Annual","Bega Valley (A)","2011",33128,
"Estimated Resident Population","Local Government Areas","Annual","Bega Valley (A)","2012",33242,
"Estimated Resident Population","Local Government Areas","Annual","Bega Valley (A)","2013",33313,
"Estimated Resident Population","Local Government Areas","Annual","Bellingen (A)","2003",12705,
"Estimated Resident Population","Local Government Areas","Annual","Bellingen (A)","2004",12672,
"Estimated Resident Population","Local Government Areas","Annual","Bellingen (A)","2005",12682,
"Estimated Resident Population","Local Government Areas","Annual","Bellingen (A)","2006",12716,
"Estimated Resident Population","Local Government Areas","Annual","Bellingen (A)","2007",12773,
"Estimated Resident Population","Local Government Areas","Annual","Bellingen (A)","2008",12787,
"Estimated Resident Population","Local Government Areas","Annual","Bellingen (A)","2009",12837,
"Estimated Resident Population","Local Government Areas","Annual","Bellingen (A)","2010",12891,
"Estimated Resident Population","Local Government Areas","Annual","Bellingen (A)","2011",12923,
"Estimated Resident Population","Local Government Areas","Annual","Bellingen (A)","2012",12858,
"Estimated Resident Population","Local Government Areas","Annual","Bellingen (A)","2013",12854,
"Estimated Resident Population","Local Government Areas","Annual","Berrigan (A)","2003",8035,
"Estimated Resident Population","Local Government Areas","Annual","Berrigan (A)","2004",8014,
"Estimated Resident Population","Local Government Areas","Annual","Berrigan (A)","2005",8076,
"Estimated Resident Population","Local Government Areas","Annual","Berrigan (A)","2006",8160,
"Estimated Resident Population","Local Government Areas","Annual","Berrigan (A)","2007",8204,
"Estimated Resident Population","Local Government Areas","Annual","Berrigan (A)","2008",8237,
"Estimated Resident Population","Local Government Areas","Annual","Berrigan (A)","2009",8282,
"Estimated Resident Population","Local Government Areas","Annual","Berrigan (A)","2010",8291,
"Estimated Resident Population","Local Government Areas","Annual","Berrigan (A)","2011",8297,
"Estimated Resident Population","Local Government Areas","Annual","Berrigan (A)","2012",8330,
"Estimated Resident Population","Local Government Areas","Annual","Berrigan (A)","2013",8365,
"Estimated Resident Population","Local Government Areas","Annual","Blacktown (C)","2003",268806,
"Estimated Resident Population","Local Government Areas","Annual","Blacktown (C)","2004",271434,
"Estimated Resident Population","Local Government Areas","Annual","Blacktown (C)","2005",275206,
"Estimated Resident Population","Local Government Areas","Annual","Blacktown (C)","2006",278894,
"Estimated Resident Population","Local Government Areas","Annual","Blacktown (C)","2007",284925,
"Estimated Resident Population","Local Government Areas","Annual","Blacktown (C)","2008",292002,
"Estimated Resident Population","Local Government Areas","Annual","Blacktown (C)","2009",299450,
"Estimated Resident Population","Local Government Areas","Annual","Blacktown (C)","2010",306601,
"Estimated Resident Population","Local Government Areas","Annual","Blacktown (C)","2011",312346,
"Estimated Resident Population","Local Government Areas","Annual","Blacktown (C)","2012",318038,
"Estimated Resident Population","Local Government Areas","Annual","Blacktown (C)","2013",325185,
"Estimated Resident Population","Local Government Areas","Annual","Bland (A)","2003",6453,
"Estimated Resident Population","Local Government Areas","Annual","Bland (A)","2004",6360,
"Estimated Resident Population","Local Government Areas","Annual","Bland (A)","2005",6263,
"Estimated Resident Population","Local Government Areas","Annual","Bland (A)","2006",6212,
"Estimated Resident Population","Local Government Areas","Annual","Bland (A)","2007",6178,
"Estimated Resident Population","Local Government Areas","Annual","Bland (A)","2008",6113,
"Estimated Resident Population","Local Government Areas","Annual","Bland (A)","2009",6101,
"Estimated Resident Population","Local Government Areas","Annual","Bland (A)","2010",6049,
"Estimated Resident Population","Local Government Areas","Annual","Bland (A)","2011",6021,
"Estimated Resident Population","Local Government Areas","Annual","Bland (A)","2012",6056,
"Estimated Resident Population","Local Government Areas","Annual","Bland (A)","2013",6010,
"Estimated Resident Population","Local Government Areas","Annual","Blayney (A)","2003",6562,
"Estimated Resident Population","Local Government Areas","Annual","Blayney (A)","2004",6598,
"Estimated Resident Population","Local Government Areas","Annual","Blayney (A)","2005",6649,
"Estimated Resident Population","Local Government Areas","Annual","Blayney (A)","2006",6741,
"Estimated Resident Population","Local Government Areas","Annual","Blayney (A)","2007",6821,
"Estimated Resident Population","Local Government Areas","Annual","Blayney (A)","2008",6900,
"Estimated Resident Population","Local Government Areas","Annual","Blayney (A)","2009",7041,
"Estimated Resident Population","Local Government Areas","Annual","Blayney (A)","2010",7143,
"Estimated Resident Population","Local Government Areas","Annual","Blayney (A)","2011",7217,
"Estimated Resident Population","Local Government Areas","Annual","Blayney (A)","2012",7279,
"Estimated Resident Population","Local Government Areas","Annual","Blayney (A)","2013",7330,
"Estimated Resident Population","Local Government Areas","Annual","Blue Mountains (C)","2003",76651,
"Estimated Resident Population","Local Government Areas","Annual","Blue Mountains (C)","2004",76436,
"Estimated Resident Population","Local Government Areas","Annual","Blue Mountains (C)","2005",75971,
"Estimated Resident Population","Local Government Areas","Annual","Blue Mountains (C)","2006",75600,
"Estimated Resident Population","Local Government Areas","Annual","Blue Mountains (C)","2007",76198,
"Estimated Resident Population","Local Government Areas","Annual","Blue Mountains (C)","2008",77102,
"Estimated Resident Population","Local Government Areas","Annual","Blue Mountains (C)","2009",77869,
"Estimated Resident Population","Local Government Areas","Annual","Blue Mountains (C)","2010",78227,
"Estimated Resident Population","Local Government Areas","Annual","Blue Mountains (C)","2011",78553,
"Estimated Resident Population","Local Government Areas","Annual","Blue Mountains (C)","2012",78748,
"Estimated Resident Population","Local Government Areas","Annual","Blue Mountains (C)","2013",79225,
"Estimated Resident Population","Local Government Areas","Annual","Bogan (A)","2003",3052,
"Estimated Resident Population","Local Government Areas","Annual","Bogan (A)","2004",3027,
"Estimated Resident Population","Local Government Areas","Annual","Bogan (A)","2005",2964,
"Estimated Resident Population","Local Government Areas","Annual","Bogan (A)","2006",2939,
"Estimated Resident Population","Local Government Areas","Annual","Bogan (A)","2007",2972,
"Estimated Resident Population","Local Government Areas","Annual","Bogan (A)","2008",2992,
"Estimated Resident Population","Local Government Areas","Annual","Bogan (A)","2009",2999,
"Estimated Resident Population","Local Government Areas","Annual","Bogan (A)","2010",3013,
"Estimated Resident Population","Local Government Areas","Annual","Bogan (A)","2011",3009,
"Estimated Resident Population","Local Government Areas","Annual","Bogan (A)","2012",3034,
"Estimated Resident Population","Local Government Areas","Annual","Bogan (A)","2013",3037,
"Estimated Resident Population","Local Government Areas","Annual","Bombala (A)","2003",2590,
"Estimated Resident Population","Local Government Areas","Annual","Bombala (A)","2004",2576,
"Estimated Resident Population","Local Government Areas","Annual","Bombala (A)","2005",2577,
"Estimated Resident Population","Local Government Areas","Annual","Bombala (A)","2006",2589,
"Estimated Resident Population","Local Government Areas","Annual","Bombala (A)","2007",2567,
"Estimated Resident Population","Local Government Areas","Annual","Bombala (A)","2008",2534,
"Estimated Resident Population","Local Government Areas","Annual","Bombala (A)","2009",2516,
"Estimated Resident Population","Local Government Areas","Annual","Bombala (A)","2010",2503,
"Estimated Resident Population","Local Government Areas","Annual","Bombala (A)","2011",2484,
"Estimated Resident Population","Local Government Areas","Annual","Bombala (A)","2012",2428,
"Estimated Resident Population","Local Government Areas","Annual","Bombala (A)","2013",2401,
"Estimated Resident Population","Local Government Areas","Annual","Boorowa (A)","2003",2399,
"Estimated Resident Population","Local Government Areas","Annual","Boorowa (A)","2004",2396,
"Estimated Resident Population","Local Government Areas","Annual","Boorowa (A)","2005",2379,
"Estimated Resident Population","Local Government Areas","Annual","Boorowa (A)","2006",2350,
"Estimated Resident Population","Local Government Areas","Annual","Boorowa (A)","2007",2355,
"Estimated Resident Population","Local Government Areas","Annual","Boorowa (A)","2008",2366,
"Estimated Resident Population","Local Government Areas","Annual","Boorowa (A)","2009",2413,
"Estimated Resident Population","Local Government Areas","Annual","Boorowa (A)","2010",2451,
"Estimated Resident Population","Local Government Areas","Annual","Boorowa (A)","2011",2479,
"Estimated Resident Population","Local Government Areas","Annual","Boorowa (A)","2012",2529,
"Estimated Resident Population","Local Government Areas","Annual","Boorowa (A)","2013",2558,
"Estimated Resident Population","Local Government Areas","Annual","Botany Bay (C)","2003",37228,
"Estimated Resident Population","Local Government Areas","Annual","Botany Bay (C)","2004",37081,
"Estimated Resident Population","Local Government Areas","Annual","Botany Bay (C)","2005",37215,
"Estimated Resident Population","Local Government Areas","Annual","Botany Bay (C)","2006",37453,
"Estimated Resident Population","Local Government Areas","Annual","Botany Bay (C)","2007",38041,
"Estimated Resident Population","Local Government Areas","Annual","Botany Bay (C)","2008",39018,
"Estimated Resident Population","Local Government Areas","Annual","Botany Bay (C)","2009",40026,
"Estimated Resident Population","Local Government Areas","Annual","Botany Bay (C)","2010",40909,
"Estimated Resident Population","Local Government Areas","Annual","Botany Bay (C)","2011",41504,
"Estimated Resident Population","Local Government Areas","Annual","Botany Bay (C)","2012",42294,
"Estimated Resident Population","Local Government Areas","Annual","Botany Bay (C)","2013",43292,
"Estimated Resident Population","Local Government Areas","Annual","Bourke (A)","2003",3642,
"Estimated Resident Population","Local Government Areas","Annual","Bourke (A)","2004",3494,
"Estimated Resident Population","Local Government Areas","Annual","Bourke (A)","2005",3349,
"Estimated Resident Population","Local Government Areas","Annual","Bourke (A)","2006",3185,
"Estimated Resident Population","Local Government Areas","Annual","Bourke (A)","2007",3073,
"Estimated Resident Population","Local Government Areas","Annual","Bourke (A)","2008",3046,
"Estimated Resident Population","Local Government Areas","Annual","Bourke (A)","2009",3013,
"Estimated Resident Population","Local Government Areas","Annual","Bourke (A)","2010",3033,
"Estimated Resident Population","Local Government Areas","Annual","Bourke (A)","2011",3053,
"Estimated Resident Population","Local Government Areas","Annual","Bourke (A)","2012",3029,
"Estimated Resident Population","Local Government Areas","Annual","Bourke (A)","2013",2996,
"Estimated Resident Population","Local Government Areas","Annual","Brewarrina (A)","2003",2078,
"Estimated Resident Population","Local Government Areas","Annual","Brewarrina (A)","2004",2039,
"Estimated Resident Population","Local Government Areas","Annual","Brewarrina (A)","2005",2029,
"Estimated Resident Population","Local Government Areas","Annual","Brewarrina (A)","2006",2004,
"Estimated Resident Population","Local Government Areas","Annual","Brewarrina (A)","2007",1961,
"Estimated Resident Population","Local Government Areas","Annual","Brewarrina (A)","2008",1944,
"Estimated Resident Population","Local Government Areas","Annual","Brewarrina (A)","2009",1900,
"Estimated Resident Population","Local Government Areas","Annual","Brewarrina (A)","2010",1878,
"Estimated Resident Population","Local Government Areas","Annual","Brewarrina (A)","2011",1874,
"Estimated Resident Population","Local Government Areas","Annual","Brewarrina (A)","2012",1874,
"Estimated Resident Population","Local Government Areas","Annual","Brewarrina (A)","2013",1940,
"Estimated Resident Population","Local Government Areas","Annual","Broken Hill (C)","2003",20403,
"Estimated Resident Population","Local Government Areas","Annual","Broken Hill (C)","2004",20111,
"Estimated Resident Population","Local Government Areas","Annual","Broken Hill (C)","2005",19915,
"Estimated Resident Population","Local Government Areas","Annual","Broken Hill (C)","2006",19753,
"Estimated Resident Population","Local Government Areas","Annual","Broken Hill (C)","2007",19708,
"Estimated Resident Population","Local Government Areas","Annual","Broken Hill (C)","2008",19604,
"Estimated Resident Population","Local Government Areas","Annual","Broken Hill (C)","2009",19421,
"Estimated Resident Population","Local Government Areas","Annual","Broken Hill (C)","2010",19267,
"Estimated Resident Population","Local Government Areas","Annual","Broken Hill (C)","2011",19151,
