region_id,Med_ag_pe_In_pe_h_I_p,Me_ag_ps_N_In_ps_ot_hh,Med_age_psns_Tot,Me_p_in_wk_In_ps_hh_In_p,Me_ps_in_wk_No_In_ps_ot_hh,Med_psnl_inc_wk_Tot,Me_hh_in_wk_In_ps_hh_In_ps,Me_hh_in_wk_No_In_ps_ot_hh,Med_hhd_inc_wk_Tot,Me_mo_re_mt_In_ps_hh_In_ps,Me_mo_re_mt_No_In_ps_ot_hh,Med_mort_repay_mth_Tot,Me_re_wk_In_ps_hh_Ind_psns,Me_re_wk_No_In_psns_oth_hh,Med_rent_wk_Tot,Av_N_p_pe_be_In_ps_hh_wi_In_p,Av_Nu_ps_pe_be_No_In_ps_ot_hh,Avg_Nu_psns_per_bed_Tot,Av_hh_si_In_ps_hh_wi_Ind_psns,Avg_hh_si_No_Ind_psn_othr_hhd,Avg_household_size_Tot,P_d_n_x_b_In_ps_hh_w_In_p,P_d_n_x_b_No_In_p_oth_hh,P_d_n_x_b_Tot
IARE104017,19,44,42,334,415,408,761,793,790,1304,1300,1300,200,200,200,1.2,1.1,1.1,3.3,2.4,2.4,10.8,2.4,2.9
IARE104018,19,35,35,467,647,641,1585,1701,1694,2167,2000,2000,250,260,260,1.2,1.1,1.1,3.3,2.7,2.7,7.8,2.4,2.6
IARE104019,18,48,46,305,399,395,720,773,770,1300,1300,1300,190,200,200,1.2,1.1,1.1,3.3,2.3,2.4,8.6,1.9,2.3
IARE104020,20,46,45,379,444,442,992,839,845,1795,1733,1733,290,295,295,1.2,1.1,1.1,3.2,2.3,2.4,8.7,2.2,2.5
IARE104021,19,41,40,398,471,469,1009,930,934,1733,1733,1733,260,265,260,1.2,1.1,1.1,3.2,2.5,2.5,8.5,2.5,2.7
IARE105001,19,38,37,387,562,559,742,1037,1026,1300,1456,1452,160,196,195,1.2,1.1,1.1,3.0,2.4,2.4,7.2,1.6,1.8
IARE105002,23,43,41,336,495,474,763,910,892,910,1083,1083,150,135,140,1.3,1.1,1.1,3.1,2.4,2.5,12.3,2.1,3.1
IARE105003,20,37,36,341,552,544,940,1153,1142,1517,1636,1625,210,220,220,1.2,1.1,1.1,3.2,2.5,2.5,10.7,1.7,2.1
IARE105004,18,42,41,329,536,532,972,1076,1073,1409,1434,1434,183,150,150,1.2,1.1,1.1,3.4,2.5,2.6,9.1,1.9,2.1
IARE105005,24,40,39,383,531,519,804,935,921,780,1000,999,150,105,123,1.1,1.1,1.1,2.9,2.4,2.5,5.3,2.0,2.3
IARE105006,19,47,46,340,437,433,808,803,803,867,1029,1018,145,125,125,1.2,1.1,1.1,3.2,2.3,2.3,5.7,1.3,1.4
IARE105007,21,44,44,359,428,427,990,800,806,1083,1083,1083,150,121,130,1.2,1.1,1.1,3.3,2.4,2.4,8.5,1.6,1.8
IARE105008,25,47,46,339,430,425,766,774,773,889,1083,1083,142,150,150,1.1,1.1,1.1,2.9,2.3,2.3,3.6,1.0,1.1
IARE105009,22,46,45,327,420,412,728,789,785,1213,1083,1092,160,152,155,1.2,1.1,1.1,2.8,2.3,2.3,7.8,1.8,2.2
IARE105010,23,46,45,340,477,471,603,857,847,1463,1200,1200,135,170,165,1.1,1.1,1.1,2.7,2.3,2.3,5.5,0.9,1.1
IARE105011,18,43,41,360,469,459,758,838,829,1127,1181,1148,150,150,150,1.1,1.1,1.1,3.1,2.3,2.4,5.4,1.8,2.2
IARE105012,19,37,36,364,522,515,796,1051,1033,1300,1500,1473,170,175,175,1.2,1.1,1.1,3.0,2.6,2.6,6.8,2.9,3.1
IARE105013,27,42,41,346,459,455,749,869,861,975,1159,1127,160,145,150,1.1,1.1,1.1,3.1,2.4,2.5,8.0,1.9,2.1
IARE105014,22,44,41,354,467,445,758,848,832,1000,867,867,120,85,110,1.2,1.1,1.1,3.2,2.3,2.5,8.0,1.3,2.3
IARE105015,21,43,42,364,470,465,931,918,918,1543,1452,1470,180,170,170,1.2,1.1,1.1,3.2,2.3,2.4,8.9,2.0,2.3
IARE105016,20,42,41,357,447,443,986,905,909,1616,1517,1517,200,200,200,1.2,1.1,1.1,3.2,2.4,2.4,9.3,1.9,2.3
IARE105017,19,45,42,392,454,449,743,805,794,1177,1000,1040,150,140,140,1.2,1.1,1.1,3.1,2.3,2.4,6.8,1.5,2.1
IARE105018,18,37,36,377,594,582,894,1179,1160,1385,1640,1625,195,235,230,1.2,1.1,1.1,3.2,2.5,2.5,10.4,1.7,2.2
IARE105019,20,42,41,353,488,481,746,948,938,1250,1300,1300,160,165,160,1.2,1.1,1.1,3.0,2.4,2.4,7.5,1.5,1.8
IARE105020,19,45,45,353,467,465,822,885,883,1083,1200,1200,180,150,155,1.2,1.1,1.1,3.1,2.4,2.4,7.8,1.3,1.4
IARE105021,19,35,34,396,594,586,867,1169,1149,1517,1538,1538,190,230,220,1.2,1.1,1.1,3.1,2.5,2.5,6.1,1.6,1.9
IARE105022,20,41,40,314,444,439,647,820,812,1300,1248,1253,180,180,180,1.2,1.1,1.1,3.2,2.4,2.5,6.9,1.7,1.9
IARE106001,18,48,48,328,456,453,752,850,847,1333,1300,1300,190,200,200,1.2,1.1,1.1,3.1,2.3,2.3,8.2,1.9,2.1
IARE106002,21,51,50,318,431,424,737,788,785,1517,1430,1430,185,220,220,1.2,1.1,1.1,3.1,2.2,2.3,9.3,1.6,2.0
IARE106003,20,47,46,346,430,426,819,822,822,1538,1517,1517,205,220,220,1.2,1.1,1.1,3.2,2.3,2.3,8.0,1.5,1.9
IARE106004,21,39,38,560,750,746,1328,1468,1463,1733,1950,1944,220,250,250,1.1,1.1,1.1,3.0,2.5,2.5,7.4,2.3,2.5
IARE106005,21,43,43,396,556,553,1017,1098,1096,1733,1733,1733,220,215,215,1.1,1.1,1.1,3.2,2.4,2.5,6.8,1.7,1.9
IARE107001,31,31,31,465,420,420,1292,1159,1160,1777,2000,2000,325,350,350,1.2,1.3,1.3,2.7,3.1,3.1,10.0,14.4,14.4
IARE107002,23,38,38,555,720,720,1796,2046,2044,2817,2570,2572,400,450,450,1.1,1.1,1.1,3.4,3.1,3.1,6.5,1.8,1.8
IARE107003,19,33,32,360,572,565,938,1405,1388,1830,2100,2100,200,300,300,1.2,1.1,1.1,3.4,3.1,3.1,12.1,6.2,6.4
IARE107004,21,42,42,443,593,590,1261,1270,1270,1950,1842,1842,283,280,280,1.1,1.1,1.1,3.2,2.5,2.5,4.3,1.6,1.7
IARE107005,25,37,37,506,576,575,1125,1246,1244,2687,2500,2500,300,340,330,1.2,1.2,1.2,2.8,2.6,2.6,13.0,9.0,9.1
IARE107006,18,34,34,593,697,695,1809,1740,1742,2500,2195,2200,350,360,360,1.1,1.1,1.1,3.5,3.0,3.0,5.8,1.8,1.9
IARE107007,18,34,33,390,551,547,1004,1265,1253,1863,1800,1800,220,265,260,1.2,1.1,1.1,3.4,2.9,2.9,10.0,5.1,5.3
IARE107008,25,35,35,418,429,429,1095,1063,1063,1960,2000,2000,290,300,300,1.2,1.3,1.3,3.0,2.9,2.9,10.9,10.1,10.2
IARE107009,21,36,36,368,370,370,971,1025,1024,1686,1800,1800,258,280,280,1.2,1.2,1.2,3.3,3.2,3.2,12.8,11.6,11.6
IARE107010,20,37,36,429,627,622,1213,1385,1380,2058,2019,2023,265,280,280,1.2,1.1,1.1,3.4,2.8,2.8,10.2,2.9,3.1
IARE107011,24,34,34,440,517,516,1060,1210,1208,2167,2058,2058,300,330,330,1.2,1.2,1.2,3.1,2.8,2.8,13.3,8.6,8.7
IARE107012,24,40,40,567,729,729,1891,2025,2025,2600,2600,2600,394,445,445,1.1,1.1,1.1,3.2,2.9,2.9,5.2,2.6,2.6
IARE107013,25,37,37,556,650,650,1730,1511,1512,2535,2400,2400,290,370,370,1.2,1.2,1.2,2.8,2.6,2.6,7.2,4.9,4.9
IARE107014,22,37,37,504,566,565,1234,1357,1356,2000,2167,2167,340,370,370,1.2,1.2,1.2,3.1,2.8,2.8,11.5,6.9,6.9
IARE107015,18,40,39,390,504,502,1030,1157,1152,2041,1907,1907,230,270,260,1.2,1.1,1.1,3.3,2.7,2.7,9.0,2.1,2.3
IARE107016,29,37,37,444,1093,1086,1051,2254,2235,2167,3000,3000,220,480,480,1.2,1.1,1.1,2.5,2.3,2.3,10.1,3.1,3.2
IARE107017,20,33,33,388,513,510,1014,1302,1296,2167,2163,2167,225,300,295,1.2,1.2,1.2,3.2,3.2,3.2,10.3,6.9,7.0
IARE107018,58,48,48,2000,627,633,0,904,904,0,1040,1040,0,138,138,0,1.2,1.2,0,2.2,2.2,0,3.0,3.0
IARE107019,28,36,36,550,775,772,1233,1611,1605,3031,2453,2461,280,375,370,1.2,1.2,1.2,2.6,2.3,2.3,11.7,6.0,6.1
IARE107020,29,39,39,642,779,779,1713,1813,1812,2500,2800,2800,475,460,460,1.1,1.1,1.1,3.0,2.6,2.6,6.2,3.0,3.1
IARE107021,26,33,33,420,545,544,908,1291,1287,2000,2058,2058,225,340,340,1.2,1.2,1.2,2.8,2.7,2.7,10.6,8.5,8.6
IARE107022,21,34,34,491,627,624,1301,1404,1400,2000,1993,1993,275,300,300,1.2,1.1,1.1,3.3,2.8,2.9,8.0,3.5,3.7
IARE107023,27,35,35,453,722,718,1156,1586,1577,2600,2600,2600,226,450,440,1.2,1.2,1.2,2.8,2.4,2.4,9.5,6.1,6.1
IARE107024,26,37,36,659,555,555,1487,1274,1276,2167,2167,2167,380,370,370,1.3,1.2,1.2,2.9,2.7,2.7,11.8,9.0,9.0
IARE107025,25,39,39,569,719,718,1629,1675,1674,2600,2400,2400,350,370,370,1.2,1.1,1.1,3.0,2.7,2.7,8.4,2.5,2.5
IARE107026,30,32,32,390,895,888,781,1652,1639,2650,2526,2529,200,470,465,1.2,1.3,1.3,2.2,1.9,1.9,8.9,8.5,8.5
IARE107027,28,36,36,606,643,643,1489,1548,1548,2600,2400,2400,370,411,411,1.2,1.2,1.2,2.8,2.6,2.6,11.1,7.6,7.6
IARE107028,29,37,37,854,1041,1041,1741,2162,2160,2500,2845,2845,460,475,475,1.2,1.2,1.2,2.4,2.3,2.3,7.4,4.0,4.1
IARE107029,19,37,37,487,610,607,1403,1449,1447,2123,2080,2080,278,270,270,1.1,1.1,1.1,3.5,2.9,3.0,5.5,2.4,2.5
IARE107030,21,39,38,374,492,489,928,1107,1101,2000,1950,1950,205,250,250,1.2,1.1,1.1,3.0,2.5,2.5,9.2,3.0,3.2
IARE107031,28,36,36,762,1046,1045,1916,2083,2082,3467,3000,3015,495,510,510,1.3,1.2,1.2,2.5,2.3,2.3,7.9,3.5,3.5
IARE194994,30,38,37,282,356,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IARE197997,0,63,63,500,470,474,0,0,0,0,3924,3924,0,0,0,0,0,0,0,0,0,0,0,0
