region_id,HYSC_Y10_e_No_In_F,HYSC_Y10_e_No_In_P,HYSC_Y10_e_In_s_nsM,HYSC_Y10_e_In_s_nsF,HYSC_Y10_e_In_s_nsP,HYSC_Y10_e_TotM,HYSC_Y10_e_TotF,HYSC_Y10_e_TotP,HYSC_Y9_e_Ind_M,HYSC_Y9_e_Ind_F,HYSC_Y9_e_Ind_P,HYSC_Y9_e_No_In_M,HYSC_Y9_e_No_In_F,HYSC_Y9_e_No_In_P,HYSC_Y9_e_In_st_nsM,HYSC_Y9_e_In_st_nsF,HYSC_Y9_e_In_st_nsP,HYSC_Y9_e_TotM,HYSC_Y9_e_TotF,HYSC_Y9_e_TotP,HYSC_Y8_bel_Ind_M,HYSC_Y8_bel_Ind_F,HYSC_Y8_bel_Ind_P,HYSC_Y8_bel_No_Ind_M,HYSC_Y8_bel_No_Ind_F,HYSC_Y8_bel_No_Ind_P,HYSC_Y8_be_In_st_nsM,HYSC_Y8_be_In_st_nsF,HYSC_Y8_be_In_st_nsP,HYSC_Y8_bel_TotM,HYSC_Y8_bel_TotF,HYSC_Y8_bel_TotP,HYSC_Dng_to_sc_Ind_M,HYSC_Dng_to_sc_Ind_F,HYSC_Dng_to_sc_Ind_P,HYSC_Dng_to_sc_No_In_M,HYSC_Dng_to_sc_No_In_F,HYSC_Dng_to_sc_No_In_P,HYSC_Dng_sc_In_st_nsM,HYSC_Dng_sc_In_st_nsF,HYSC_Dng_sc_In_st_nsP,HYSC_Dng_to_sc_TotM,HYSC_Dng_to_sc_TotF,HYSC_Dng_to_sc_TotP,tpe_ur_occ_pvte_dwg_Sh_Indi_M,tpe_ur_occ_pvte_dwg_Sh_Indi_F,tpe_ur_occ_pvte_dwg_Sh_Indi_P,tpe_ur_occ_pte_dw_Sh_No_Ind_M,tpe_ur_occ_pte_dw_Sh_No_Ind_F,tpe_ur_occ_pte_dw_Sh_No_Ind_P,t_ur_occ_pte_dw_Sh_In_st_nsM,t_ur_occ_pte_dw_Sh_In_st_nsF,t_ur_occ_pte_dw_Sh_In_st_nsP,tpe_ur_occ_pvte_dwg_Sh_TotM,tpe_ur_occ_pvte_dwg_Sh_TotF,tpe_ur_occ_pvte_dwg_Sh_TotP,t_ur_oc_p_dw_im_h_t_s_o_In_M,t_ur_oc_p_dw_im_h_t_s_o_In_F,t_ur_oc_p_dw_im_h_t_s_o_In_P,T_ur_o_pr_d_I_h_t_s_o_No_In_M,T_ur_o_pr_d_I_h_t_s_o_No_In_F,T_ur_o_pr_d_I_h_t_s_o_No_In_P,t_ur_o_p_d_I_h_t_s_o_i_s_nsM,t_ur_o_p_d_I_h_t_s_o_i_s_nsF,t_ur_o_p_d_I_h_t_s_o_i_s_nsP,t_ur_o_p_d_I_h_t_s_o_TotM,t_ur_o_p_d_I_h_t_s_o_TotF,t_ur_o_p_d_I_h_t_s_o_TotP,ty_ur_oc_p_dw_Ot_p_dw_In_M,ty_ur_oc_p_dw_Ot_p_dw_In_F,ty_ur_oc_p_dw_Ot_p_dw_In_P,ty_ur_o_pr_d_Ot_pr_d_No_In_M,ty_ur_o_pr_d_Ot_pr_d_No_In_F,ty_ur_o_pr_d_Ot_pr_d_No_In_P,ty_ur_o_p_d_O_p_d_In_st_nsM,ty_ur_o_p_d_O_p_d_In_st_nsF,ty_ur_o_p_d_O_p_d_In_st_nsP,ty_ur_oc_pr_dw_Ot_pr_dw_TotM,ty_ur_oc_pr_dw_Ot_pr_dw_TotF,ty_ur_oc_pr_dw_Ot_pr_dw_TotP,ty_ur_occ_pri_dw_Tot_Ind_M,ty_ur_occ_pri_dw_Tot_Ind_F,ty_ur_occ_pri_dw_Tot_Ind_P,ty_ur_occ_pri_dw_Tot_No_Ind_M,ty_ur_occ_pri_dw_Tot_No_Ind_F,ty_ur_occ_pri_dw_Tot_No_Ind_P,ty_ur_oc_pr_dw_Tot_In_st_nsM,ty_ur_oc_pr_dw_Tot_In_st_nsF,ty_ur_oc_pr_dw_Tot_In_st_nsP,ty_ur_occ_pri_dw_Tot_TotM,ty_ur_occ_pri_dw_Tot_TotF,ty_ur_occ_pri_dw_Tot_TotP,ty_ur_Non_pri_dw_Ind_M,ty_ur_Non_pri_dw_Ind_F,ty_ur_Non_pri_dw_Ind_P,ty_ur_Non_pri_dw_NonInd_M,ty_ur_Non_pri_dw_NonInd_F,ty_ur_Non_pri_dw_NonInd_P,ty_ur_Non_pri_dw_IndSt_nsM,ty_ur_Non_pri_dw_IndSt_nsF,ty_ur_Non_pri_dw_IndSt_nsP,tpe_ur_Non_pvte_dwg_TotM,tpe_ur_Non_pvte_dwg_TotF,tpe_ur_Non_pvte_dwg_TotP
IARE106001,3977,7928,36,36,72,4074,4090,8164,50,41,91,1226,1128,2354,10,19,29,1286,1188,2474,35,40,75,912,786,1698,12,16,28,959,842,1801,3,3,6,50,19,69,0,0,0,53,22,75,368,385,753,11721,12141,23862,444,456,900,12533,12982,25515,0,0,0,31,17,48,3,5,8,34,22,56,43,47,90,1603,1730,3333,78,85,163,1724,1862,3586,411,432,843,13355,13888,27243,525,546,1071,14291,14866,29157,4,4,8,128,234,362,16,41,57,148,279,427
IARE106002,4707,9178,41,54,95,4667,4939,9606,98,133,231,1469,1491,2960,18,16,34,1585,1640,3225,91,74,165,1025,971,1996,22,15,37,1138,1060,2198,9,6,15,39,30,69,4,0,4,52,36,88,721,789,1510,12790,13164,25954,685,674,1359,14196,14627,28823,3,0,3,3,5,8,3,0,3,9,5,14,87,80,167,1557,1723,3280,146,116,262,1790,1919,3709,811,869,1680,14350,14892,29242,834,790,1624,15995,16551,32546,8,5,13,152,353,505,24,46,70,184,404,588
IARE106003,12664,24559,95,110,205,12433,13226,25659,239,253,492,4157,4292,8449,28,55,83,4424,4600,9024,146,129,275,2608,2403,5011,38,36,74,2792,2568,5360,13,8,21,104,86,190,4,6,10,121,100,221,1749,1879,3628,34664,36177,70841,1718,1710,3428,38131,39766,77897,0,0,0,9,7,16,0,0,0,9,7,16,168,176,344,2648,3139,5787,253,251,504,3069,3566,6635,1917,2055,3972,37321,39323,76644,1971,1961,3932,41209,43339,84548,100,15,115,841,710,1551,158,133,291,1099,858,1957
IARE106004,6602,13575,58,47,105,7187,6834,14021,80,76,156,1914,1728,3642,23,18,41,2017,1822,3839,43,41,84,1445,1344,2789,13,21,34,1501,1406,2907,5,3,8,104,125,229,7,4,11,116,132,248,666,686,1352,26038,26411,52449,1201,1082,2283,27905,28179,56084,0,0,0,33,32,65,5,0,5,38,32,70,130,133,263,4914,4645,9559,546,337,883,5590,5115,10705,796,819,1615,30985,31088,62073,1752,1419,3171,33533,33326,66859,44,6,50,669,536,1205,135,102,237,848,644,1492
IARE106005,11642,22866,107,102,209,11559,11951,23510,77,90,167,3277,3282,6559,41,41,82,3395,3413,6808,59,48,107,2304,2027,4331,43,38,81,2406,2113,4519,6,3,9,142,99,241,5,0,5,153,102,255,795,878,1673,38001,39754,77755,1519,1498,3017,40315,42130,82445,0,0,0,53,53,106,7,11,18,60,64,124,55,56,111,2332,2679,5011,176,137,313,2563,2872,5435,850,934,1784,40386,42486,82872,1702,1646,3348,42938,45066,88004,96,34,130,1101,1124,2225,52,89,141,1249,1247,2496
IARE107001,3433,7058,57,47,104,3705,3508,7213,10,7,17,1192,1165,2357,21,17,38,1223,1189,2412,7,10,17,1836,2344,4180,42,32,74,1885,2386,4271,0,0,0,977,1335,2312,23,27,50,1000,1362,2362,66,79,145,18057,17814,35871,1105,935,2040,19228,18828,38056,0,0,0,0,0,0,0,0,0,0,0,0,39,42,81,15041,14209,29250,1538,1184,2722,16618,15435,32053,105,121,226,33098,32023,65121,2643,2119,4762,35846,34263,70109,146,61,207,1226,405,1631,41,18,59,1413,484,1897
IARE107002,14125,26757,98,129,227,12805,14338,27143,20,23,43,3080,3264,6344,25,38,63,3125,3325,6450,3,15,18,1555,1877,3432,19,20,39,1577,1912,3489,0,0,0,262,382,644,8,5,13,270,387,657,251,268,519,69672,70690,140362,1711,1677,3388,71634,72635,144269,0,0,0,9,10,19,0,0,0,9,10,19,34,37,71,8688,10046,18734,397,404,801,9119,10487,19606,285,305,590,78369,80746,159115,2108,2081,4189,80762,83132,163894,9,3,12,510,546,1056,26,19,45,545,568,1113
IARE107003,25920,51944,270,255,525,27029,27051,54080,394,429,823,7266,7809,15075,89,111,200,7749,8349,16098,260,250,510,5762,6953,12715,90,121,211,6112,7324,13436,18,17,35,918,1539,2457,26,37,63,962,1593,2555,3227,3368,6595,114918,116995,231913,4785,4529,9314,122930,124892,247822,0,0,0,17,8,25,10,10,20,27,18,45,466,525,991,19370,20458,39828,1122,1010,2132,20958,21993,42951,3693,3893,7586,134305,137461,271766,5917,5549,11466,143915,146903,290818,168,12,180,1180,1112,2292,82,86,168,1430,1210,2640
IARE107004,8056,15573,81,78,159,7755,8280,16035,47,61,108,1797,1993,3790,16,20,36,1860,2074,3934,23,21,44,807,898,1705,17,15,32,847,934,1781,4,0,4,71,77,148,4,8,12,79,85,164,579,579,1158,30583,32875,63458,1452,1425,2877,32614,34879,67493,0,0,0,4,3,7,0,0,0,4,3,7,29,33,62,1389,1729,3118,125,109,234,1543,1871,3414,608,612,1220,31976,34607,66583,1577,1534,3111,34161,36753,70914,13,4,17,455,585,1040,48,86,134,516,675,1191
IARE107005,2672,5390,40,34,74,2829,2767,5596,16,32,48,720,827,1547,13,14,27,749,873,1622,12,16,28,907,1225,2132,13,22,35,932,1263,2195,0,0,0,208,312,520,0,6,6,208,318,526,135,142,277,7756,8093,15849,386,387,773,8277,8622,16899,0,0,0,0,0,0,0,0,0,0,0,0,133,160,293,9471,9684,19155,681,681,1362,10285,10525,20810,268,302,570,17227,17777,35004,1067,1068,2135,18562,19147,37709,4,3,7,213,168,381,42,10,52,259,181,440
IARE107006,6976,14138,54,46,100,7341,7145,14486,36,34,70,1695,1820,3515,11,17,28,1742,1871,3613,24,24,48,914,967,1881,16,13,29,954,1004,1958,3,3,6,103,135,238,0,4,4,106,142,248,532,514,1046,24974,25721,50695,892,824,1716,26398,27059,53457,0,0,0,0,3,3,0,0,0,0,3,3,31,27,58,1174,1493,2667,66,66,132,1271,1586,2857,563,541,1104,26148,27217,53365,958,890,1848,27669,28648,56317,3,0,3,120,319,439,10,20,30,133,339,472
IARE107007,16047,31888,152,133,285,16406,16709,33115,193,280,473,4485,4940,9425,62,51,113,4740,5271,10011,107,123,230,2600,3022,5622,46,55,101,2753,3200,5953,5,5,10,400,605,1005,13,11,24,418,621,1039,1721,2006,3727,54455,55954,110409,2573,2584,5157,58749,60544,119293,0,0,0,3,5,8,3,0,3,6,5,11,355,456,811,9046,10456,19502,761,840,1601,10162,11752,21914,2076,2462,4538,63504,66415,129919,3337,3424,6761,68917,72301,141218,13,12,25,653,874,1527,40,45,85,706,931,1637
IARE107008,23621,47008,294,252,546,23880,24138,48018,105,96,201,6530,7360,13890,73,69,142,6708,7525,14233,49,73,122,9074,10954,20028,132,165,297,9255,11192,20447,5,7,12,2962,4400,7362,47,72,119,3014,4479,7493,653,801,1454,95191,97317,192508,4810,4494,9304,100654,102612,203266,0,3,3,28,25,53,0,0,0,28,28,56,298,314,612,47685,48823,96508,4370,3977,8347,52353,53114,105467,951,1118,2069,142904,146165,289069,9180,8471,17651,153035,155754,308789,12,0,12,1336,1563,2899,151,143,294,1499,1706,3205
IARE107009,13373,27267,226,194,420,14247,13707,27954,72,73,145,4461,4701,9162,75,73,148,4608,4847,9455,43,36,79,7056,9111,16167,104,140,244,7203,9287,16490,4,6,10,3589,5805,9394,54,80,134,3647,5891,9538,513,543,1056,67485,68629,136114,3086,2993,6079,71084,72165,143249,0,0,0,3,3,6,0,0,0,3,3,6,126,95,221,18227,19825,38052,1099,1032,2131,19452,20952,40404,639,638,1277,85715,88457,174172,4185,4025,8210,90539,93120,183659,3,3,6,474,871,1345,20,29,49,497,903,1400
