region_id,Indigenous_Aboriginal_M,Indigenous_Aboriginal_F,Indigenous_Aboriginal_P,Indigenous_Torres_Strait_Is_M,Indigenous_Torres_Strait_Is_F,Indigenous_Torres_Strait_Is_P,Indig_Bth_Abor_Torr_Strt_Is_M,Indig_Bth_Abor_Torr_Strt_Is_F,Indig_Bth_Abor_Torr_Strt_Is_P,Indigenous_TotM,Indigenous_TotF,Indigenous_TotP,Non_Indig_M,Non_Indig_F,Non_Indig_P,Indigenous_status_nsM,Indigenous_status_nsF,Indigenous_status_nsP,Tot_M,Tot_F,Tot_P
IARE101001,198,211,409,3,5,8,0,3,3,201,219,420,1179,1118,2297,101,92,193,1481,1429,2910
IARE101002,2319,2529,4848,25,42,67,28,41,69,2372,2612,4984,15536,16702,32238,894,820,1714,18802,20134,38936
IARE101003,267,256,523,3,3,6,0,4,4,270,263,533,1692,1851,3543,106,118,224,2068,2232,4300
IARE101004,587,681,1268,13,6,19,11,7,18,611,694,1305,2575,2503,5078,163,133,296,3349,3330,6679
IARE101005,571,598,1169,9,6,15,6,3,9,586,607,1193,6045,6284,12329,425,388,813,7056,7279,14335
IARE101006,151,207,358,0,0,0,0,0,0,151,207,358,1141,1104,2245,61,46,107,1353,1357,2710
IARE101007,389,398,787,0,5,5,11,3,14,400,406,806,3466,3474,6940,233,194,427,4099,4074,8173
IARE101008,964,725,1689,15,11,26,18,9,27,997,745,1742,3365,3316,6681,222,205,427,4584,4266,8850
IARE102001,689,801,1490,7,7,14,11,6,17,707,814,1521,10276,11132,21408,619,711,1330,11602,12657,24259
IARE102002,238,220,458,7,6,13,9,9,18,254,235,489,3840,3980,7820,192,155,347,4286,4370,8656
IARE102003,667,665,1332,11,6,17,7,7,14,685,678,1363,5027,5070,10097,320,285,605,6032,6033,12065
IARE102004,214,217,431,6,7,13,3,3,6,223,227,450,2027,2040,4067,123,93,216,2373,2360,4733
IARE102005,608,551,1159,33,28,61,7,12,19,648,591,1239,9299,9683,18982,411,309,720,10358,10583,20941
IARE102006,381,400,781,13,11,24,4,8,12,398,419,817,3206,3147,6353,165,142,307,3769,3708,7477
IARE102007,849,955,1804,8,12,20,9,10,19,866,977,1843,2706,2687,5393,428,407,835,4000,4071,8071
IARE102008,446,489,935,3,3,6,4,5,9,453,497,950,2310,1997,4307,120,76,196,2883,2570,5453
IARE102009,418,403,821,10,10,20,4,3,7,432,416,848,7243,6773,14016,490,438,928,8165,7627,15792
IARE102010,642,691,1333,12,16,28,18,9,27,672,716,1388,5485,5429,10914,322,302,624,6479,6447,12926
IARE102011,2205,2312,4517,49,57,106,48,41,89,2302,2410,4712,23828,24978,48806,1278,1280,2558,27408,28668,56076
IARE102012,212,231,443,3,3,6,3,9,12,218,243,461,2960,3016,5976,214,160,374,3392,3419,6811
IARE102013,261,242,503,6,9,15,8,8,16,275,259,534,6306,6331,12637,286,298,584,6867,6888,13755
IARE102014,268,282,550,0,7,7,4,3,7,272,292,564,3873,3974,7847,181,140,321,4326,4406,8732
IARE103001,402,443,845,0,8,8,6,7,13,408,458,866,845,790,1635,205,163,368,1458,1411,2869
IARE103002,498,533,1031,3,3,6,0,3,3,501,539,1040,319,288,607,52,48,100,872,875,1747
IARE103003,315,274,589,3,5,8,3,5,8,321,284,605,1947,1821,3768,196,149,345,2464,2254,4718
IARE103004,566,610,1176,0,0,0,0,0,0,566,610,1176,1321,1260,2581,125,120,245,2012,1990,4002
IARE103005,1017,1134,2151,11,7,18,15,8,23,1043,1149,2192,8806,9006,17812,604,596,1200,10453,10751,21204
IARE103006,851,933,1784,3,6,9,7,11,18,861,950,1811,2359,1832,4191,285,200,485,3505,2982,6487
IARE104001,522,641,1163,15,15,30,17,11,28,554,667,1221,17551,19048,36599,706,678,1384,18811,20393,39204
IARE104002,206,229,435,24,17,41,17,22,39,247,268,515,13148,13914,27062,904,756,1660,14299,14938,29237
IARE104003,1173,1136,2309,35,40,75,34,38,72,1242,1214,2456,22868,23336,46204,1218,1118,2336,25328,25668,50996
IARE104004,1345,1377,2722,40,39,79,20,24,44,1405,1440,2845,22135,22775,44910,974,937,1911,24514,25152,49666
IARE104005,2087,2270,4357,57,56,113,48,40,88,2192,2366,4558,44134,46915,91049,2043,1927,3970,48369,51208,99577
IARE104006,240,239,479,4,3,7,5,3,8,249,245,494,6115,6097,12212,251,232,483,6615,6574,13189
IARE104007,1689,1692,3381,66,47,113,30,33,63,1785,1772,3557,72578,78587,151165,3962,3756,7718,78325,84115,162440
IARE104008,637,630,1267,17,15,32,6,13,19,660,658,1318,15257,15969,31226,899,906,1805,16816,17533,34349
IARE104009,1516,1522,3038,9,11,20,44,22,66,1569,1555,3124,11930,11862,23792,637,633,1270,14136,14050,28186
IARE104010,242,222,464,7,8,15,0,3,3,249,233,482,4115,4098,8213,233,207,440,4597,4538,9135
IARE104011,2601,2784,5385,56,73,129,45,35,80,2702,2892,5594,86464,90865,177329,3193,2977,6170,92359,96734,189093
IARE104012,873,928,1801,23,21,44,40,30,70,936,979,1915,19119,20152,39271,884,783,1667,20939,21914,42853
IARE104013,1068,1171,2239,36,25,61,26,31,57,1130,1227,2357,30479,31960,62439,1346,1222,2568,32955,34409,67364
IARE104014,1874,1871,3745,58,61,119,33,30,63,1965,1962,3927,67717,70382,138099,3417,2987,6404,73099,75331,148430
IARE104015,1150,1160,2310,26,23,49,30,27,57,1206,1210,2416,32241,35176,67417,1497,1383,2880,34944,37769,72713
IARE104016,1067,1157,2224,37,34,71,20,20,40,1124,1211,2335,29139,30164,59303,1708,1579,3287,31971,32954,64925
IARE104017,672,730,1402,17,19,36,12,12,24,701,761,1462,9746,9960,19706,489,430,919,10936,11151,22087
IARE104018,393,414,807,14,8,22,6,9,15,413,431,844,10706,10198,20904,515,406,921,11634,11035,22669
IARE104019,1163,1217,2380,38,26,64,27,29,56,1228,1272,2500,20314,21559,41873,1087,1034,2121,22629,23865,46494
IARE104020,1176,1180,2356,139,131,270,171,144,315,1486,1455,2941,37556,40682,78238,1970,1957,3927,41012,44094,85106
IARE104021,2534,2678,5212,71,77,148,45,57,102,2650,2812,5462,66564,71514,138078,3164,3042,6206,72378,77368,149746
IARE105001,509,534,1043,28,17,45,7,13,20,544,564,1108,21595,23353,44948,1126,997,2123,23265,24914,48179
IARE105002,372,432,804,8,6,14,8,15,23,388,453,841,4004,3695,7699,293,196,489,4685,4344,9029
IARE105003,828,739,1567,13,20,33,17,18,35,858,777,1635,17517,17535,35052,920,841,1761,19295,19153,38448
IARE105004,260,271,531,4,7,11,11,5,16,275,283,558,8953,8906,17859,311,327,638,9539,9516,19055
IARE105005,195,195,390,7,0,7,3,4,7,205,199,404,2273,1994,4267,136,125,261,2614,2318,4932
IARE105006,240,238,478,10,8,18,3,0,3,253,246,499,8362,8214,16576,458,386,844,9073,8846,17919
IARE105007,252,234,486,11,11,22,0,4,4,263,249,512,9001,9158,18159,356,316,672,9620,9723,19343
