region_id,M_15_19_Pvded_upaid_assist,M_15_19_No_upaid_assist_Pvded,M_15_19_upaid_assist_ns,M_15_19_Tot,M_20_24_Pvded_upaid_assist,M_20_24_No_upaid_assist_Pvded,M_20_24_upaid_assist_ns,M_20_24_Tot,M_25_34_Pvded_upaid_assist,M_25_34_No_upaid_assist_Pvded,M_25_34_upaid_assist_ns,M_25_34_Tot,M_35_44_Pvded_upaid_assist,M_35_44_No_upaid_assist_Pvded,M_35_44_upaid_assist_ns,M_35_44_Tot,M_45_54_Pvded_upaid_assist,M_45_54_No_upaid_assist_Pvded,M_45_54_upaid_assist_ns,M_45_54_Tot,M_55_64_Pvded_upaid_assist,M_55_64_No_upaid_assist_Pvded,M_55_64_upaid_assist_ns,M_55_64_Tot,M_65over_Pvded_upaid_assist,M_65ove_No_upaid_assist_Pvde,M_65over_upaid_assist_ns,M_65_and_over_Tot,M_TotPvded_upaid_assist,M_Tot_No_upaid_assist_Pvded,M_Tot_upaid_assist_ns,M_Tot_Tot,F_15_19_Pvded_upaid_assist,F_15_19_No_upaid_assist_Pvded,F_15_19_upaid_assist_ns,F_15_19_Tot,F_20_24_Pvded_upaid_assist,F_20_24_No_upaid_assist_Pvded,F_20_24_upaid_assist_ns,F_20_24_Tot,F_25_34_Pvded_upaid_assist,F_25_34_No_upaid_assist_Pvded,F_25_34_upaid_assist_ns,F_25_34_Tot,F_35_44_Pvded_upaid_assist,F_35_44_No_upaid_assist_Pvded,F_35_44_upaid_assist_ns,F_35_44_Tot,F_45_54_Pvded_upaid_assist,F_45_54_No_upaid_assist_Pvded,F_45_54_upaid_assist_ns,F_45_54_Tot,F_55_64_Pvded_upaid_assist,F_55_64_No_upaid_assist_Pvded,F_55_64_upaid_assist_ns,F_55_64_Tot,F_65over_Pvded_upaid_assist,F_65ove_No_upaid_assist_Pvd,F_65over_upaid_assist_ns,F_65_and_over_Tot,F_TotPvded_upaid_assist,F_Tot_No_upaid_assist_Pvded,F_Tot_upaid_assist_ns,F_Tot_Tot,P_15_19_Pvded_upaid_assist,P_15_19_No_upaid_assist_Pvded,P_15_19_upaid_assist_ns,P_15_19_Tot,P_20_24_Pvded_upaid_assist,P_20_24_No_upaid_assist_Pvded,P_20_24_upaid_assist_ns,P_20_24_Tot,P_25_34_Pvded_upaid_assist,P_25_34_No_upaid_assist_Pvded,P_25_34_upaid_assist_ns,P_25_34_Tot,P_35_44_Pvded_upaid_assist,P_35_44_No_upaid_assist_Pvded,P_35_44_upaid_assist_ns,P_35_44_Tot,P_45_54_Pvded_upaid_assist,P_45_54_No_upaid_assist_Pvded,P_45_54_upaid_assist_ns,P_45_54_Tot,P_55_64_Pvded_upaid_assist,P_55_64_No_upaid_assist_Pvded,P_55_64_upaid_assist_ns,P_55_64_Tot,P_65over_Pvded_upaid_assist,P_65ove_No_upaid_assist_Pvd,P_65over_upaid_assist_ns,P_65_and_over_Tot,P_TotPvded_upaid_assist,P_Tot_No_upaid_assist_Pvded,P_Tot_upaid_assist_ns,P_Tot_Tot
IARE103005,7,91,19,117,6,60,32,98,19,84,49,152,20,82,19,121,7,80,11,98,3,53,3,59,5,24,6,35,67,474,139,680,9,99,18,126,12,89,12,113,22,92,10,124,27,111,14,152,16,95,10,121,11,52,5,68,10,39,8,57,107,577,77,761,16,190,37,243,18,149,44,211,41,176,59,276,47,193,33,273,23,175,21,219,14,105,8,127,15,63,14,92,174,1051,216,1441
IARE103006,6,62,18,86,6,47,12,65,11,67,9,87,17,72,14,103,12,82,13,107,10,62,8,80,3,43,12,58,65,435,86,586,6,71,18,95,3,53,7,63,18,81,11,110,26,88,18,132,24,77,16,117,14,47,8,69,7,34,12,53,98,451,90,639,12,133,36,181,9,100,19,128,29,148,20,197,43,160,32,235,36,159,29,224,24,109,16,149,10,77,24,111,163,886,176,1225
IARE104001,3,56,12,71,3,34,4,41,7,47,4,58,11,53,3,67,13,40,3,56,3,29,3,35,4,15,3,22,44,274,32,350,3,49,8,60,11,36,5,52,16,44,5,65,18,84,8,110,18,50,7,75,10,32,0,42,0,30,6,36,76,325,39,440,6,105,20,131,14,70,9,93,23,91,9,123,29,137,11,177,31,90,10,131,13,61,3,77,4,45,9,58,120,599,71,790
IARE104002,0,27,3,30,0,12,0,12,4,22,0,26,5,31,0,36,3,15,3,21,3,17,0,20,0,6,3,9,15,130,9,154,3,17,3,23,0,18,3,21,3,18,0,21,15,24,3,42,8,27,0,35,5,15,3,23,0,6,3,9,34,125,15,174,3,44,6,53,0,30,3,33,7,40,0,47,20,55,3,78,11,42,3,56,8,32,3,43,0,12,6,18,49,255,24,328
IARE104003,14,126,21,161,5,66,21,92,9,108,55,172,23,99,39,161,16,72,10,98,10,44,6,60,3,31,6,40,80,546,158,784,5,112,15,132,15,85,5,105,25,93,7,125,32,102,12,146,34,85,3,122,19,37,9,65,3,38,9,50,133,552,60,745,19,238,36,293,20,151,26,197,34,201,62,297,55,201,51,307,50,157,13,220,29,81,15,125,6,69,15,90,213,1098,218,1529
IARE104004,8,120,28,156,8,78,28,114,23,76,48,147,22,117,29,168,22,96,11,129,13,51,10,74,7,44,10,61,103,582,164,849,14,124,22,160,16,66,14,96,29,119,10,158,40,128,15,183,43,107,11,161,24,59,11,94,6,45,15,66,172,648,98,918,22,244,50,316,24,144,42,210,52,195,58,305,62,245,44,351,65,203,22,290,37,110,21,168,13,89,25,127,275,1230,262,1767
IARE104005,18,208,34,260,18,131,14,163,37,169,15,221,38,191,16,245,23,163,20,206,23,110,7,140,7,68,9,84,164,1040,115,1319,17,205,39,261,11,145,5,161,41,222,11,274,63,200,26,289,48,185,19,252,36,102,11,149,12,69,17,98,228,1128,128,1484,35,413,73,521,29,276,19,324,78,391,26,495,101,391,42,534,71,348,39,458,59,212,18,289,19,137,26,182,392,2168,243,2803
IARE104006,5,27,0,32,0,11,0,11,4,16,0,20,3,19,3,25,0,21,6,27,4,20,0,24,0,11,0,11,16,125,9,150,0,20,3,23,3,9,0,12,6,22,0,28,5,21,4,30,11,26,0,37,5,12,0,17,3,10,5,18,33,120,12,165,5,47,3,55,3,20,0,23,10,38,0,48,8,40,7,55,11,47,6,64,9,32,0,41,3,21,5,29,49,245,21,315
IARE104007,7,220,24,251,14,151,7,172,19,183,7,209,23,130,7,160,33,138,20,191,17,76,9,102,7,52,12,71,120,950,86,1156,12,185,14,211,15,131,15,161,36,157,7,200,49,142,8,199,54,147,10,211,19,95,9,123,12,64,24,100,197,921,87,1205,19,405,38,462,29,282,22,333,55,340,14,409,72,272,15,359,87,285,30,402,36,171,18,225,19,116,36,171,317,1871,173,2361
IARE104008,5,68,8,81,0,33,5,38,6,56,0,62,22,52,0,74,14,57,11,82,10,41,3,54,8,22,3,33,65,329,30,424,8,67,13,88,4,43,3,50,12,43,3,58,17,50,0,67,24,53,3,80,11,47,3,61,3,33,8,44,79,336,33,448,13,135,21,169,4,76,8,88,18,99,3,120,39,102,0,141,38,110,14,162,21,88,6,115,11,55,11,77,144,665,63,872
