region_id,M_Y12_equivalent_Indigenous,M_Y12_equivalent_Non_Indig,M_Y12_equiv_IndigStat_ns,M_Y12_equivalent_Tot,M_Y11_equivalent_Indigenous,M_Y11_equiv_Non_Indig,M_Y11_equiv_IndigStat_ns,M_Y11_equivalent_Tot,M_Y10_equivalent_Indigenous,M_Y10_equiv_Non_Indig,M_Y10_equiv_IndigStat_ns,M_Y10_equivalent_Tot,M_Y9_equivalent_Indigenous,M_Y9_equiv_Non_Indig,M_Y9_equiv_IndigStat_ns,M_Y9_equivalent_Tot,M_Y8_below_Indigenous,M_Y8_below_Non_Indig,M_Y8_below_IndigStat_ns,M_Y8_below_Tot,M_Did_not_go_to_school_Indig,M_Did_not_go_to_sch_Non_Indig,M_Di_no_go_to_sch_IndSt_ns,M_Did_not_go_to_school_Tot,M_Highest_yr_school_ns_Indig,M_Highest_yr_sch_ns_Non_Indig,M_Highe_yr_sch_ns_IndSt_ns,M_Highest_yr_school_ns_Tot,M_Tot_Indigenous,M_Tot_Non_Indigenous,M_Tot_IndigStat_ns,M_Tot_Tot,F_Y12_equivalent_Indigenous,F_Y12_equivalent_Non_Indig,F_Y12_equiv_IndigStat_ns,F_Y12_equivalent_Tot,F_Y11_equivalent_Indigenous,F_Y11_equiv_Non_Indig,F_Y11_equiv_IndigStat_ns,F_Y11_equivalent_Tot,F_Y10_equivalent_Indigenous,F_Y10_equiv_Non_Indig,F_Y10_equiv_IndigStat_ns,F_Y10_equivalent_Tot,F_Y9_equivalent_Indigenous,F_Y9_equiv_Non_Indig,F_Y9_equiv_IndigStat_ns,F_Y9_equivalent_Tot,F_Y8_below_Indigenous,F_Y8_below_Non_Indig,F_Y8_below_IndigStat_ns,F_Y8_below_Tot,F_Did_not_go_to_school_Indig,F_Did_not_go_to_sch_Non_Indig,F_Di_no_go_to_sch_IndSt_ns,F_Did_not_go_to_school_Tot,F_Highest_yr_school_ns_Indig,F_Highest_yr_sch_ns_Non_Indig,F_Highe_yr_sch_ns_IndSt_ns,F_Highest_yr_school_ns_Tot,F_Tot_Indigenous,F_Tot_Non_Indigenous,F_Tot_IndigStat_ns,F_Tot_Tot,P_Y12_equivalent_Indigenous,P_Y12_equivalent_Non_Indig,P_Y12_equiv_IndigStat_ns,P_Y12_equivalent_Tot,P_Y11_equivalent_Indigenous,P_Y11_equiv_Non_Indig,P_Y11_equiv_IndigStat_ns,P_Y11_equivalent_Tot,P_Y10_equivalent_Indigenous,P_Y10_equiv_Non_Indig,P_Y10_equiv_IndigStat_ns,P_Y10_equivalent_Tot,P_Y9_equivalent_Indigenous,P_Y9_equiv_Non_Indig,P_Y9_equiv_IndigStat_ns,P_Y9_equivalent_Tot,P_Y8_below_Indigenous,P_Y8_below_Non_Indig,P_Y8_below_IndigStat_ns,P_Y8_below_Tot,P_Did_not_go_to_school_Indig,P_Did_not_go_to_sch_Non_Indig,P_Di_no_go_to_sch_IndSt_ns,P_Did_not_go_to_school_Tot,P_Highest_yr_school_ns_Indig,P_Highest_yr_sch_ns_Non_Indig,P_Highe_yr_sch_ns_IndSt_ns,P_Highest_yr_school_ns_Tot,P_Tot_Indigenous,P_Tot_Non_Indigenous,P_Tot_IndigStat_ns,P_Tot_Tot
IARE104012,117,6099,48,6264,33,891,7,931,150,4791,38,4979,82,1251,15,1348,45,983,18,1046,5,62,3,70,34,508,567,1109,466,14585,696,15747,172,6813,43,7028,50,928,6,984,176,5175,40,5391,80,1209,16,1305,47,994,23,1064,4,45,0,49,51,596,471,1118,580,15760,599,16939,289,12912,91,13292,83,1819,13,1915,326,9966,78,10370,162,2460,31,2653,92,1977,41,2110,9,107,3,119,85,1104,1038,2227,1046,30345,1295,32686
IARE104013,110,7889,60,8059,52,1560,8,1620,213,8708,73,8994,108,2169,31,2308,59,1261,15,1335,3,60,3,66,39,884,848,1771,584,22531,1038,24153,178,9082,66,9326,53,1510,12,1575,258,8585,70,8913,110,2591,23,2724,61,1462,24,1547,0,53,3,56,42,1020,739,1801,702,24303,937,25942,288,16971,126,17385,105,3070,20,3195,471,17293,143,17907,218,4760,54,5032,120,2723,39,2882,3,113,6,122,81,1904,1587,3572,1286,46834,1975,50095
IARE104014,373,26273,155,26801,96,3100,30,3226,380,14956,131,15467,175,4204,46,4425,92,2555,32,2679,15,384,15,414,95,2277,2415,4787,1226,53749,2824,57799,424,27714,147,28285,90,2609,22,2721,417,15488,125,16030,179,5022,70,5271,89,3178,55,3322,9,459,19,487,91,2858,1988,4937,1299,57328,2426,61053,797,53987,302,55086,186,5709,52,5947,797,30444,256,31497,354,9226,116,9696,181,5733,87,6001,24,843,34,901,186,5135,4403,9724,2525,111077,5250,118852
IARE104015,144,8667,72,8883,53,1841,19,1913,244,8697,76,9017,83,2787,28,2898,67,1884,28,1979,7,58,3,68,41,1226,1008,2275,639,25160,1234,27033,182,9914,60,10156,60,1786,16,1862,262,10015,87,10364,93,3124,38,3255,54,1769,27,1850,0,57,4,61,41,1631,876,2548,692,28296,1108,30096,326,18581,132,19039,113,3627,35,3775,506,18712,163,19381,176,5911,66,6153,121,3653,55,3829,7,115,7,129,82,2857,1884,4823,1331,53456,2342,57129
IARE104016,118,7567,60,7745,52,1701,14,1767,238,8348,80,8666,99,2430,29,2558,64,1350,24,1438,6,87,5,98,40,927,1227,2194,617,22410,1439,24466,164,8364,61,8589,60,1560,20,1640,235,8676,74,8985,132,2628,26,2786,53,1303,29,1385,0,66,4,70,43,1059,1105,2207,687,23656,1319,25662,282,15931,121,16334,112,3261,34,3407,473,17024,154,17651,231,5058,55,5344,117,2653,53,2823,6,153,9,168,83,1986,2332,4401,1304,46066,2758,50128
IARE104017,55,1800,19,1874,27,424,8,459,123,2920,28,3071,68,974,16,1058,46,864,14,924,8,33,0,41,60,411,294,765,387,7426,379,8192,72,2156,11,2239,39,460,6,505,149,2980,24,3153,72,884,15,971,45,757,14,816,3,19,0,22,56,490,258,804,436,7746,328,8510,127,3956,30,4113,66,884,14,964,272,5900,52,6224,140,1858,31,2029,91,1621,28,1740,11,52,0,63,116,901,552,1569,823,15172,707,16702
IARE104018,38,2572,8,2618,27,733,14,774,94,3187,22,3303,39,729,3,771,23,463,9,495,0,31,4,35,19,245,358,622,240,7960,418,8618,57,2869,11,2937,21,530,3,554,83,2829,19,2931,36,718,9,763,23,366,9,398,4,21,0,25,15,250,250,515,239,7583,301,8123,95,5441,19,5555,48,1263,17,1328,177,6016,41,6234,75,1447,12,1534,46,829,18,893,4,52,4,60,34,495,608,1137,479,15543,719,16741
IARE104019,101,4390,33,4524,49,948,7,1004,189,6049,66,6304,120,2058,26,2204,88,1511,23,1622,7,46,4,57,55,861,721,1637,609,15863,880,17352,134,5222,36,5392,54,1002,9,1065,240,6498,51,6789,148,2118,16,2282,100,1323,21,1444,4,41,0,45,61,1040,665,1766,741,17244,798,18783,235,9612,69,9916,103,1950,16,2069,429,12547,117,13093,268,4176,42,4486,188,2834,44,3066,11,87,4,102,116,1901,1386,3403,1350,33107,1678,36135
IARE104020,212,10896,91,11199,78,2271,20,2369,256,9840,99,10195,110,2684,39,2833,75,2110,38,2223,8,96,4,108,66,1542,1309,2917,805,29439,1600,31844,241,12248,82,12571,69,2313,26,2408,290,10890,111,11291,97,3040,44,3181,85,2257,54,2396,3,74,3,80,58,1923,1255,3236,843,32745,1575,35163,453,23144,173,23770,147,4584,46,4777,546,20730,210,21486,207,5724,83,6014,160,4367,92,4619,11,170,7,188,124,3465,2564,6153,1648,62184,3175,67007
IARE104021,312,16068,102,16482,118,3449,37,3604,522,19029,216,19767,218,5436,56,5710,131,3279,52,3462,9,231,4,244,108,2763,1960,4831,1418,50255,2427,54100,418,18388,122,18928,141,3303,27,3471,601,20503,187,21291,229,6396,75,6700,128,3638,62,3828,6,171,9,186,99,3544,1901,5544,1622,55943,2383,59948,730,34456,224,35410,259,6752,64,7075,1123,39532,403,41058,447,11832,131,12410,259,6917,114,7290,15,402,13,430,207,6307,3861,10375,3040,106198,4810,114048
