region_id,Neg_Nil_inc_hh_with_Ind_psns,Neg_Nil_inc_Other_households,Neg_Nil_income_Tot_hhlds,HI1_199_Hhd_with_Indig_psns,HI1_199_Other_households,HI1_199_Tot_hhlds,HI200_299_Hhd_with_Indig_psns,HI200_299_Other_households,HI200_299_Tot_hhlds,HI300_399_Hhd_with_Indig_psns,HI300_399_Other_households,HI300_399_Tot_hhlds,HI400_599_Hhd_with_Indig_psns,HI400_599_Other_households,HI400_599_Tot_hhlds,HI600_799_Hhd_with_Indig_psns,HI600_799_Other_households,HI600_799_Tot_hhlds,HI800_999_Hhd_with_Indig_psns,HI800_999_Other_households,HI800_999_Tot_hhlds,HI1000_1249_Hh_with_Indig_psn,HI1000_1249_Other_households,HI1000_1249_Tot_hhlds,HI1250_1499_Hh_with_Indig_psn,HI1250_1499_Other_households,HI1250_1499_Tot_hhlds,HI1500_1999_Hh_with_Indig_psn,HI1500_1999_Other_households,HI1500_1999_Tot_hhlds,HI2000_2499_Hh_with_Indig_psn,HI2000_2499_Other_households,HI2000_2499_Tot_hhlds,HI2500_2999_Hh_with_Indig_psn,HI2500_2999_Other_households,HI2500_2999_Tot_hhlds,HI3000_more_Hh_with_Indig_psn,HI3000_more_Other_households,HI3000_more_Tot_hhlds,Part_inc_st_Hh_with_Indig_psn,Partial_inc_stated_Other_hhds,Partial_inc_stated_Tot_hhlds,All_inc_ns_Hh_with_Ind_psns,All_income_ns_Other_household,All_inc_NS_Tot_hhlds,Tot_Household_with_Indig_psns,Tot_Other_households,Tot_Tot_hhlds
IARE107021,10,948,958,16,1028,1044,45,1756,1801,60,3153,3213,69,4485,4554,63,4441,4504,61,4236,4297,35,4623,4658,35,4280,4315,53,6819,6872,52,4888,4940,36,4358,4394,56,5737,5793,60,3935,3995,34,1456,1490,685,56143,56828
IARE107022,21,528,549,55,638,693,74,1259,1333,102,2912,3014,188,4258,4446,187,4264,4451,179,4108,4287,207,4881,5088,183,4497,4680,311,7832,8143,258,6248,6506,139,4318,4457,204,5524,5728,201,4279,4480,74,1487,1561,2383,57033,59416
IARE107023,9,1329,1338,24,822,846,51,1290,1341,53,2414,2467,65,2999,3064,68,2711,2779,42,2780,2822,50,2919,2969,50,2875,2925,58,4736,4794,58,3681,3739,65,5017,5082,92,8335,8427,65,3774,3839,39,1093,1132,789,46775,47564
IARE107024,5,650,655,6,591,597,5,851,856,9,1983,1992,20,2946,2966,18,2710,2728,26,2602,2628,26,2758,2784,19,2517,2536,38,4131,4169,34,2978,3012,31,2504,2535,28,3459,3487,20,2556,2576,10,876,886,295,34112,34407
IARE107025,13,627,640,18,770,788,34,1317,1351,35,3517,3552,57,4956,5013,51,4760,4811,55,4878,4933,59,4835,4894,53,4769,4822,122,8485,8607,104,7242,7346,74,7906,7980,121,12742,12863,88,6099,6187,31,1529,1560,915,74432,75347
IARE107026,18,2539,2557,60,1175,1235,118,2596,2714,109,3487,3596,118,3668,3786,95,3845,3940,74,3887,3961,62,4714,4776,46,4617,4663,83,7831,7914,66,4845,4911,55,10089,10144,111,12547,12658,108,4865,4973,74,1265,1339,1197,71970,73167
IARE107027,7,1513,1520,6,1067,1073,11,1522,1533,15,3100,3115,32,4525,4557,25,4099,4124,32,4016,4048,25,4489,4514,26,4279,4305,41,7236,7277,32,5260,5292,36,6656,6692,60,10860,10920,40,5104,5144,11,1291,1302,399,65017,65416
IARE107028,5,1378,1383,0,885,885,8,1191,1199,4,2289,2293,12,3411,3423,12,3249,3261,24,3728,3752,15,4343,4358,15,4499,4514,30,7772,7802,29,4822,4851,21,12704,12725,42,18344,18386,14,5690,5704,12,1202,1214,243,75507,75750
IARE107029,4,127,131,7,146,153,4,266,270,20,562,582,34,983,1017,44,924,968,33,954,987,29,969,998,40,970,1010,56,1679,1735,52,1291,1343,31,1047,1078,39,1502,1541,49,1152,1201,15,398,413,457,12970,13427
IARE107030,17,1051,1068,59,1256,1315,114,2520,2634,147,5665,5812,265,7537,7802,209,5993,6202,150,5223,5373,144,4943,5087,137,4483,4620,217,7456,7673,150,5451,5601,84,4877,4961,123,6264,6387,177,5036,5213,75,1943,2018,2068,69698,71766
IARE107031,5,786,791,5,459,464,0,762,762,3,1648,1651,12,2146,2158,9,2064,2073,14,2346,2360,8,2520,2528,17,2488,2505,19,4277,4296,20,2898,2918,22,6781,6803,38,10784,10822,28,4039,4067,3,1131,1134,203,45129,45332
IARE194994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IARE197997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
