region_id,NsQ_AD_DL_In_st_nsP,NsQ_AD_DL_TotM,NsQ_AD_DL_TotF,NsQ_AD_DL_TotP,NsQ_Crt_II_Ind_M,NsQ_Crt_II_Ind_F,NsQ_Crt_II_Ind_P,NsQ_Cer_II_No_Ind_M,NsQ_Cer_II_No_Ind_F,NsQ_Cer_II_No_Ind_P,NsQ_Ce_II_IndSt_nsM,NsQ_Ce_II_IndSt_nsF,NsQ_Ce_II_IndSt_nsP,NsQ_Crt_II_TotM,NsQ_Crt_II_TotF,NsQ_Crt_II_TotP,NsQ_Crt_III_ovr_Ind_M,NsQ_Crt_III_ovr_Ind_F,NsQ_Crt_III_ovr_Ind_P,NsQ_Cer_III_ov_No_In_M,NsQ_Cer_III_ov_No_In_F,NsQ_Cer_III_ov_No_In_P,NsQ_Ce_III_ov_Ind_s_nsM,NsQ_Ce_III_ov_Ind_s_nsF,NsQ_Ce_III_ov_Ind_s_nsP,NsQ_Crt_III_ovr_TotM,NsQ_Crt_III_ovr_TotF,NsQ_Crt_III_ovr_TotP,Mig_Sme_add_1_yr_ago_Indig_M,Mig_Sme_add_1_yr_ago_Indig_F,Mig_Sme_add_1_yr_ago_Indig_P,Mig_Sme_add_1_yr_ago_No_Ind_M,Mig_Sme_add_1_yr_ago_No_Ind_F,Mig_Sme_add_1_yr_ago_No_Ind_P,Mig_sa_ad_1_yr_ag_IndSt_nsM,Mig_sa_ad_1_yr_ag_IndSt_nsF,Mig_sa_ad_1_yr_ag_IndSt_nsP,Mig_Sme_add_1_yr_ago_TotM,Mig_Sme_add_1_yr_ago_TotF,Mig_Sme_add_1_yr_ago_TotP,Mig_Diff_add_1_yr_ago_Indig_M,Mig_Diff_add_1_yr_ago_Indig_F,Mig_Diff_add_1_yr_ago_Indig_P,Mig_Diff_ad_1_yr_ago_No_Ind_M,Mig_Diff_ad_1_yr_ago_No_Ind_F,Mig_Diff_ad_1_yr_ago_No_Ind_P,Mig_Dif_ad_1_yr_ag_In_st_nsM,Mig_Dif_ad_1_yr_ag_In_st_nsF,Mig_Dif_ad_1_yr_ag_In_st_nsP,Mig_Diff_add_1_yr_ago_TotM,Mig_Diff_add_1_yr_ago_TotF,Mig_Diff_add_1_yr_ago_TotP,Mig_Sme_add_5_ago_Indig_M,Mig_Sme_add_5_ago_Indig_F,Mig_Sme_add_5_ago_Indig_P,Mig_Sme_ad_5_ago_No_Ind_M,Mig_Sme_ad_5_ago_No_Ind_F,Mig_Sme_ad_5_ago_No_Ind_P,Mig_sa_ad_5_ag_In_st_nsM,Mig_sa_ad_5_ag_In_st_nsF,Mig_sa_ad_5_ag_In_st_nsP,Mig_Sme_add_5_ago_TotM,Mig_Sme_add_5_ago_TotF,Mig_Sme_add_5_ago_TotP,Mig_Diff_add_5_ago_Ind_M,Mig_Diff_add_5_ago_Ind_F,Mig_Diff_add_5_ago_Ind_P,Mig_Diff_ad_5_ag_No_Ind_M,Mig_Diff_ad_5_ag_No_Ind_F,Mig_Diff_ad_5_ag_No_Ind_P,Mi_Dif_ad_5_ag_In_st_nsM,Mi_Dif_ad_5_ag_In_st_nsF,Mi_Dif_ad_5_ag_In_st_nsP,Mig_Diff_add_5_ago_TotM,Mig_Diff_add_5_ago_TotF,Mig_Diff_add_5_ago_TotP
IARE107022,50,4126,5791,9917,23,56,79,598,1318,1916,0,10,10,621,1384,2005,316,223,539,17833,7657,25490,119,43,162,18268,7923,26191,2028,2151,4179,70022,72148,142170,764,774,1538,72814,75073,147887,413,452,865,9243,9814,19057,90,104,194,9746,10370,20116,1329,1378,2707,49009,50390,99399,548,572,1120,50886,52340,103226,825,940,1765,24623,26065,50688,204,197,401,25652,27202,52854
IARE107023,59,3744,5525,9269,7,17,24,248,401,649,3,4,7,258,422,680,86,55,141,7002,2774,9776,57,15,72,7145,2844,9989,582,717,1299,44616,47559,92175,462,486,948,45660,48762,94422,139,139,278,10606,11435,22041,98,104,202,10843,11678,22521,352,461,813,26586,29024,55610,321,379,700,27259,29864,57123,275,318,593,25413,26866,52279,173,157,330,25861,27341,53202
IARE107024,69,3471,4117,7588,3,3,6,250,495,745,0,8,8,253,506,759,42,24,66,6228,2604,8832,80,29,109,6350,2657,9007,227,223,450,37728,39101,76829,489,502,991,38444,39826,78270,60,47,107,5794,5882,11676,74,91,165,5928,6020,11948,145,130,275,24696,26101,50797,358,355,713,25199,26586,51785,112,123,235,16081,16277,32358,148,173,321,16341,16573,32914
IARE107025,90,7959,10814,18773,4,9,13,640,1246,1886,0,12,12,644,1267,1911,162,72,234,22745,7552,30297,175,47,222,23082,7671,30753,714,658,1372,85194,89405,174599,743,852,1595,86651,90915,177566,164,138,302,11252,11863,23115,105,116,221,11521,12117,23638,449,432,881,60213,63259,123472,568,651,1219,61230,64342,125572,344,286,630,30240,32371,62611,202,233,435,30786,32890,63676
IARE107026,89,7061,6849,13910,11,18,29,402,480,882,0,4,4,413,502,915,129,64,193,6507,3080,9587,74,20,94,6710,3164,9874,792,805,1597,53783,47802,101585,448,398,846,55023,49005,104028,227,234,461,20740,19991,40731,138,135,273,21105,20360,41465,490,486,976,25275,22522,47797,281,257,538,26046,23265,49311,451,473,924,46729,42935,89664,251,234,485,47431,43642,91073
IARE107027,96,6444,8149,14593,5,10,15,391,642,1033,6,3,9,402,655,1057,46,28,74,9206,4005,13211,94,41,135,9346,4074,13420,271,294,565,68440,72446,140886,772,820,1592,69483,73560,143043,71,74,145,13562,14047,27609,143,125,268,13776,14246,28022,134,156,290,42563,46072,88635,501,556,1057,43198,46784,89982,181,180,361,34521,35743,70264,319,284,603,35021,36207,71228
IARE107028,90,6431,9766,16197,0,6,6,299,506,805,3,3,6,302,515,817,24,20,44,5827,3137,8964,47,19,66,5898,3176,9074,125,123,248,66440,73324,139764,453,525,978,67018,73972,140990,51,53,104,16049,17557,33606,111,115,226,16211,17725,33936,66,76,142,37888,42960,80848,303,359,662,38257,43395,81652,98,93,191,39678,42994,82672,207,237,444,39983,43324,83307
IARE107029,13,864,1475,2339,4,11,15,106,292,398,0,0,0,110,303,413,83,52,135,5335,1789,7124,42,11,53,5460,1852,7312,406,435,841,16976,16787,33763,176,190,366,17558,17412,34970,65,79,144,2059,2201,4260,35,27,62,2159,2307,4466,278,299,577,12245,12140,24385,122,124,246,12645,12563,25208,148,163,311,5475,5675,11150,57,51,108,5680,5889,11569
IARE107030,59,5441,6984,12425,21,32,53,562,1287,1849,5,9,14,588,1328,1916,298,184,482,19327,7663,26990,141,51,192,19766,7898,27664,1614,1606,3220,75457,77410,152867,852,965,1817,77923,79981,157904,375,424,799,11580,11827,23407,118,148,266,12073,12399,24472,990,994,1984,53018,54500,107518,611,690,1301,54619,56184,110803,759,802,1561,28829,29803,58632,265,294,559,29853,30899,60752
IARE107031,48,3603,5488,9091,3,0,3,162,252,414,0,0,0,165,252,417,20,14,34,4198,1989,6187,45,18,63,4263,2021,6284,125,120,245,38309,41733,80042,400,433,833,38834,42286,81120,49,49,98,9764,10747,20511,74,76,150,9887,10872,20759,63,56,119,22262,24799,47061,260,308,568,22585,25163,47748,104,100,204,22890,24859,47749,161,151,312,23155,25110,48265
IARE194994,5,297,349,646,5,4,9,46,80,126,3,3,6,54,87,141,52,25,77,1020,334,1354,14,3,17,1086,362,1448,63,63,126,1240,733,1973,29,16,45,1332,812,2144,249,213,462,3854,3310,7164,57,59,116,4160,3582,7742,49,28,77,806,437,1243,22,12,34,877,477,1354,221,209,430,4051,3433,7484,51,54,105,4323,3696,8019
IARE197997,0,3,4,7,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,18,5,23,3,0,3,21,5,26,0,0,0,43,47,90,3,0,3,46,47,93,0,0,0,7,5,12,0,0,0,7,5,12,0,0,0,33,36,69,0,0,0,33,36,69,0,0,0,18,16,34,3,0,3,21,16,37
