region_id,T_EI_ns_IndSt_nsP,T_EI_ns_TotM,T_EI_ns_TotF,T_EI_ns_TotP,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_NonInd_M,Tot_NonInd_F,Tot_NonInd_P,Tot_IndigStat_nsM,Tot_IndigStat_nsF,Tot_IndigStat_nsP,Tot_TotM,Tot_TotF,Tot_TotP
IARE308008,322,367,179,546,42,52,94,872,900,1772,254,89,343,1168,1041,2209
IARE308009,15,34,31,65,317,282,599,6,5,11,6,9,15,329,296,625
IARE308010,1670,1258,890,2148,94,104,198,1592,1745,3337,1029,667,1696,2715,2516,5231
IARE308011,631,617,386,1003,114,110,224,1109,1218,2327,462,199,661,1685,1527,3212
IARE308012,2711,2369,2106,4475,972,1000,1972,7442,8444,15886,1600,1304,2904,10014,10748,20762
IARE308013,5345,4343,3684,8027,989,1134,2123,10837,12185,23022,3138,2398,5536,14964,15717,30681
IARE308014,718,1084,584,1668,407,155,562,1375,1335,2710,432,326,758,2214,1816,4030
IARE308015,376,398,341,739,116,146,262,830,878,1708,223,185,408,1169,1209,2378
IARE394994,1080,1296,650,1946,165,139,304,859,708,1567,729,363,1092,1753,1210,2963
IARE397997,67,52,35,87,0,0,0,36,28,64,43,24,67,79,52,131
IARE401001,2394,2129,1524,3653,120,74,194,6989,7325,14314,1443,1035,2478,8552,8434,16986
IARE401002,1303,1462,1390,2852,90,90,180,8865,9512,18377,811,643,1454,9766,10245,20011
IARE401003,1009,1054,1004,2058,94,96,190,4987,5232,10219,587,506,1093,5668,5834,11502
IARE401004,362,378,407,785,82,111,193,1162,1250,2412,215,176,391,1459,1537,2996
IARE401005,2178,2250,2282,4532,112,95,207,10945,11460,22405,1275,1144,2419,12332,12699,25031
IARE401006,2941,3390,3329,6719,265,275,540,12170,12869,25039,1761,1487,3248,14196,14631,28827
IARE401007,1499,1341,1411,2752,106,117,223,4138,4799,8937,831,750,1581,5075,5666,10741
IARE401008,641,637,694,1331,63,77,140,2708,3066,5774,348,351,699,3119,3494,6613
IARE401009,2819,2660,2890,5550,137,132,269,10327,11527,21854,1603,1421,3024,12067,13080,25147
IARE401010,609,815,591,1406,107,89,196,2134,2122,4256,363,290,653,2604,2501,5105
IARE401011,2016,2140,2193,4333,192,185,377,9868,10705,20573,1144,1071,2215,11204,11961,23165
IARE401012,710,1096,732,1828,263,189,452,2257,2237,4494,412,334,746,2932,2760,5692
IARE401013,372,366,305,671,69,73,142,836,902,1738,225,160,385,1130,1135,2265
IARE401014,3847,4178,4241,8419,488,515,1003,18975,20592,39567,2245,1989,4234,21708,23096,44804
IARE401015,2698,3113,2990,6103,530,506,1036,9864,10554,20418,1563,1442,3005,11957,12502,24459
IARE401016,3834,4802,4171,8973,675,589,1264,14187,14413,28600,2261,1883,4144,17123,16885,34008
IARE401017,405,372,369,741,31,35,66,1020,1070,2090,221,209,430,1272,1314,2586
IARE401018,4304,4592,4523,9115,468,515,983,15698,16462,32160,2519,2194,4713,18685,19171,37856
IARE401019,1273,1902,1739,3641,257,243,500,7403,7888,15291,781,631,1412,8441,8762,17203
IARE401020,1844,2100,2291,4391,173,175,348,11630,12383,24013,1079,966,2045,12882,13524,26406
IARE401021,3477,3120,3342,6462,118,157,275,19039,20894,39933,1978,1786,3764,21135,22837,43972
IARE401022,412,440,428,868,31,33,64,1654,1852,3506,263,208,471,1948,2093,4041
IARE401023,543,700,680,1380,120,148,268,2380,2536,4916,316,280,596,2816,2964,5780
IARE402001,24,67,66,133,341,337,678,17,27,44,14,13,27,372,377,749
IARE402002,132,145,113,258,49,50,99,122,116,238,77,59,136,248,225,473
IARE402003,772,636,304,940,83,79,162,778,718,1496,568,224,792,1429,1021,2450
IARE402004,847,1065,1017,2082,193,231,424,3573,3722,7295,503,430,933,4269,4383,8652
IARE402005,927,1181,841,2022,550,441,991,1311,1232,2543,518,446,964,2379,2119,4498
IARE402006,967,961,904,1865,174,200,374,2495,2675,5170,569,465,1034,3238,3340,6578
IARE403001,101,119,119,238,129,177,306,270,281,551,60,47,107,459,505,964
IARE403002,436,651,554,1205,173,169,342,1795,1832,3627,266,207,473,2234,2208,4442
IARE403003,404,485,445,930,160,168,328,1420,1648,3068,244,196,440,1824,2012,3836
IARE494994,183,301,159,460,34,32,66,331,245,576,116,70,186,481,347,828
IARE497997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
