region_id,NsQ_AD_DL_In_st_nsP,NsQ_AD_DL_TotM,NsQ_AD_DL_TotF,NsQ_AD_DL_TotP,NsQ_Crt_II_Ind_M,NsQ_Crt_II_Ind_F,NsQ_Crt_II_Ind_P,NsQ_Cer_II_No_Ind_M,NsQ_Cer_II_No_Ind_F,NsQ_Cer_II_No_Ind_P,NsQ_Ce_II_IndSt_nsM,NsQ_Ce_II_IndSt_nsF,NsQ_Ce_II_IndSt_nsP,NsQ_Crt_II_TotM,NsQ_Crt_II_TotF,NsQ_Crt_II_TotP,NsQ_Crt_III_ovr_Ind_M,NsQ_Crt_III_ovr_Ind_F,NsQ_Crt_III_ovr_Ind_P,NsQ_Cer_III_ov_No_In_M,NsQ_Cer_III_ov_No_In_F,NsQ_Cer_III_ov_No_In_P,NsQ_Ce_III_ov_Ind_s_nsM,NsQ_Ce_III_ov_Ind_s_nsF,NsQ_Ce_III_ov_Ind_s_nsP,NsQ_Crt_III_ovr_TotM,NsQ_Crt_III_ovr_TotF,NsQ_Crt_III_ovr_TotP,Mig_Sme_add_1_yr_ago_Indig_M,Mig_Sme_add_1_yr_ago_Indig_F,Mig_Sme_add_1_yr_ago_Indig_P,Mig_Sme_add_1_yr_ago_No_Ind_M,Mig_Sme_add_1_yr_ago_No_Ind_F,Mig_Sme_add_1_yr_ago_No_Ind_P,Mig_sa_ad_1_yr_ag_IndSt_nsM,Mig_sa_ad_1_yr_ag_IndSt_nsF,Mig_sa_ad_1_yr_ag_IndSt_nsP,Mig_Sme_add_1_yr_ago_TotM,Mig_Sme_add_1_yr_ago_TotF,Mig_Sme_add_1_yr_ago_TotP,Mig_Diff_add_1_yr_ago_Indig_M,Mig_Diff_add_1_yr_ago_Indig_F,Mig_Diff_add_1_yr_ago_Indig_P,Mig_Diff_ad_1_yr_ago_No_Ind_M,Mig_Diff_ad_1_yr_ago_No_Ind_F,Mig_Diff_ad_1_yr_ago_No_Ind_P,Mig_Dif_ad_1_yr_ag_In_st_nsM,Mig_Dif_ad_1_yr_ag_In_st_nsF,Mig_Dif_ad_1_yr_ag_In_st_nsP,Mig_Diff_add_1_yr_ago_TotM,Mig_Diff_add_1_yr_ago_TotF,Mig_Diff_add_1_yr_ago_TotP,Mig_Sme_add_5_ago_Indig_M,Mig_Sme_add_5_ago_Indig_F,Mig_Sme_add_5_ago_Indig_P,Mig_Sme_ad_5_ago_No_Ind_M,Mig_Sme_ad_5_ago_No_Ind_F,Mig_Sme_ad_5_ago_No_Ind_P,Mig_sa_ad_5_ag_In_st_nsM,Mig_sa_ad_5_ag_In_st_nsF,Mig_sa_ad_5_ag_In_st_nsP,Mig_Sme_add_5_ago_TotM,Mig_Sme_add_5_ago_TotF,Mig_Sme_add_5_ago_TotP,Mig_Diff_add_5_ago_Ind_M,Mig_Diff_add_5_ago_Ind_F,Mig_Diff_add_5_ago_Ind_P,Mig_Diff_ad_5_ag_No_Ind_M,Mig_Diff_ad_5_ag_No_Ind_F,Mig_Diff_ad_5_ag_No_Ind_P,Mi_Dif_ad_5_ag_In_st_nsM,Mi_Dif_ad_5_ag_In_st_nsF,Mi_Dif_ad_5_ag_In_st_nsP,Mig_Diff_add_5_ago_TotM,Mig_Diff_add_5_ago_TotF,Mig_Diff_add_5_ago_TotP
IARE301004,41,2804,4081,6885,12,6,18,296,583,879,0,5,5,308,594,902,104,65,169,11117,4565,15682,77,32,109,11298,4662,15960,546,565,1111,36558,38959,75517,371,383,754,37475,39907,77382,226,237,463,7944,8772,16716,83,87,170,8253,9096,17349,272,273,545,21029,22172,43201,247,257,504,21548,22702,44250,392,419,811,20921,23052,43973,155,164,319,21468,23635,45103
IARE301005,11,386,581,967,3,3,6,80,153,233,0,0,0,83,156,239,34,20,54,2144,903,3047,21,7,28,2199,930,3129,221,200,421,8278,8120,16398,120,104,224,8619,8424,17043,75,92,167,1495,1599,3094,31,26,57,1601,1717,3318,118,104,222,5329,5153,10482,82,80,162,5529,5337,10866,123,142,265,3810,3980,7790,45,33,78,3978,4155,8133
IARE301006,13,599,957,1556,5,8,13,95,220,315,3,0,3,103,228,331,34,44,78,3081,1402,4483,24,5,29,3139,1451,4590,344,375,719,12737,12946,25683,170,149,319,13251,13470,26721,118,127,245,2548,2770,5318,33,27,60,2699,2924,5623,158,161,319,7986,7945,15931,104,96,200,8248,8202,16450,225,264,489,6234,6900,13134,71,58,129,6530,7222,13752
IARE301007,193,14150,21295,35445,26,55,81,1437,2773,4210,11,17,28,1474,2845,4319,476,308,784,49036,21366,70402,348,152,500,49860,21826,71686,2113,2133,4246,173614,182160,355774,1646,1861,3507,177373,186154,363527,823,867,1690,43730,47551,91281,424,444,868,44977,48862,93839,1070,1097,2167,96501,101794,198295,961,1145,2106,98532,104036,202568,1514,1592,3106,107024,114638,221662,817,820,1637,109355,117050,226405
IARE301008,53,3669,4965,8634,34,61,95,671,1304,1975,11,8,19,716,1373,2089,296,243,539,15751,7222,22973,114,41,155,16161,7506,23667,2081,2212,4293,59514,60342,119856,700,688,1388,62295,63242,125537,794,870,1664,13798,14451,28249,161,170,331,14753,15491,30244,1027,1061,2088,34245,34422,68667,397,407,804,35669,35890,71559,1364,1549,2913,32962,34574,67536,329,312,641,34655,36435,71090
IARE301009,89,5505,8565,14070,43,77,120,1050,2070,3120,13,7,20,1106,2154,3260,389,317,706,27202,11657,38859,212,74,286,27803,12048,39851,2705,2853,5558,104106,105763,209869,1251,1228,2479,108062,109844,217906,839,973,1812,19446,20430,39876,275,282,557,20560,21685,42245,1441,1583,3024,63338,63586,126924,763,752,1515,65542,65921,131463,1541,1718,3259,50572,53343,103915,533,574,1107,52646,55635,108281
IARE301010,63,4635,7119,11754,10,31,41,531,1020,1551,4,3,7,545,1054,1599,154,118,272,16902,7262,24164,124,37,161,17180,7417,24597,858,850,1708,57299,61165,118464,566,667,1233,58723,62682,121405,317,292,609,13243,14888,28131,114,139,253,13674,15319,28993,413,421,834,33526,35880,69406,346,393,739,34285,36694,70979,613,595,1208,32643,36117,68760,249,279,528,33505,36991,70496
IARE301011,32,1505,2424,3929,6,10,16,144,287,431,0,5,5,150,302,452,43,26,69,5101,1983,7084,40,12,52,5184,2021,7205,191,207,398,17854,19057,36911,187,209,396,18232,19473,37705,62,63,125,3530,3984,7514,35,43,78,3627,4090,7717,109,109,218,11168,11772,22940,121,145,266,11398,12026,23424,123,134,257,9073,10209,19282,70,85,155,9266,10428,19694
IARE301012,55,5419,6640,12059,10,26,36,492,985,1477,4,6,10,506,1017,1523,165,126,291,16722,7015,23737,91,37,128,16978,7178,24156,902,957,1859,64648,66439,131087,483,482,965,66033,67878,133911,309,340,649,12322,12944,25266,127,156,283,12758,13440,26198,480,514,994,38790,39695,78485,300,296,596,39570,40505,80075,561,630,1191,32298,34279,66577,252,264,516,33111,35173,68284
IARE301013,25,1411,2085,3496,7,12,19,186,334,520,3,6,9,196,352,548,79,77,156,5635,2483,8118,55,23,78,5769,2583,8352,441,472,913,19808,21542,41350,266,280,546,20515,22294,42809,175,158,333,4496,4936,9432,38,62,100,4709,5156,9865,236,216,452,12120,13226,25346,189,187,376,12545,13629,26174,294,332,626,10723,11773,22496,80,126,206,11097,12231,23328
