region_id,H_w_In_ps_OO_DS_SH,H_w_In_ps_OO_DS_SDRTHT,H_w_In_ps_OO_DS_FUA,H_w_In_ps_OO_DS_OD_CCH,H_w_In_ps_OO_DS_OD_IH_t_SO,H_w_In_ps_OO_OD_HF_a_SO,H_w_In_ps_OO_DS_OD_Tot,H_w_In_ps_OO_DS_NS,H_w_In_ps_OO_Tot,H_w_In_ps_M_DS_SH,H_w_In_ps_M_DS_SDRTHT,H_w_In_ps_M_DS_FUA,H_w_In_ps_M_DS_OD_CCH,H_w_In_ps_M_DS_OD_IH_t_SO,H_w_In_ps_M_OD_HF_a_SO,H_w_In_ps_M_DS_OD_Tot,H_w_In_ps_M_DS_NS,H_w_In_ps_M_Tot,H_w_In_ps_RREA_DS_SH,H_w_In_ps_RREA_DS_SDRTHT,H_w_In_ps_RREA_DS_FUA,H_w_In_ps_RREA_DS_OD_CCH,H_w_In_ps_RREA_DS_OD_IH_t_SO,H_w_In_ps_RREA_OD_HF_a_SO,H_w_In_ps_RREA_DS_OD_Tot,H_w_In_ps_RREA_DS_NS,H_w_In_ps_RREA_Tot,H_w_In_ps_RHA_DS_SH,H_w_In_ps_RHA_DS_SDRTHT,H_w_In_ps_RHA_DS_FUA,H_w_In_ps_RHA_DS_OD_CCH,H_w_In_ps_RHA_DS_OD_IH_t_SO,H_w_In_ps_RHA_OD_HF_a_SO,H_w_In_ps_RHA_DS_OD_Tot,H_w_In_ps_RHA_DS_NS,H_w_In_ps_RHA_Tot,H_w_In_ps_R_PSH_DS_SH,H_w_In_ps_R_PSH_DS_SDRTHT,H_w_In_ps_R_PSH_DS_FUA,H_w_In_ps_R_PSH_DS_OD_CCH,H_w_In_ps_R_PSH_DS_OD_IH_t_SO,H_w_In_ps_R_PSH_OD_HF_a_SO,H_w_In_ps_R_PSH_DS_OD_Tot,H_w_In_ps_R_PSH_DS_NS,H_w_In_ps_R_PSH_Tot,H_w_In_ps_R_HCC_DS_SH,H_w_In_ps_R_HCC_DS_SDRTHT,H_w_In_ps_R_HCC_DS_FUA,H_w_In_ps_R_HCC_DS_OD_CCH,H_w_In_ps_R_HCC_DS_OD_IH_t_SO,H_w_In_ps_R_HCC_OD_HF_a_SO,H_w_In_ps_R_HCC_DS_OD_Tot,H_w_In_ps_R_HCC_DS_NS,H_w_In_ps_R_HCC_Tot,H_w_In_ps_R_OLT_DS_SH,H_w_In_ps_R_OLT_DS_SDRTHT,H_w_In_ps_R_OLT_DS_FUA,H_w_In_ps_R_OLT_DS_OD_CCH,H_w_In_ps_R_OLT_DS_OD_IH_t_SO,H_w_In_ps_R_OLT_OD_HF_a_SO,H_w_In_ps_R_OLT_DS_OD_Tot,H_w_In_ps_R_OLT_DS_NS,H_w_In_ps_R_OLT_Tot,H_w_In_ps_R_LNS_DS_SH,H_w_In_ps_R_LNS_DS_SDRTHT,H_w_In_ps_R_LNS_DS_FUA,H_w_In_ps_R_LNS_DS_OD_CCH,H_w_In_ps_R_LNS_DS_OD_IH_t_SO,H_w_In_ps_R_LNS_OD_HF_a_SO,H_w_In_ps_R_LNS_DS_OD_Tot,H_w_In_ps_R_LNS_DS_NS,H_w_In_ps_R_LNS_Tot,H_w_In_ps_R_Tot_DS_SH,H_w_In_ps_R_Tot_DS_SDRTHT,H_w_In_ps_R_Tot_DS_FUA,H_w_In_ps_R_Tot_DS_OD_CCH,H_w_In_ps_R_Tot_DS_OD_IH_t_SO,H_w_In_ps_R_Tot_OD_HF_a_SO,H_w_In_ps_R_Tot_DS_OD_Tot,H_w_In_ps_R_Tot_DS_NS,H_w_In_ps_R_Tot_Tot,H_w_In_ps_OTT_DS_SH,H_w_In_ps_OTT_DS_SDRTHT,H_w_In_ps_OTT_DS_FUA,H_w_In_ps_OTT_DS_OD_CCH,H_w_In_ps_OTT_DS_OD_IH_t_SO,H_w_In_ps_OTT_OD_HF_a_SO,H_w_In_ps_OTT_DS_OD_Tot,H_w_In_ps_OTT_DS_NS,H_w_In_ps_OTT_Tot,H_w_In_ps_T_NS_DS_SH,H_w_In_ps_T_NS_DS_SDRTHT,H_w_In_ps_T_NS_DS_FUA,H_w_In_ps_T_NS_DS_OD_CCH,H_w_In_ps_T_NS_DS_OD_IH_t_SO,H_w_In_ps_T_NS_OD_HF_a_SO,H_w_In_ps_T_NS_DS_OD_Tot,H_w_In_ps_T_NS_DS_NS,H_w_In_ps_T_NS_Tot,H_w_In_ps_Tot_DS_SH,H_w_In_ps_Tot_DS_SDRTHT,H_w_In_ps_Tot_DS_FUA,H_w_In_ps_Tot_DS_OD_CCH,H_w_In_ps_Tot_DS_OD_IH_t_SO,H_w_In_ps_Tot_OD_HF_a_SO,H_w_In_ps_Tot_DS_OD_Tot,H_w_In_ps_Tot_DS_NS,H_w_In_ps_Tot_Tot,OH_OO_DS_SH,OH_OO_DS_SDRTHT,OH_OO_DS_FUA,OH_OO_DS_OD_CCH,OH_OO_DS_OD_IH_t_SO,OH_OO_OD_HF_a_SO,OH_OO_DS_OD_Tot,OH_OO_DS_NS,OH_OO_DS_Tot,OH_M_DS_SH,OH_M_DS_SDRTHT,OH_M_DS_FUA,OH_M_DS_OD_CCH,OH_M_DS_OD_IH_t_SO,OH_M_OD_HF_a_SO,OH_M_DS_OD_Tot,OH_M_DS_NS,OH_M_DS_Tot,OH_RREA_DS_SH,OH_RREA_DS_SDRTHT,OH_RREA_DS_FUA,OH_RREA_DS_OD_CCH,OH_RREA_DS_OD_IH_t_SO,OH_RREA_OD_HF_a_SO,OH_RREA_DS_OD_Tot,OH_RREA_DS_NS,OH_RREA_DS_Tot,OH_RHA_DS_SH,OH_RHA_DS_SDRTHT,OH_RHA_DS_FUA,OH_RHA_DS_OD_CCH,OH_RHA_DS_OD_IH_t_SO,OH_RHA_OD_HF_a_SO,OH_RHA_DS_OD_Tot,OH_RHA_DS_NS,OH_RHA_DS_Tot,OH_R_PSH_DS_SH,OH_R_PSH_DS_SDRTHT,OH_R_PSH_DS_FUA,OH_R_PSH_DS_OD_CCH,OH_R_PSH_DS_OD_IH_t_SO,OH_R_PSH_OD_HF_a_SO,OH_R_PSH_DS_OD_Tot,OH_R_PSH_DS_NS,OH_R_PSH_DS_Tot,OH_R_HCC_DS_SH,OH_R_HCC_DS_SDRTHT,OH_R_HCC_DS_FUA,OH_R_HCC_DS_OD_CCH,OH_R_HCC_DS_OD_IH_t_SO,OH_R_HCC_OD_HF_a_SO,OH_R_HCC_DS_OD_Tot,OH_R_HCC_DS_NS,OH_R_HCC_DS_Tot,OH_R_OLT_DS_SH,OH_R_OLT_DS_SDRTHT,OH_R_OLT_DS_FUA,OH_R_OLT_DS_OD_CCH,OH_R_OLT_DS_OD_IH_t_SO,OH_R_OLT_OD_HF_a_SO,OH_R_OLT_DS_OD_Tot,OH_R_OLT_DS_NS,OH_R_OLT_DS_Tot,OH_R_LNS_DS_SH,OH_R_LNS_DS_SDRTHT,OH_R_LNS_DS_FUA,OH_R_LNS_DS_OD_CCH,OH_R_LNS_DS_OD_IH_t_SO,OH_R_LNS_OD_HF_a_SO,OH_R_LNS_DS_OD_Tot,OH_R_LNS_DS_NS,OH_R_LNS_DS_Tot,OH_R_Tot_DS_SH,OH_R_Tot_DS_SDRTHT,OH_R_Tot_DS_FUA,OH_R_Tot_DS_OD_CCH,OH_R_Tot_DS_OD_IH_t_SO,OH_R_Tot_OD_HF_a_SO,OH_R_Tot_DS_OD_Tot,OH_R_Tot_DS_NS,OH_R_Tot_DS_Tot,OH_OTT_DS_SH,OH_OTT_DS_SDRTHT,OH_OTT_DS_FUA,OH_OTT_DS_OD_CCH,OH_OTT_DS_OD_IH_t_SO,OH_OTT_OD_HF_a_SO,OH_OTT_DS_OD_Tot,OH_OTT_DS_NS,OH_OTT_DS_Tot,OH_T_NS_DS_SH,OH_T_NS_DS_SDRTHT
IARE101001,34,0,0,0,0,0,0,0,34,39,0,0,3,0,0,3,0,42,14,0,0,0,0,0,0,0,14,26,0,0,0,0,0,0,0,26,18,0,3,0,0,0,0,0,21,9,0,3,0,0,0,0,0,12,10,3,3,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,77,3,9,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,158,3,9,3,0,0,3,0,173,392,0,0,0,0,0,0,0,392,194,0,0,0,0,0,0,0,194,36,3,0,0,0,7,7,0,46,24,4,6,0,0,0,0,0,34,58,4,4,5,0,0,5,0,71,4,0,0,0,0,0,0,0,4,49,9,9,0,0,0,0,0,67,23,0,0,0,0,0,0,0,23,194,20,19,5,0,7,12,0,245,7,0,0,0,0,0,0,0,7,33,3
IARE101002,163,3,3,3,0,0,3,3,175,539,12,4,0,0,0,0,0,555,339,72,88,0,0,4,4,0,503,308,28,53,0,0,0,0,0,389,101,9,12,0,0,4,4,0,126,38,4,3,0,0,0,0,0,45,15,3,0,0,0,0,0,0,18,8,3,0,0,0,0,0,0,11,809,119,156,0,0,8,8,0,1092,6,0,0,0,0,0,0,0,6,47,5,9,3,0,0,3,0,64,1564,139,172,6,0,8,14,3,1892,3829,101,123,12,0,6,18,0,4071,4399,78,49,3,0,9,12,0,4538,1109,328,471,0,0,11,11,0,1919,165,49,144,0,0,0,0,0,358,526,42,57,0,0,10,10,0,635,9,9,29,0,0,0,0,0,47,68,5,17,13,0,8,21,0,111,69,5,6,3,0,0,3,0,83,1946,438,724,16,0,29,45,0,3153,49,12,83,0,0,0,0,0,144,186,28
IARE101003,30,0,0,0,0,0,0,0,30,47,0,0,0,0,0,0,0,47,28,0,13,0,0,0,0,0,41,32,0,0,0,0,0,0,0,32,23,0,0,0,0,0,0,0,23,14,0,0,0,0,0,0,0,14,7,0,3,4,0,0,4,0,14,3,0,0,0,0,0,0,0,3,107,0,16,4,0,0,4,0,127,3,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,6,193,0,16,4,0,0,4,0,213,641,0,14,3,3,0,6,0,661,356,0,16,0,0,0,0,0,372,51,0,43,0,0,0,0,0,94,28,0,0,0,0,0,0,0,28,108,3,9,0,0,6,6,0,126,9,0,0,0,0,0,0,0,9,23,0,4,3,0,0,3,0,30,18,0,3,0,0,0,0,0,21,237,3,59,3,0,6,9,0,308,17,0,0,0,0,0,0,0,17,36,0
IARE101004,73,0,0,0,0,0,0,0,73,134,0,0,0,0,0,0,0,134,78,6,14,0,0,0,0,0,98,63,4,4,0,0,0,0,0,71,42,0,0,0,0,0,0,0,42,11,3,0,0,0,0,0,0,14,21,3,3,0,0,0,0,0,27,8,0,4,0,0,0,0,0,12,223,16,25,0,0,0,0,0,264,4,0,0,0,0,0,0,0,4,20,0,0,0,0,0,0,0,20,454,16,25,0,0,0,0,0,495,860,4,5,4,3,3,10,0,879,564,0,0,3,0,3,6,0,570,108,17,17,0,0,3,3,0,145,45,0,6,0,0,0,0,0,51,127,5,9,0,0,3,3,0,144,7,0,7,0,0,0,0,0,14,50,0,3,3,0,3,6,0,59,35,0,3,3,0,0,3,0,41,372,22,45,6,0,9,15,0,454,21,0,0,0,0,0,0,0,21,54,0
IARE101005,82,0,0,0,0,0,0,0,82,142,0,0,0,0,0,0,0,142,83,5,5,0,0,0,0,0,93,64,0,6,0,0,0,0,0,70,56,4,0,0,0,0,0,0,60,19,4,0,0,0,0,0,0,23,11,0,0,0,0,0,0,0,11,5,0,0,0,0,0,0,0,5,238,13,11,0,0,0,0,0,262,3,0,0,0,0,0,0,0,3,21,0,0,0,0,0,0,0,21,486,13,11,0,0,0,0,0,510,1820,37,6,11,3,3,17,3,1883,1419,4,11,3,0,4,7,0,1441,405,65,74,0,0,5,5,0,549,137,7,36,0,0,0,0,3,183,318,13,14,0,0,3,3,0,348,26,13,13,0,0,0,0,0,52,67,3,8,10,0,0,10,0,88,40,0,4,0,0,0,0,0,44,993,101,149,10,0,8,18,3,1264,35,15,0,0,0,0,0,0,50,113,12
IARE101006,18,0,0,4,0,0,4,0,22,21,0,0,0,0,0,0,0,21,7,5,0,0,0,0,0,0,12,42,0,0,0,0,0,0,0,42,22,0,0,0,0,0,0,0,22,12,0,0,0,0,0,0,0,12,5,0,0,4,0,0,4,0,9,4,0,0,0,0,0,0,0,4,92,5,0,4,0,0,4,0,101,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,8,135,5,4,8,0,0,8,0,152,421,5,0,3,0,3,6,0,432,201,4,0,0,0,0,0,0,205,13,0,5,0,0,0,0,0,18,10,0,0,0,0,0,0,0,10,85,8,11,5,0,3,8,0,112,0,0,14,0,0,0,0,0,14,62,6,0,0,0,0,0,0,68,35,0,0,0,0,0,0,0,35,205,14,30,5,0,3,8,0,257,6,3,0,0,0,0,0,0,9,27,0
IARE101007,56,0,3,0,0,0,0,0,59,49,0,0,0,0,0,0,0,49,29,0,7,0,0,0,0,0,36,45,0,0,0,0,0,0,0,45,53,0,0,0,0,0,0,0,53,4,0,4,0,0,0,0,0,8,16,0,0,0,0,0,0,0,16,4,0,0,0,0,0,0,0,4,151,0,11,0,0,0,0,0,162,3,0,0,0,0,0,0,0,3,18,0,3,0,0,0,0,0,21,277,0,17,0,0,0,0,0,294,1376,4,13,8,12,15,35,3,1431,662,3,0,3,0,4,7,4,676,101,3,25,0,0,0,0,3,132,28,0,9,0,0,0,0,0,37,249,7,18,3,0,3,6,0,280,8,0,10,0,0,0,0,0,18,81,0,8,0,0,5,5,3,97,57,0,0,0,0,0,0,0,57,524,10,70,3,0,8,11,6,621,26,0,8,0,0,0,0,0,34,76,0
IARE101008,85,0,0,0,0,0,0,0,85,131,4,0,0,0,0,0,0,135,106,0,8,0,0,3,3,0,117,77,6,4,0,0,0,0,0,87,53,0,0,0,0,0,0,0,53,31,9,6,0,0,0,0,0,46,9,0,0,0,0,0,0,0,9,8,0,0,0,0,0,0,0,8,284,15,18,0,0,3,3,0,320,3,0,0,0,0,0,0,0,3,11,5,0,0,0,0,0,0,16,514,24,18,0,0,3,3,0,559,1201,10,10,5,7,3,15,0,1236,692,3,3,0,0,4,4,0,702,186,6,21,4,0,0,4,0,217,26,3,12,0,0,0,0,0,41,170,6,11,0,0,3,3,0,190,7,3,17,0,0,0,0,0,27,57,8,10,0,0,0,0,0,75,36,0,3,0,0,3,3,0,42,482,26,74,4,0,6,10,0,592,28,0,0,0,0,0,0,0,28,66,3
IARE102001,40,0,0,0,0,0,0,0,40,79,0,0,0,0,0,0,0,79,105,9,33,0,0,0,0,0,147,133,23,23,0,0,0,0,0,179,26,0,0,0,0,0,0,0,26,32,0,10,0,0,0,0,0,42,4,0,0,3,0,0,3,0,7,0,0,0,0,0,0,0,0,0,300,32,66,3,0,0,3,0,401,0,0,0,0,0,0,0,0,0,25,4,4,3,0,0,3,0,36,444,36,70,6,0,0,6,0,556,2726,74,63,10,0,6,16,3,2882,2175,36,52,4,0,0,4,5,2272,916,196,542,0,0,0,0,0,1654,149,39,83,0,0,0,0,0,271,377,37,80,0,0,0,0,4,498,10,35,16,0,0,0,0,0,61,77,7,13,13,0,8,21,0,118,61,6,7,0,0,0,0,0,74,1590,320,741,13,0,8,21,4,2676,50,12,3,0,0,0,0,0,65,153,14
IARE102002,31,0,0,0,0,0,0,0,31,41,0,0,0,0,0,0,0,41,54,4,5,0,0,0,0,0,63,19,3,5,0,0,0,0,0,27,18,0,0,0,0,0,0,0,18,11,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,106,7,10,0,0,0,0,0,123,4,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,3,185,7,10,0,0,0,0,0,202,1486,15,7,9,3,0,12,3,1523,833,5,0,0,0,4,4,3,845,277,53,43,0,0,0,0,0,373,54,3,0,0,0,0,0,0,57,181,8,6,0,0,0,0,0,195,19,16,0,0,0,0,0,0,35,60,0,0,0,0,0,0,0,60,29,3,0,0,3,0,3,0,35,620,83,49,0,3,0,3,0,755,32,6,0,0,0,0,0,0,38,97,4
