region_id,No_Int_con_HHs_with_Ind_p,No_Internet_connect_Other_hhd,No_Internet_connect_Tot_hhd,Ty_Int_con_Bba_HHs_with_Ind_p,Type_Int_conn_Bband_Other_hhd,Type_Int_conn_Bband_Tot_hhd,Typ_Int_con_Diup_HHs_w_Ind_p,Type_Int_conn_Di_up_Other_hhd,Type_Int_conn_Di_up_Tot_hhd,Type_Int_con_Oth_HHs_w_Ind_p,Type_Int_conn_Other_Other_hhd,Type_Int_conn_Other_Tot_hhd,Type_Int_con_Tot_HHs_w_Ind_p,Type_Int_conn_Tot_Oth_hhd,Type_Int_conn_Tot_Tot_hhd,Internet_con_ns_HHs_w_Ind_p,Internet_connect_ns_Oth_hhd,Internet_connect_ns_Tot_hhd,Tot_Hholds_w_Indig_per,Tot_Oth_households,Tot_Tot_households
IARE105001,159,4336,4495,241,11910,12151,15,542,557,45,765,810,301,13217,13518,41,686,727,501,18239,18740
IARE105002,171,859,1030,96,1806,1902,3,112,115,14,97,111,113,2015,2128,24,148,172,308,3022,3330
IARE105003,158,2941,3099,335,8634,8969,21,467,488,56,561,617,412,9662,10074,40,417,457,610,13020,13630
IARE105004,59,1792,1851,145,4224,4369,11,297,308,18,207,225,174,4728,4902,9,216,225,242,6736,6978
IARE105005,95,509,604,71,956,1027,3,48,51,15,77,92,89,1081,1170,5,76,81,189,1666,1855
IARE105006,69,2093,2162,126,3913,4039,8,289,297,12,198,210,146,4400,4546,13,268,281,228,6761,6989
IARE105007,65,2370,2435,129,4172,4301,12,278,290,14,217,231,155,4667,4822,13,256,269,233,7293,7526
IARE105008,45,961,1006,78,1575,1653,5,106,111,5,102,107,88,1783,1871,6,101,107,139,2845,2984
IARE105009,139,1518,1657,165,2446,2611,6,167,173,14,141,155,185,2754,2939,46,184,230,370,4456,4826
IARE105010,98,1671,1769,88,3126,3214,0,202,202,14,183,197,102,3511,3613,17,223,240,217,5405,5622
IARE105011,129,1057,1186,175,1732,1907,11,116,127,28,101,129,214,1949,2163,28,140,168,371,3146,3517
IARE105012,292,3327,3619,318,6912,7230,25,397,422,42,436,478,385,7745,8130,44,475,519,721,11547,12268
IARE105013,62,1505,1567,105,2520,2625,3,169,172,14,162,176,122,2851,2973,15,164,179,199,4520,4719
IARE105014,210,781,991,131,1232,1363,9,84,93,27,68,95,167,1384,1551,22,85,107,399,2250,2649
IARE105015,127,2772,2899,258,5444,5702,12,339,351,32,304,336,302,6087,6389,21,376,397,450,9235,9685
IARE105016,108,2324,2432,257,5303,5560,16,289,305,34,259,293,307,5851,6158,16,296,312,431,8471,8902
IARE105017,94,676,770,103,1024,1127,4,51,55,20,81,101,127,1156,1283,17,105,122,238,1937,2175
IARE105018,268,3266,3534,418,8315,8733,22,418,440,56,519,575,496,9252,9748,61,521,582,825,13039,13864
IARE105019,82,1251,1333,95,2307,2402,5,138,143,21,123,144,121,2568,2689,7,170,177,210,3989,4199
IARE105020,70,3075,3145,141,6307,6448,12,357,369,16,327,343,169,6991,7160,6,450,456,245,10516,10761
IARE105021,360,4507,4867,638,13768,14406,33,636,669,87,935,1022,758,15339,16097,65,708,773,1183,20554,21737
IARE105022,62,1397,1459,82,2497,2579,7,139,146,15,160,175,104,2796,2900,8,172,180,174,4365,4539
IARE106001,119,2979,3098,194,8020,8214,10,558,568,33,372,405,237,8950,9187,21,415,436,377,12344,12721
