region_id,Neg_Nil_inc_hh_with_Ind_psns,Neg_Nil_inc_Other_households,Neg_Nil_income_Tot_hhlds,HI1_199_Hhd_with_Indig_psns,HI1_199_Other_households,HI1_199_Tot_hhlds,HI200_299_Hhd_with_Indig_psns,HI200_299_Other_households,HI200_299_Tot_hhlds,HI300_399_Hhd_with_Indig_psns,HI300_399_Other_households,HI300_399_Tot_hhlds,HI400_599_Hhd_with_Indig_psns,HI400_599_Other_households,HI400_599_Tot_hhlds,HI600_799_Hhd_with_Indig_psns,HI600_799_Other_households,HI600_799_Tot_hhlds,HI800_999_Hhd_with_Indig_psns,HI800_999_Other_households,HI800_999_Tot_hhlds,HI1000_1249_Hh_with_Indig_psn,HI1000_1249_Other_households,HI1000_1249_Tot_hhlds,HI1250_1499_Hh_with_Indig_psn,HI1250_1499_Other_households,HI1250_1499_Tot_hhlds,HI1500_1999_Hh_with_Indig_psn,HI1500_1999_Other_households,HI1500_1999_Tot_hhlds,HI2000_2499_Hh_with_Indig_psn,HI2000_2499_Other_households,HI2000_2499_Tot_hhlds,HI2500_2999_Hh_with_Indig_psn,HI2500_2999_Other_households,HI2500_2999_Tot_hhlds,HI3000_more_Hh_with_Indig_psn,HI3000_more_Other_households,HI3000_more_Tot_hhlds,Part_inc_st_Hh_with_Indig_psn,Partial_inc_stated_Other_hhds,Partial_inc_stated_Tot_hhlds,All_inc_ns_Hh_with_Ind_psns,All_income_ns_Other_household,All_inc_NS_Tot_hhlds,Tot_Household_with_Indig_psns,Tot_Other_households,Tot_Tot_hhlds
IARE601011,5,110,115,9,185,194,13,363,376,22,950,972,64,1469,1533,41,1221,1262,40,1203,1243,36,1022,1058,39,929,968,59,1339,1398,27,892,919,18,635,653,19,668,687,18,931,949,8,259,267,418,12176,12594
IARE694994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IARE697997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IARE701001,10,51,61,20,39,59,84,89,173,60,202,262,83,241,324,100,316,416,68,417,485,64,563,627,84,520,604,107,996,1103,112,846,958,64,785,849,115,953,1068,168,758,926,123,165,288,1262,6941,8203
IARE701002,4,0,4,11,0,11,10,0,10,17,3,20,27,0,27,37,3,40,13,0,13,18,0,18,3,0,3,11,0,11,3,0,3,5,0,5,8,0,8,8,0,8,12,0,12,187,6,193
IARE702001,3,3,6,14,0,14,17,0,17,17,4,21,36,8,44,30,4,34,16,5,21,29,3,32,15,5,20,19,13,32,8,3,11,3,3,6,3,5,8,29,0,29,9,3,12,248,59,307
IARE702002,3,0,3,5,0,5,0,0,0,3,0,3,4,0,4,3,0,3,0,0,0,3,3,6,0,0,0,3,5,8,3,0,3,0,3,3,3,0,3,11,0,11,6,3,9,47,14,61
IARE702003,0,0,0,11,0,11,7,0,7,6,3,9,17,3,20,26,6,32,11,4,15,18,9,27,10,6,16,13,8,21,10,0,10,3,3,6,0,0,0,9,3,12,7,7,14,148,52,200
IARE702004,0,0,0,3,0,3,0,0,0,0,0,0,4,0,4,8,0,8,5,0,5,0,3,3,4,0,4,0,6,6,0,3,3,0,3,3,0,0,0,7,3,10,0,0,0,31,18,49
IARE702005,0,0,0,0,0,0,3,0,3,4,0,4,9,0,9,11,0,11,9,3,12,4,0,4,4,4,8,3,9,12,3,8,11,0,4,4,0,0,0,8,7,15,6,0,6,64,35,99
IARE702006,0,0,0,4,0,4,0,0,0,0,0,0,5,0,5,3,0,3,4,0,4,7,3,10,6,0,6,9,0,9,3,0,3,3,3,6,0,0,0,0,0,0,0,0,0,44,6,50
IARE702007,0,0,0,3,0,3,7,0,7,0,0,0,6,3,9,3,4,7,7,7,14,5,6,11,10,5,15,5,7,12,11,4,15,0,3,3,3,0,3,12,0,12,0,0,0,72,39,111
IARE702008,0,3,3,11,0,11,7,0,7,3,3,6,10,3,13,5,3,8,0,3,3,0,5,5,5,5,10,0,5,5,0,7,7,0,0,0,0,5,5,10,0,10,5,3,8,56,45,101
