region_id,M_Y12_equivalent_Indigenous,M_Y12_equivalent_Non_Indig,M_Y12_equiv_IndigStat_ns,M_Y12_equivalent_Tot,M_Y11_equivalent_Indigenous,M_Y11_equiv_Non_Indig,M_Y11_equiv_IndigStat_ns,M_Y11_equivalent_Tot,M_Y10_equivalent_Indigenous,M_Y10_equiv_Non_Indig,M_Y10_equiv_IndigStat_ns,M_Y10_equivalent_Tot,M_Y9_equivalent_Indigenous,M_Y9_equiv_Non_Indig,M_Y9_equiv_IndigStat_ns,M_Y9_equivalent_Tot,M_Y8_below_Indigenous,M_Y8_below_Non_Indig,M_Y8_below_IndigStat_ns,M_Y8_below_Tot,M_Did_not_go_to_school_Indig,M_Did_not_go_to_sch_Non_Indig,M_Di_no_go_to_sch_IndSt_ns,M_Did_not_go_to_school_Tot,M_Highest_yr_school_ns_Indig,M_Highest_yr_sch_ns_Non_Indig,M_Highe_yr_sch_ns_IndSt_ns,M_Highest_yr_school_ns_Tot,M_Tot_Indigenous,M_Tot_Non_Indigenous,M_Tot_IndigStat_ns,M_Tot_Tot,F_Y12_equivalent_Indigenous,F_Y12_equivalent_Non_Indig,F_Y12_equiv_IndigStat_ns,F_Y12_equivalent_Tot,F_Y11_equivalent_Indigenous,F_Y11_equiv_Non_Indig,F_Y11_equiv_IndigStat_ns,F_Y11_equivalent_Tot,F_Y10_equivalent_Indigenous,F_Y10_equiv_Non_Indig,F_Y10_equiv_IndigStat_ns,F_Y10_equivalent_Tot,F_Y9_equivalent_Indigenous,F_Y9_equiv_Non_Indig,F_Y9_equiv_IndigStat_ns,F_Y9_equivalent_Tot,F_Y8_below_Indigenous,F_Y8_below_Non_Indig,F_Y8_below_IndigStat_ns,F_Y8_below_Tot,F_Did_not_go_to_school_Indig,F_Did_not_go_to_sch_Non_Indig,F_Di_no_go_to_sch_IndSt_ns,F_Did_not_go_to_school_Tot,F_Highest_yr_school_ns_Indig,F_Highest_yr_sch_ns_Non_Indig,F_Highe_yr_sch_ns_IndSt_ns,F_Highest_yr_school_ns_Tot,F_Tot_Indigenous,F_Tot_Non_Indigenous,F_Tot_IndigStat_ns,F_Tot_Tot,P_Y12_equivalent_Indigenous,P_Y12_equivalent_Non_Indig,P_Y12_equiv_IndigStat_ns,P_Y12_equivalent_Tot,P_Y11_equivalent_Indigenous,P_Y11_equiv_Non_Indig,P_Y11_equiv_IndigStat_ns,P_Y11_equivalent_Tot,P_Y10_equivalent_Indigenous,P_Y10_equiv_Non_Indig,P_Y10_equiv_IndigStat_ns,P_Y10_equivalent_Tot,P_Y9_equivalent_Indigenous,P_Y9_equiv_Non_Indig,P_Y9_equiv_IndigStat_ns,P_Y9_equivalent_Tot,P_Y8_below_Indigenous,P_Y8_below_Non_Indig,P_Y8_below_IndigStat_ns,P_Y8_below_Tot,P_Did_not_go_to_school_Indig,P_Did_not_go_to_sch_Non_Indig,P_Di_no_go_to_sch_IndSt_ns,P_Did_not_go_to_school_Tot,P_Highest_yr_school_ns_Indig,P_Highest_yr_sch_ns_Non_Indig,P_Highe_yr_sch_ns_IndSt_ns,P_Highest_yr_school_ns_Tot,P_Tot_Indigenous,P_Tot_Non_Indigenous,P_Tot_IndigStat_ns,P_Tot_Tot
IARE308002,52,1819,17,1888,16,537,5,558,57,2111,13,2181,28,457,5,490,29,745,8,782,3,38,3,44,16,305,310,631,201,6012,361,6574,73,2090,10,2173,39,421,4,464,78,2063,22,2163,36,352,4,392,35,731,17,783,0,32,0,32,32,310,231,573,293,5999,288,6580,125,3909,27,4061,55,958,9,1022,135,4174,35,4344,64,809,9,882,64,1476,25,1565,3,70,3,76,48,615,541,1204,494,12011,649,13154
IARE308003,52,795,4,851,27,190,3,220,44,714,16,774,22,212,3,237,38,325,4,367,3,16,0,19,22,130,228,380,208,2382,258,2848,60,1062,6,1128,29,204,3,236,53,778,13,844,26,207,3,236,27,301,8,336,3,11,0,14,29,162,145,336,227,2725,178,3130,112,1857,10,1979,56,394,6,456,97,1492,29,1618,48,419,6,473,65,626,12,703,6,27,0,33,51,292,373,716,435,5107,436,5978
IARE308004,20,652,5,677,8,165,4,177,30,822,6,858,12,223,3,238,22,367,3,392,3,16,3,22,6,107,176,289,101,2352,200,2653,18,829,10,857,11,181,0,192,33,670,3,706,17,132,0,149,6,196,4,206,0,7,0,7,8,85,83,176,93,2100,100,2293,38,1481,15,1534,19,346,4,369,63,1492,9,1564,29,355,3,387,28,563,7,598,3,23,3,29,14,192,259,465,194,4452,300,4946
IARE308005,59,1459,17,1535,17,318,5,340,63,1310,15,1388,8,269,3,280,26,605,9,640,5,26,0,31,21,234,160,415,199,4221,209,4629,53,1388,11,1452,26,289,3,318,44,1316,17,1377,22,242,6,270,22,587,10,619,3,25,0,28,23,247,127,397,193,4094,174,4461,112,2847,28,2987,43,607,8,658,107,2626,32,2765,30,511,9,550,48,1192,19,1259,8,51,0,59,44,481,287,812,392,8315,383,9090
IARE308006,349,11306,92,11747,107,2722,24,2853,295,8707,82,9084,90,1591,19,1700,92,1936,30,2058,14,80,0,94,80,1075,2555,3710,1027,27417,2802,31246,360,12577,88,13025,130,2235,11,2376,313,8022,53,8388,94,1399,29,1522,75,1972,39,2086,7,79,5,91,85,1169,1150,2404,1064,27453,1375,29892,709,23883,180,24772,237,4957,35,5229,608,16729,135,17472,184,2990,48,3222,167,3908,69,4144,21,159,5,185,165,2244,3705,6114,2091,54870,4177,61138
IARE308007,26,1415,10,1451,6,420,3,429,35,1917,17,1969,12,381,3,396,10,528,6,544,3,16,0,19,7,187,397,591,99,4864,436,5399,38,1689,9,1736,16,331,3,350,38,1559,13,1610,7,263,0,270,16,365,6,387,0,9,0,9,6,144,142,292,121,4360,173,4654,64,3104,19,3187,22,751,6,779,73,3476,30,3579,19,644,3,666,26,893,12,931,3,25,0,28,13,331,539,883,220,9224,609,10053
IARE308008,26,823,6,855,11,234,4,249,26,955,13,994,6,181,3,190,4,234,4,242,0,13,0,13,4,102,222,328,77,2542,252,2871,26,980,10,1016,0,200,3,203,10,820,12,842,4,135,3,142,9,141,8,158,0,0,0,0,0,96,61,157,49,2372,97,2518,52,1803,16,1871,11,434,7,452,36,1775,25,1836,10,316,6,332,13,375,12,400,0,13,0,13,4,198,283,485,126,4914,349,5389
IARE308009,127,22,3,152,103,7,0,110,228,16,0,244,110,4,3,117,147,3,3,153,4,0,0,4,13,3,4,20,732,55,13,800,145,46,0,191,116,3,0,119,201,3,0,204,99,0,0,99,127,0,0,127,0,0,0,0,9,0,6,15,697,52,6,755,272,68,3,343,219,10,0,229,429,19,0,448,209,4,3,216,274,3,3,280,4,0,0,4,22,3,10,35,1429,107,19,1555
IARE308010,44,2749,18,2811,13,768,8,789,45,2117,14,2176,0,377,5,382,9,368,9,386,3,19,0,22,16,238,918,1172,130,6636,972,7738,53,3025,19,3097,16,625,3,644,32,1774,17,1823,12,313,5,330,6,269,4,279,0,13,0,13,9,218,582,809,128,6237,630,6995,97,5774,37,5908,29,1393,11,1433,77,3891,31,3999,12,690,10,712,15,637,13,665,3,32,0,35,25,456,1500,1981,258,12873,1602,14733
IARE308011,54,1134,6,1194,19,411,3,433,54,1567,17,1638,20,321,3,344,15,408,7,430,0,3,3,6,19,180,406,605,181,4024,445,4650,59,1435,9,1503,19,333,4,356,42,1268,17,1327,17,241,0,258,12,313,0,325,0,6,0,6,18,165,164,347,167,3761,194,4122,113,2569,15,2697,38,744,7,789,96,2835,34,2965,37,562,3,602,27,721,7,755,0,9,3,12,37,345,570,952,348,7785,639,8772
IARE308012,379,8947,48,9374,121,2092,19,2232,279,6161,56,6496,88,1152,8,1248,71,1056,9,1136,12,59,3,74,61,606,1261,1928,1011,20073,1404,22488,474,10663,66,11203,162,1870,18,2050,353,6207,51,6611,71,994,13,1078,63,1020,9,1092,8,51,0,59,111,659,966,1736,1242,21464,1123,23829,853,19610,114,20577,283,3962,37,4282,632,12368,107,13107,159,2146,21,2326,134,2076,18,2228,20,110,3,133,172,1265,2227,3664,2253,41537,2527,46317
IARE308013,522,17625,106,18253,153,2692,21,2866,372,7863,60,8295,111,1509,25,1645,129,1800,28,1957,22,121,0,143,171,1117,2740,4028,1480,32727,2980,37187,629,19016,93,19738,214,2238,24,2476,426,7900,70,8396,132,1262,12,1406,137,1970,36,2143,20,111,3,134,178,1217,2094,3489,1736,33714,2332,37782,1151,36641,199,37991,367,4930,45,5342,798,15763,130,16691,243,2771,37,3051,266,3770,64,4100,42,232,3,277,349,2334,4834,7517,3216,66441,5312,74969
IARE308014,31,1588,18,1637,11,478,3,492,48,1681,23,1752,8,385,9,402,11,420,8,439,0,13,3,16,333,322,364,1019,442,4887,428,5757,48,1891,15,1954,14,388,4,406,36,1387,19,1442,11,262,4,277,13,249,6,268,0,15,0,15,81,167,261,509,203,4359,309,4871,79,3479,33,3591,25,866,7,898,84,3068,42,3194,19,647,13,679,24,669,14,707,0,28,3,31,414,489,625,1528,645,9246,737,10628
