region_id,OH_T_NS_DS_FUA,OH_T_NS_DS_OD_CCH,OH_T_NS_DS_OD_IH_t_SO,OH_T_NS_OD_HF_a_SO,OH_T_NS_DS_OD_Tot,OH_T_NS_DS_NS,OH_T_NS_DS_Tot,OH_Tot_DS_SHouse,OH_Tot_DS_SDRTHT,OH_Tot_DS_F_u_or_a,OH_Tot_DS_OD_CCHb,OH_Tot_DS_OD_IH_t_SO,OH_Tot_DS_OD_HF_a_to_a_s_o,OH_Tot_DS_OD_Tot,OH_Tot_DS_NS,OH_Tot_Tot,T_h_OO_DS_SH,T_h_OO_DS_SDRTHT,T_h_OO_DS_FUA,T_h_OO_DS_OD_CCH,T_h_OO_DS_OD_IH_t_SO,T_h_OO_OD_HF_a_SO,T_h_OO_DS_OD_Tot,T_h_OO_DS_NS,T_h_OO_DS_Tot,T_h_M_DS_SH,T_h_M_DS_SDRTHT,T_h_M_DS_FUA,T_h_M_DS_OD_CCH,T_h_M_DS_OD_IH_t_SO,T_h_M_OD_HF_a_SO,T_h_M_DS_OD_Tot,T_h_M_DS_NS,T_h_M_DS_Tot,T_h_RREA_DS_SH,T_h_RREA_DS_SDRTHT,T_h_RREA_DS_FUA,T_h_RREA_DS_OD_CCH,T_h_RREA_DS_OD_IH_t_SO,T_h_RREA_OD_HF_a_SO,T_h_RREA_DS_OD_Tot,T_h_RREA_DS_NS,T_h_RREA_DS_Tot,T_h_RHA_DS_SH,T_h_RHA_DS_SDRTHT,T_h_RHA_DS_FUA,T_h_RHA_DS_OD_CCH,T_h_RHA_DS_OD_IH_t_SO,T_h_RHA_OD_HF_a_SO,T_h_RHA_DS_OD_Tot,T_h_RHA_DS_NS,T_h_RHA_DS_Tot,T_h_R_PSH_DS_SH,T_h_R_PSH_DS_SDRTHT,T_h_R_PSH_DS_FUA,T_h_R_PSH_DS_OD_CCH,T_h_R_PSH_DS_OD_IH_t_SO,T_h_R_PSH_OD_HF_a_SO,T_h_R_PSH_DS_OD_Tot,T_h_R_PSH_DS_NS,T_h_R_PSH_DS_Tot,T_h_R_HCC_DS_SH,T_h_R_HCC_DS_SDRTHT,T_h_R_HCC_DS_FUA,T_h_R_HCC_DS_OD_CCH,T_h_R_HCC_DS_OD_IH_t_SO,T_h_R_HCC_OD_HF_a_SO,T_h_R_HCC_DS_OD_Tot,T_h_R_HCC_DS_NS,T_h_R_HCC_DS_Tot,T_h_R_OLT_DS_SH,T_h_R_OLT_DS_SDRTHT,T_h_R_OLT_DS_FUA,T_h_R_OLT_DS_OD_CCH,T_h_R_OLT_DS_OD_IH_t_SO,T_h_R_OLT_OD_HF_a_SO,T_h_R_OLT_DS_OD_Tot,T_h_R_OLT_DS_NS,T_h_R_OLT_DS_Tot,T_h_R_LNS_DS_SH,T_h_R_LNS_DS_SDRTHT,T_h_R_LNS_DS_FUA,T_h_R_LNS_DS_OD_CCH,T_h_R_LNS_DS_OD_IH_t_SO,T_h_R_LNS_OD_HF_a_SO,T_h_R_LNS_DS_OD_Tot,T_h_R_LNS_DS_NS,T_h_R_LNS_DS_Tot,T_h_R_Tot_DS_SH,T_h_R_Tot_DS_SDRTHT,T_h_R_Tot_DS_FUA,T_h_R_Tot_DS_OD_CCH,T_h_R_Tot_DS_OD_IH_t_SO,T_h_R_Tot_OD_HF_a_SO,T_h_R_Tot_DS_OD_Tot,T_h_R_Tot_DS_NS,T_h_R_Tot_DS_Tot,T_h_OTT_DS_SH,T_h_OTT_DS_SDRTHT,T_h_OTT_DS_FUA,T_h_OTT_DS_OD_CCH,T_h_OTT_DS_OD_IH_t_SO,T_h_OTT_OD_HF_a_SO,T_h_OTT_DS_OD_Tot,T_h_OTT_DS_NS,T_h_OTT_DS_Tot,T_h_T_NS_DS_SH,T_h_T_NS_DS_SDRTHT,T_h_T_NS_DS_FUA,T_h_T_NS_DS_OD_CCH,T_h_T_NS_DS_OD_IH_t_SO,T_h_T_NS_OD_HF_a_SO,T_h_T_NS_DS_OD_Tot,T_h_T_NS_DS_NS,T_h_T_NS_DS_Tot,T_h_Tot_DS_SH,T_h_Tot_DS_SDRTHT,T_h_Tot_DS_FUA,T_h_Tot_DS_OD_CCH,T_h_Tot_DS_OD_IH_t_SO,T_h_Tot_OD_HF_a_SO,T_h_Tot_DS_OD_Tot,T_h_Tot_DS_NS,T_h_Tot_DS_Tot
IARE104021,183,35,0,3,38,0,1516,44633,4905,3149,562,3,97,662,26,53375,16503,1404,768,263,0,11,274,3,18952,18003,803,213,9,3,18,30,8,19057,6897,1469,1141,13,0,32,45,3,9555,728,622,392,3,0,3,6,3,1751,2634,308,232,23,0,18,41,3,3218,113,81,125,0,0,0,0,0,319,305,33,47,237,0,9,246,3,634,211,58,26,8,0,6,14,3,312,10888,2571,1963,284,0,68,352,15,15789,226,135,150,6,0,0,6,0,517,1150,214,187,38,0,3,41,0,1592,46770,5127,3281,600,3,100,703,26,55907
IARE105001,131,7,0,0,7,0,524,14161,1030,2947,65,0,24,89,14,18241,4880,235,335,35,0,3,38,0,5488,5967,161,339,0,0,4,4,0,6471,1714,428,1627,0,0,9,9,7,3785,583,15,230,0,0,0,0,0,828,690,97,272,0,0,5,5,4,1068,43,41,57,0,0,0,0,0,141,105,15,25,23,0,3,26,3,174,68,0,18,0,0,0,0,0,86,3203,596,2229,23,0,17,40,14,6082,125,20,4,0,0,0,0,0,149,361,43,140,7,0,0,7,0,551,14536,1055,3047,65,0,24,89,14,18741
IARE105002,5,7,0,6,13,0,112,2794,35,94,61,3,29,93,4,3020,1200,4,19,36,3,6,45,0,1268,997,6,3,3,0,6,9,4,1019,183,11,54,0,0,0,0,0,248,53,3,3,0,0,0,0,0,59,250,3,10,3,0,7,10,0,273,74,14,4,0,0,3,3,0,95,120,3,16,11,0,4,15,0,154,43,3,0,4,3,0,7,0,53,723,37,87,18,3,14,35,0,882,32,0,0,0,0,0,0,0,32,107,0,5,10,0,6,16,0,128,3059,47,114,67,6,32,105,4,3329
IARE105003,34,3,0,4,7,0,328,11133,941,855,29,6,24,59,30,13018,4123,181,123,19,0,5,24,4,4455,4456,132,83,0,3,3,6,7,4684,1471,432,472,0,0,3,3,7,2385,388,70,93,0,0,6,6,0,557,660,96,71,3,0,3,6,4,837,42,28,3,0,0,0,0,0,73,83,7,8,4,0,0,4,5,107,86,7,4,0,3,0,3,0,100,2730,640,651,7,3,12,22,16,4059,58,6,5,0,0,0,0,3,72,267,47,37,3,0,4,7,0,358,11634,1006,899,29,6,24,59,30,13628
IARE105004,7,4,0,0,4,0,157,6433,113,109,39,10,27,76,8,6739,2824,15,5,17,6,3,26,5,2875,2396,11,4,4,4,9,17,0,2428,463,43,56,0,0,6,6,0,568,75,7,0,0,0,0,0,0,82,456,12,9,5,0,9,14,3,494,17,14,24,0,0,0,0,0,55,127,4,0,9,0,0,9,0,140,95,3,4,0,0,0,0,0,102,1233,83,93,14,0,15,29,3,1441,55,3,7,0,0,0,0,0,65,154,4,7,4,0,0,4,0,169,6662,116,116,39,10,27,76,8,6978
IARE105005,0,5,0,0,5,0,63,1552,7,52,37,7,9,53,0,1664,689,0,0,19,4,3,26,0,715,441,0,4,0,0,3,3,0,448,66,0,6,3,0,0,3,0,75,22,0,3,0,0,0,0,0,25,210,4,24,0,0,3,3,0,241,11,0,16,0,0,0,0,0,27,155,3,11,8,3,0,11,0,180,47,0,4,5,0,0,5,0,56,511,7,64,16,3,3,22,0,604,22,0,0,0,0,0,0,0,22,61,0,0,5,0,0,5,0,66,1724,7,68,40,7,9,56,0,1855
IARE105006,29,4,0,4,8,0,229,6135,167,321,84,7,39,130,7,6760,2886,55,54,58,0,5,63,7,3065,1826,19,14,0,3,13,16,0,1875,348,45,143,0,0,5,5,0,541,67,3,10,0,0,0,0,0,80,562,21,46,7,0,15,22,0,651,16,11,12,0,0,0,0,0,39,244,0,15,10,4,0,14,0,273,129,4,4,0,0,0,0,0,137,1366,84,230,17,4,20,41,0,1721,76,4,3,5,0,0,5,0,88,194,8,29,4,0,4,8,0,239,6348,170,330,84,7,42,133,7,6988
IARE105007,32,3,0,0,3,0,242,6841,64,316,18,13,41,72,3,7296,3500,6,53,15,7,16,38,0,3597,1997,6,16,0,6,7,13,0,2032,310,15,70,0,0,3,3,0,398,121,4,12,0,0,0,0,0,137,581,9,42,0,0,4,4,0,636,32,10,56,0,0,0,0,0,98,149,5,23,0,0,8,8,3,188,97,3,10,0,0,3,3,0,113,1290,46,213,0,0,18,18,3,1570,70,0,8,0,0,0,0,0,78,209,6,32,3,0,0,3,0,250,7066,64,322,18,13,41,72,3,7527
IARE105008,5,0,0,0,0,0,85,2658,37,136,5,0,3,8,3,2842,1322,21,21,5,0,0,5,0,1369,830,0,5,0,0,0,0,0,835,168,6,62,0,0,0,0,0,236,147,0,19,0,0,0,0,0,166,154,3,20,0,0,0,0,0,177,0,0,0,0,0,0,0,0,0,42,3,0,0,0,3,3,0,48,37,0,0,0,0,0,0,0,37,548,12,101,0,0,3,3,0,664,15,3,4,0,0,0,0,3,25,79,4,5,0,0,0,0,0,88,2794,40,136,5,0,3,8,3,2981
IARE105009,7,0,0,0,0,8,157,4093,138,172,23,3,18,44,8,4455,1980,34,16,12,0,4,16,0,2046,1288,7,3,3,3,3,9,0,1307,409,41,112,0,0,3,3,0,565,137,7,26,0,0,0,0,0,170,287,11,24,0,0,5,5,0,327,20,13,3,0,0,0,0,0,36,68,3,4,5,0,0,5,0,80,36,0,6,3,0,3,6,0,48,957,75,175,8,0,11,19,0,1226,27,17,0,0,0,0,0,0,44,163,10,19,3,0,0,3,8,203,4415,143,213,26,3,18,47,8,4826
IARE105010,26,7,0,0,7,0,204,4762,175,346,79,0,30,109,11,5403,2064,35,109,44,0,7,51,3,2262,1603,12,18,5,0,6,11,4,1648,566,87,127,0,0,7,7,4,791,104,7,23,0,0,0,0,0,134,240,18,25,3,0,6,9,0,292,57,3,12,0,0,0,0,0,72,59,6,0,20,0,0,20,3,88,45,0,0,0,0,0,0,0,45,1071,121,187,23,0,13,36,7,1422,54,0,14,0,0,4,4,0,72,164,19,29,7,0,0,7,0,219,4956,187,357,79,0,30,109,14,5623
IARE105011,10,11,0,0,11,0,111,2845,118,152,26,3,0,29,0,3144,1267,27,15,9,0,0,9,0,1318,1034,6,5,0,3,0,3,0,1048,276,69,83,0,0,0,0,0,428,141,6,16,0,0,0,0,0,163,228,11,22,0,0,0,0,0,261,3,3,9,0,0,0,0,0,15,76,0,3,6,0,0,6,0,85,44,0,6,0,0,0,0,0,50,768,89,139,6,0,0,6,0,1002,20,0,0,0,0,0,0,0,20,100,5,10,11,0,0,11,0,126,3189,127,169,26,3,0,29,0,3514
IARE105012,41,5,3,0,8,0,364,10061,652,747,57,6,23,86,0,11546,3986,141,125,26,3,10,39,0,4291,3646,81,79,3,0,0,3,0,3809,1226,307,370,3,0,7,10,0,1913,399,17,42,0,0,0,0,0,458,690,64,74,6,0,0,6,0,834,46,17,19,0,0,0,0,0,82,189,13,26,23,0,6,29,0,257,127,8,16,0,0,0,0,0,151,2677,426,547,32,0,13,45,0,3695,61,11,4,0,0,0,0,0,76,320,25,46,5,3,0,8,0,399,10690,684,801,66,6,23,95,0,12270
