region_id,NsQ_AD_DL_In_st_nsP,NsQ_AD_DL_TotM,NsQ_AD_DL_TotF,NsQ_AD_DL_TotP,NsQ_Crt_II_Ind_M,NsQ_Crt_II_Ind_F,NsQ_Crt_II_Ind_P,NsQ_Cer_II_No_Ind_M,NsQ_Cer_II_No_Ind_F,NsQ_Cer_II_No_Ind_P,NsQ_Ce_II_IndSt_nsM,NsQ_Ce_II_IndSt_nsF,NsQ_Ce_II_IndSt_nsP,NsQ_Crt_II_TotM,NsQ_Crt_II_TotF,NsQ_Crt_II_TotP,NsQ_Crt_III_ovr_Ind_M,NsQ_Crt_III_ovr_Ind_F,NsQ_Crt_III_ovr_Ind_P,NsQ_Cer_III_ov_No_In_M,NsQ_Cer_III_ov_No_In_F,NsQ_Cer_III_ov_No_In_P,NsQ_Ce_III_ov_Ind_s_nsM,NsQ_Ce_III_ov_Ind_s_nsF,NsQ_Ce_III_ov_Ind_s_nsP,NsQ_Crt_III_ovr_TotM,NsQ_Crt_III_ovr_TotF,NsQ_Crt_III_ovr_TotP,Mig_Sme_add_1_yr_ago_Indig_M,Mig_Sme_add_1_yr_ago_Indig_F,Mig_Sme_add_1_yr_ago_Indig_P,Mig_Sme_add_1_yr_ago_No_Ind_M,Mig_Sme_add_1_yr_ago_No_Ind_F,Mig_Sme_add_1_yr_ago_No_Ind_P,Mig_sa_ad_1_yr_ag_IndSt_nsM,Mig_sa_ad_1_yr_ag_IndSt_nsF,Mig_sa_ad_1_yr_ag_IndSt_nsP,Mig_Sme_add_1_yr_ago_TotM,Mig_Sme_add_1_yr_ago_TotF,Mig_Sme_add_1_yr_ago_TotP,Mig_Diff_add_1_yr_ago_Indig_M,Mig_Diff_add_1_yr_ago_Indig_F,Mig_Diff_add_1_yr_ago_Indig_P,Mig_Diff_ad_1_yr_ago_No_Ind_M,Mig_Diff_ad_1_yr_ago_No_Ind_F,Mig_Diff_ad_1_yr_ago_No_Ind_P,Mig_Dif_ad_1_yr_ag_In_st_nsM,Mig_Dif_ad_1_yr_ag_In_st_nsF,Mig_Dif_ad_1_yr_ag_In_st_nsP,Mig_Diff_add_1_yr_ago_TotM,Mig_Diff_add_1_yr_ago_TotF,Mig_Diff_add_1_yr_ago_TotP,Mig_Sme_add_5_ago_Indig_M,Mig_Sme_add_5_ago_Indig_F,Mig_Sme_add_5_ago_Indig_P,Mig_Sme_ad_5_ago_No_Ind_M,Mig_Sme_ad_5_ago_No_Ind_F,Mig_Sme_ad_5_ago_No_Ind_P,Mig_sa_ad_5_ag_In_st_nsM,Mig_sa_ad_5_ag_In_st_nsF,Mig_sa_ad_5_ag_In_st_nsP,Mig_Sme_add_5_ago_TotM,Mig_Sme_add_5_ago_TotF,Mig_Sme_add_5_ago_TotP,Mig_Diff_add_5_ago_Ind_M,Mig_Diff_add_5_ago_Ind_F,Mig_Diff_add_5_ago_Ind_P,Mig_Diff_ad_5_ag_No_Ind_M,Mig_Diff_ad_5_ag_No_Ind_F,Mig_Diff_ad_5_ag_No_Ind_P,Mi_Dif_ad_5_ag_In_st_nsM,Mi_Dif_ad_5_ag_In_st_nsF,Mi_Dif_ad_5_ag_In_st_nsP,Mig_Diff_add_5_ago_TotM,Mig_Diff_add_5_ago_TotF,Mig_Diff_add_5_ago_TotP
ILOC40102103,12,1193,1537,2730,0,0,0,93,142,235,0,5,5,93,147,240,7,8,15,1655,855,2510,13,8,21,1675,871,2546,41,65,106,13602,15414,29016,119,163,282,13762,15642,29404,11,19,30,2641,3029,5670,28,20,48,2680,3068,5748,24,34,58,9011,10327,19338,76,105,181,9111,10466,19577,22,44,66,6326,7227,13553,51,59,110,6399,7330,13729
ILOC40102201,4,272,487,759,3,3,6,58,92,150,0,0,0,61,95,156,6,8,14,1370,656,2026,5,7,12,1381,671,2052,62,71,133,6214,6165,12379,89,60,149,6365,6296,12661,32,14,46,941,993,1934,15,16,31,988,1023,2011,34,46,80,4178,4084,8262,63,48,111,4275,4178,8453,46,33,79,2517,2646,5163,31,16,47,2594,2695,5289
ILOC40102301,4,239,411,650,0,6,6,60,102,162,0,0,0,60,108,168,19,13,32,1484,639,2123,16,0,16,1519,652,2171,110,110,220,6043,6188,12231,86,76,162,6239,6374,12613,42,29,71,1017,1098,2115,5,13,18,1064,1140,2204,70,51,121,3933,4078,8011,59,53,112,4062,4182,8244,58,69,127,2713,2853,5566,24,28,52,2795,2950,5745
ILOC40102302,0,0,14,14,0,0,0,3,0,3,0,0,0,3,0,3,8,0,8,28,15,43,0,0,0,36,15,51,52,59,111,107,97,204,0,0,0,159,156,315,5,9,14,15,24,39,0,0,0,20,33,53,46,50,96,77,68,145,0,0,0,123,118,241,6,8,14,40,43,83,0,0,0,46,51,97
ILOC40102303,3,186,307,493,0,0,0,30,52,82,0,0,0,30,52,82,11,9,20,1152,418,1570,10,0,10,1173,427,1600,65,92,157,4540,4251,8791,68,81,149,4673,4424,9097,18,22,40,543,559,1102,9,6,15,570,587,1157,38,51,89,3449,3175,6624,48,56,104,3535,3282,6817,34,44,78,1425,1430,2855,18,10,28,1477,1484,2961
ILOC40200101,0,3,0,3,4,0,4,0,0,0,0,0,0,4,0,4,3,4,7,0,0,0,0,0,0,3,4,7,199,198,397,11,6,17,0,0,0,210,204,414,18,24,42,5,7,12,0,0,0,23,31,54,157,166,323,0,0,0,0,0,0,157,166,323,44,38,82,16,12,28,0,0,0,60,50,110
ILOC40200102,0,0,3,3,0,3,3,0,0,0,0,0,0,0,3,3,3,3,6,3,0,3,0,0,0,6,3,9,54,57,111,3,4,7,0,0,0,57,61,118,4,0,4,3,0,3,0,0,0,7,0,7,43,49,92,3,0,3,0,0,0,46,49,95,11,4,15,3,4,7,0,0,0,14,8,22
ILOC40200103,0,7,3,10,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,10,0,10,0,0,0,13,5,18,129,144,273,45,26,71,0,0,0,174,170,344,10,11,21,8,12,20,0,0,0,18,23,41,118,127,245,31,17,48,0,0,0,149,144,293,14,15,29,19,15,34,0,0,0,33,30,63
ILOC40200104,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,32,34,66,3,3,6,0,0,0,35,37,72,0,0,0,0,0,0,0,0,0,0,0,0,17,28,45,3,0,3,0,0,0,20,28,48,10,8,18,3,0,3,0,0,0,13,8,21
ILOC40200105,0,5,4,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,3,7,0,0,0,7,3,10,108,110,218,16,12,28,0,0,0,124,122,246,10,8,18,9,6,15,0,0,0,19,14,33,93,100,193,5,6,11,0,0,0,98,106,204,16,13,29,17,13,30,0,0,0,33,26,59
