region_id,OH_T_NS_DS_FUA,OH_T_NS_DS_OD_CCH,OH_T_NS_DS_OD_IH_t_SO,OH_T_NS_OD_HF_a_SO,OH_T_NS_DS_OD_Tot,OH_T_NS_DS_NS,OH_T_NS_DS_Tot,OH_Tot_DS_SHouse,OH_Tot_DS_SDRTHT,OH_Tot_DS_F_u_or_a,OH_Tot_DS_OD_CCHb,OH_Tot_DS_OD_IH_t_SO,OH_Tot_DS_OD_HF_a_to_a_s_o,OH_Tot_DS_OD_Tot,OH_Tot_DS_NS,OH_Tot_Tot,T_h_OO_DS_SH,T_h_OO_DS_SDRTHT,T_h_OO_DS_FUA,T_h_OO_DS_OD_CCH,T_h_OO_DS_OD_IH_t_SO,T_h_OO_OD_HF_a_SO,T_h_OO_DS_OD_Tot,T_h_OO_DS_NS,T_h_OO_DS_Tot,T_h_M_DS_SH,T_h_M_DS_SDRTHT,T_h_M_DS_FUA,T_h_M_DS_OD_CCH,T_h_M_DS_OD_IH_t_SO,T_h_M_OD_HF_a_SO,T_h_M_DS_OD_Tot,T_h_M_DS_NS,T_h_M_DS_Tot,T_h_RREA_DS_SH,T_h_RREA_DS_SDRTHT,T_h_RREA_DS_FUA,T_h_RREA_DS_OD_CCH,T_h_RREA_DS_OD_IH_t_SO,T_h_RREA_OD_HF_a_SO,T_h_RREA_DS_OD_Tot,T_h_RREA_DS_NS,T_h_RREA_DS_Tot,T_h_RHA_DS_SH,T_h_RHA_DS_SDRTHT,T_h_RHA_DS_FUA,T_h_RHA_DS_OD_CCH,T_h_RHA_DS_OD_IH_t_SO,T_h_RHA_OD_HF_a_SO,T_h_RHA_DS_OD_Tot,T_h_RHA_DS_NS,T_h_RHA_DS_Tot,T_h_R_PSH_DS_SH,T_h_R_PSH_DS_SDRTHT,T_h_R_PSH_DS_FUA,T_h_R_PSH_DS_OD_CCH,T_h_R_PSH_DS_OD_IH_t_SO,T_h_R_PSH_OD_HF_a_SO,T_h_R_PSH_DS_OD_Tot,T_h_R_PSH_DS_NS,T_h_R_PSH_DS_Tot,T_h_R_HCC_DS_SH,T_h_R_HCC_DS_SDRTHT,T_h_R_HCC_DS_FUA,T_h_R_HCC_DS_OD_CCH,T_h_R_HCC_DS_OD_IH_t_SO,T_h_R_HCC_OD_HF_a_SO,T_h_R_HCC_DS_OD_Tot,T_h_R_HCC_DS_NS,T_h_R_HCC_DS_Tot,T_h_R_OLT_DS_SH,T_h_R_OLT_DS_SDRTHT,T_h_R_OLT_DS_FUA,T_h_R_OLT_DS_OD_CCH,T_h_R_OLT_DS_OD_IH_t_SO,T_h_R_OLT_OD_HF_a_SO,T_h_R_OLT_DS_OD_Tot,T_h_R_OLT_DS_NS,T_h_R_OLT_DS_Tot,T_h_R_LNS_DS_SH,T_h_R_LNS_DS_SDRTHT,T_h_R_LNS_DS_FUA,T_h_R_LNS_DS_OD_CCH,T_h_R_LNS_DS_OD_IH_t_SO,T_h_R_LNS_OD_HF_a_SO,T_h_R_LNS_DS_OD_Tot,T_h_R_LNS_DS_NS,T_h_R_LNS_DS_Tot,T_h_R_Tot_DS_SH,T_h_R_Tot_DS_SDRTHT,T_h_R_Tot_DS_FUA,T_h_R_Tot_DS_OD_CCH,T_h_R_Tot_DS_OD_IH_t_SO,T_h_R_Tot_OD_HF_a_SO,T_h_R_Tot_DS_OD_Tot,T_h_R_Tot_DS_NS,T_h_R_Tot_DS_Tot,T_h_OTT_DS_SH,T_h_OTT_DS_SDRTHT,T_h_OTT_DS_FUA,T_h_OTT_DS_OD_CCH,T_h_OTT_DS_OD_IH_t_SO,T_h_OTT_OD_HF_a_SO,T_h_OTT_DS_OD_Tot,T_h_OTT_DS_NS,T_h_OTT_DS_Tot,T_h_T_NS_DS_SH,T_h_T_NS_DS_SDRTHT,T_h_T_NS_DS_FUA,T_h_T_NS_DS_OD_CCH,T_h_T_NS_DS_OD_IH_t_SO,T_h_T_NS_OD_HF_a_SO,T_h_T_NS_DS_OD_Tot,T_h_T_NS_DS_NS,T_h_T_NS_DS_Tot,T_h_Tot_DS_SH,T_h_Tot_DS_SDRTHT,T_h_Tot_DS_FUA,T_h_Tot_DS_OD_CCH,T_h_Tot_DS_OD_IH_t_SO,T_h_Tot_OD_HF_a_SO,T_h_Tot_DS_OD_Tot,T_h_Tot_DS_NS,T_h_Tot_DS_Tot
ILOC30500901,0,0,0,0,0,0,49,2345,23,58,36,0,3,39,0,2465,546,4,5,23,0,3,26,0,581,1104,6,3,3,0,0,3,0,1116,596,13,22,0,0,0,0,0,631,56,0,7,0,0,0,0,0,63,123,0,5,3,0,0,3,0,131,4,0,23,0,0,0,0,0,27,19,0,0,7,0,0,7,0,26,17,0,0,0,0,0,0,0,17,815,13,57,10,0,0,10,0,895,14,0,3,0,0,0,0,0,17,50,3,0,0,0,0,0,0,53,2529,26,68,36,0,3,39,0,2662
ILOC30500902,0,4,0,0,4,0,43,1010,8,21,14,5,0,19,0,1058,537,0,0,0,5,0,5,0,542,276,0,0,3,0,0,3,0,279,145,0,5,0,0,0,0,0,150,11,0,4,0,0,0,0,0,15,105,0,0,0,0,0,0,4,109,6,5,8,0,0,0,0,0,19,16,0,4,7,0,0,7,0,27,7,3,0,0,0,0,0,0,10,290,8,21,7,0,0,7,4,330,5,0,0,0,0,0,0,0,5,39,0,0,4,0,0,4,0,43,1147,8,21,14,5,0,19,4,1199
ILOC30500903,82,6,3,0,9,0,559,17217,756,1947,95,9,34,138,8,20066,6033,113,135,48,0,9,57,4,6342,6707,73,101,4,0,6,10,0,6891,2658,252,978,3,0,0,3,0,3891,674,65,383,0,0,0,0,0,1122,1455,78,244,4,3,10,17,4,1798,115,83,51,0,0,4,4,0,253,160,24,41,33,3,5,41,0,266,108,11,38,0,0,0,0,0,157,5170,513,1735,40,6,19,65,4,7487,90,58,23,3,0,0,3,0,174,477,38,96,6,3,0,9,0,620,18477,795,2090,101,9,34,144,8,21514
ILOC30500904,3,14,5,0,19,3,144,5530,74,70,228,38,17,283,6,5963,2220,12,10,174,11,4,189,3,2434,2397,7,12,9,6,7,22,0,2438,473,12,29,0,0,0,0,0,514,11,9,0,0,0,0,0,0,20,335,12,13,3,10,3,16,0,376,15,3,3,0,0,0,0,0,21,60,4,3,22,0,3,25,0,92,62,3,0,3,7,0,10,0,75,956,43,48,28,17,6,51,0,1098,28,12,3,3,3,0,6,0,49,121,3,3,14,5,0,19,3,149,5722,77,76,228,42,17,287,6,6168
ILOC30500905,0,0,0,0,0,0,50,1664,10,0,23,17,0,40,0,1714,710,0,0,16,3,0,19,0,729,733,10,0,3,7,0,10,0,753,42,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,127,0,0,0,4,0,4,0,131,0,0,0,0,0,0,0,0,0,27,0,0,4,0,0,4,0,31,25,0,0,3,0,0,3,0,28,221,0,0,7,4,0,11,0,232,20,0,0,0,3,0,3,0,23,53,0,0,0,0,0,0,0,53,1737,10,0,26,17,0,43,0,1790
ILOC30500906,27,6,0,0,6,0,139,4048,279,555,92,3,13,108,9,4999,1346,86,57,53,0,3,56,3,1548,1488,14,43,0,0,3,3,0,1548,823,74,220,6,0,3,9,3,1129,54,13,129,0,0,0,0,0,196,300,19,67,0,0,4,4,0,390,21,19,17,0,0,0,0,0,57,24,0,12,27,3,0,30,3,69,24,6,9,3,0,0,3,0,42,1246,131,454,36,3,7,46,6,1883,50,31,0,0,0,0,0,0,81,87,23,27,6,0,0,6,0,143,4217,285,581,95,3,13,111,9,5203
ILOC30600101,0,0,0,0,0,0,20,483,0,3,17,0,3,20,6,512,220,0,0,11,0,3,14,3,237,81,0,0,3,0,3,6,3,90,17,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,32,0,0,0,0,3,3,0,35,0,0,3,0,0,0,0,0,3,91,0,0,0,0,0,0,0,91,40,0,0,4,0,0,4,0,44,180,0,3,4,0,3,7,0,190,24,0,0,3,0,0,3,0,27,20,0,0,0,0,0,0,0,20,525,0,3,21,0,9,30,6,564
ILOC30600102,0,0,0,0,0,0,7,108,7,9,0,0,0,0,0,124,52,0,0,0,0,0,0,0,52,38,0,0,0,0,0,0,0,38,10,0,0,0,0,0,0,0,10,8,4,3,0,0,0,0,0,15,10,0,3,0,0,0,0,0,13,3,3,0,0,0,0,0,0,6,7,0,3,0,0,0,0,0,10,5,0,0,0,0,0,0,0,5,43,7,9,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,12,145,7,9,0,0,0,0,0,161
ILOC30600103,4,0,0,0,0,0,13,602,44,44,10,0,7,17,0,707,223,16,0,6,0,0,6,0,245,251,20,0,0,0,0,0,0,271,99,11,24,0,0,0,0,0,134,42,3,26,0,0,0,0,0,71,56,0,5,0,0,3,3,0,64,14,0,0,0,0,0,0,0,14,43,5,7,4,0,0,4,0,59,9,0,3,0,0,0,0,0,12,263,19,65,4,0,3,7,0,354,0,0,0,0,0,4,4,0,4,17,0,4,0,0,0,0,0,21,754,55,69,10,0,7,17,0,895
ILOC30600201,3,4,0,0,4,0,17,484,3,19,20,3,9,32,9,547,208,0,0,16,0,9,25,3,236,109,0,0,0,0,0,0,0,109,6,0,0,0,0,0,0,0,6,31,3,19,0,0,0,0,0,53,47,0,0,0,0,0,0,0,47,6,3,0,0,0,0,0,0,9,89,3,0,0,0,0,0,3,95,35,0,0,0,3,0,3,3,41,214,9,19,0,3,0,3,6,251,18,0,0,0,0,0,0,0,18,10,0,3,4,0,0,4,0,17,559,9,22,20,3,9,32,9,631
