region_id,Med_ag_pe_In_pe_h_I_p,Me_ag_ps_N_In_ps_ot_hh,Med_age_psns_Tot,Me_p_in_wk_In_ps_hh_In_p,Me_ps_in_wk_No_In_ps_ot_hh,Med_psnl_inc_wk_Tot,Me_hh_in_wk_In_ps_hh_In_ps,Me_hh_in_wk_No_In_ps_ot_hh,Med_hhd_inc_wk_Tot,Me_mo_re_mt_In_ps_hh_In_ps,Me_mo_re_mt_No_In_ps_ot_hh,Med_mort_repay_mth_Tot,Me_re_wk_In_ps_hh_Ind_psns,Me_re_wk_No_In_psns_oth_hh,Med_rent_wk_Tot,Av_N_p_pe_be_In_ps_hh_wi_In_p,Av_Nu_ps_pe_be_No_In_ps_ot_hh,Avg_Nu_psns_per_bed_Tot,Av_hh_si_In_ps_hh_wi_Ind_psns,Avg_hh_si_No_Ind_psn_othr_hhd,Avg_household_size_Tot,P_d_n_x_b_In_ps_hh_w_In_p,P_d_n_x_b_No_In_p_oth_hh,P_d_n_x_b_Tot
ILOC50701301,20,38,37,365,546,529,668,977,945,720,1213,1192,145,138,140,1.3,1.1,1.1,3.4,2.5,2.6,9.8,3.1,3.7
ILOC50701302,22,41,40,280,524,510,640,964,948,1008,1049,1040,150,146,146,1.3,1.1,1.1,3.3,2.4,2.4,10.6,1.2,1.7
ILOC50701401,15,39,38,328,529,516,700,997,980,770,1300,1300,134,190,182,1.3,1.1,1.1,3.7,2.4,2.5,12.6,1.9,2.6
ILOC50701501,19,39,39,530,593,593,1062,1099,1099,1517,1733,1733,300,255,258,1.1,1.1,1.1,2.8,2.5,2.5,0,1.9,1.9
ILOC50701502,27,46,46,425,471,470,633,864,860,975,1404,1387,160,150,150,1.2,1.1,1.1,2.6,2.3,2.3,0,1.5,1.5
ILOC50701503,19,35,35,452,655,650,1257,1573,1565,1950,1950,1950,260,300,300,1.2,1.0,1.0,3.7,2.8,2.8,5.9,0.8,1.0
ILOC50701504,18,40,39,366,566,558,971,1353,1341,1050,1600,1586,189,200,200,1.3,1.1,1.1,3.6,2.4,2.5,9.7,1.7,2.0
ILOC50701505,20,45,44,337,501,498,915,994,994,1387,1413,1413,175,190,188,1.1,1.1,1.1,3.2,2.5,2.5,6.7,2.2,2.3
ILOC50800101,25,35,32,458,1024,834,1336,1676,1595,1535,1842,1580,163,133,137,1.4,1.1,1.2,3.6,2.2,2.6,13.9,2.5,6.0
ILOC50800102,35,0,35,282,2000,286,1333,0,1333,0,0,0,55,0,55,1.7,0,1.7,5.6,0,5.6,57.9,0,57.9
ILOC50800103,22,9,21,262,250,261,722,0,722,0,2867,2867,70,0,70,1.8,0,1.8,5.4,0,5.4,46.8,0,46.8
ILOC50800201,21,35,31,392,1127,900,1111,1750,1508,4263,650,1026,170,0,50,1.5,1.1,1.2,3.5,1.9,2.5,27.9,4.9,12.5
ILOC50800202,22,36,28,128,712,307,150,700,500,0,0,0,60,200,60,1.6,1.0,1.4,3.6,2.7,3.2,60.0,0,39.1
ILOC50800203,23,34,24,269,1041,274,862,2250,900,0,0,0,35,0,35,1.5,4.0,1.6,4.2,2.0,4.1,39.1,0,37.3
ILOC50800204,24,0,24,169,0,169,433,0,433,0,0,0,35,0,35,1.4,0,1.4,4.7,0,4.7,44.1,0,44.1
ILOC50800205,22,39,23,284,1125,307,1312,974,1292,0,0,0,35,0,35,1.6,1.0,1.5,5.2,1.4,4.5,51.2,0,40.4
ILOC50800301,19,49,21,279,700,287,863,1125,890,0,0,0,30,0,30,1.7,1.0,1.6,4.9,1.0,4.7,43.1,0,41.0
ILOC50800302,22,19,22,247,0,243,660,0,660,0,0,0,30,0,30,1.3,0,1.3,4.4,3.0,4.2,29.4,0,29.4
ILOC50800303,30,49,31,282,1218,303,500,1983,566,0,1900,1900,30,0,30,1.2,1.5,1.2,3.3,1.5,3.0,23.7,0,22.0
ILOC50800304,19,0,19,236,0,236,1125,0,1125,0,0,0,50,0,50,2.0,0,2.0,6.0,0,6.0,37.5,0,37.5
ILOC50800305,30,0,30,232,0,232,250,0,250,0,0,0,50,0,50,1.0,0,1.0,5.2,0,5.2,35.7,0,35.7
ILOC50800306,24,47,24,237,1937,245,739,0,739,0,0,0,30,0,30,1.8,1.0,1.7,4.2,0,4.2,54.2,0,54.2
ILOC50800307,24,48,26,253,1268,270,1218,1583,1354,0,0,0,35,0,35,2.0,1.0,1.8,5.5,1.0,4.1,60.0,0,44.1
ILOC50800308,20,39,23,225,700,243,519,0,519,0,0,0,30,0,30,1.3,0,1.3,3.9,0,3.9,0,0,0
ILOC50800401,11,32,12,369,816,369,2166,0,2166,0,0,0,300,25,25,1.3,1.0,1.3,4.2,1.0,3.4,33.3,0,26.3
ILOC50800402,13,52,19,307,1375,364,1125,1125,1125,0,0,0,18,0,0,1.3,1.0,1.3,4.8,1.4,3.5,33.3,0,26.7
ILOC50800403,26,25,26,274,1125,276,924,0,924,0,0,0,130,0,130,1.6,0,1.6,4.7,0,4.7,45.3,0,45.3
ILOC50800404,26,32,32,309,1206,993,1042,1399,1275,3246,1000,2000,30,0,0,1.5,1.1,1.2,3.6,1.7,2.2,24.0,9.0,12.6
ILOC50800405,24,0,24,250,700,253,716,0,716,0,0,0,75,0,75,1.7,0,1.7,5.0,0,5.0,43.5,0,43.5
ILOC59499494,38,40,40,283,521,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC59799797,38,36,36,2000,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC60100101,23,42,41,365,463,458,853,845,846,1275,1278,1278,185,186,186,1.2,1.1,1.1,3.0,2.3,2.4,6.7,1.9,2.2
ILOC60100102,24,45,44,404,450,448,979,841,850,1300,1235,1243,192,180,180,1.1,1.1,1.1,2.9,2.3,2.4,3.8,1.7,1.8
ILOC60100103,25,43,42,363,458,454,1020,947,948,1560,1257,1300,175,120,125,1.2,1.1,1.1,3.5,2.5,2.6,7.8,1.9,2.2
ILOC60100201,17,43,43,263,421,413,1075,776,789,650,867,867,135,110,120,1.3,1.1,1.1,3.6,2.4,2.4,20.0,2.5,2.9
