region_id,M_15_19_Pvded_upaid_assist,M_15_19_No_upaid_assist_Pvded,M_15_19_upaid_assist_ns,M_15_19_Tot,M_20_24_Pvded_upaid_assist,M_20_24_No_upaid_assist_Pvded,M_20_24_upaid_assist_ns,M_20_24_Tot,M_25_34_Pvded_upaid_assist,M_25_34_No_upaid_assist_Pvded,M_25_34_upaid_assist_ns,M_25_34_Tot,M_35_44_Pvded_upaid_assist,M_35_44_No_upaid_assist_Pvded,M_35_44_upaid_assist_ns,M_35_44_Tot,M_45_54_Pvded_upaid_assist,M_45_54_No_upaid_assist_Pvded,M_45_54_upaid_assist_ns,M_45_54_Tot,M_55_64_Pvded_upaid_assist,M_55_64_No_upaid_assist_Pvded,M_55_64_upaid_assist_ns,M_55_64_Tot,M_65over_Pvded_upaid_assist,M_65ove_No_upaid_assist_Pvde,M_65over_upaid_assist_ns,M_65_and_over_Tot,M_TotPvded_upaid_assist,M_Tot_No_upaid_assist_Pvded,M_Tot_upaid_assist_ns,M_Tot_Tot,F_15_19_Pvded_upaid_assist,F_15_19_No_upaid_assist_Pvded,F_15_19_upaid_assist_ns,F_15_19_Tot,F_20_24_Pvded_upaid_assist,F_20_24_No_upaid_assist_Pvded,F_20_24_upaid_assist_ns,F_20_24_Tot,F_25_34_Pvded_upaid_assist,F_25_34_No_upaid_assist_Pvded,F_25_34_upaid_assist_ns,F_25_34_Tot,F_35_44_Pvded_upaid_assist,F_35_44_No_upaid_assist_Pvded,F_35_44_upaid_assist_ns,F_35_44_Tot,F_45_54_Pvded_upaid_assist,F_45_54_No_upaid_assist_Pvded,F_45_54_upaid_assist_ns,F_45_54_Tot,F_55_64_Pvded_upaid_assist,F_55_64_No_upaid_assist_Pvded,F_55_64_upaid_assist_ns,F_55_64_Tot,F_65over_Pvded_upaid_assist,F_65ove_No_upaid_assist_Pvd,F_65over_upaid_assist_ns,F_65_and_over_Tot,F_TotPvded_upaid_assist,F_Tot_No_upaid_assist_Pvded,F_Tot_upaid_assist_ns,F_Tot_Tot,P_15_19_Pvded_upaid_assist,P_15_19_No_upaid_assist_Pvded,P_15_19_upaid_assist_ns,P_15_19_Tot,P_20_24_Pvded_upaid_assist,P_20_24_No_upaid_assist_Pvded,P_20_24_upaid_assist_ns,P_20_24_Tot,P_25_34_Pvded_upaid_assist,P_25_34_No_upaid_assist_Pvded,P_25_34_upaid_assist_ns,P_25_34_Tot,P_35_44_Pvded_upaid_assist,P_35_44_No_upaid_assist_Pvded,P_35_44_upaid_assist_ns,P_35_44_Tot,P_45_54_Pvded_upaid_assist,P_45_54_No_upaid_assist_Pvded,P_45_54_upaid_assist_ns,P_45_54_Tot,P_55_64_Pvded_upaid_assist,P_55_64_No_upaid_assist_Pvded,P_55_64_upaid_assist_ns,P_55_64_Tot,P_65over_Pvded_upaid_assist,P_65ove_No_upaid_assist_Pvd,P_65over_upaid_assist_ns,P_65_and_over_Tot,P_TotPvded_upaid_assist,P_Tot_No_upaid_assist_Pvded,P_Tot_upaid_assist_ns,P_Tot_Tot
ILOC40200101,0,29,3,32,3,24,0,27,3,38,7,48,0,21,3,24,0,15,0,15,0,4,0,4,0,6,4,10,6,137,17,160,3,23,0,26,0,25,0,25,0,40,3,43,0,26,3,29,0,21,3,24,0,12,0,12,0,9,0,9,3,156,9,168,3,52,3,58,3,49,0,52,3,78,10,91,0,47,6,53,0,36,3,39,0,16,0,16,0,15,4,19,9,293,26,328
ILOC40200102,4,6,0,10,0,4,0,4,0,4,0,4,5,4,0,9,0,4,0,4,0,3,0,3,0,6,0,6,9,31,0,40,0,0,3,3,3,8,0,11,0,4,0,4,3,8,0,11,4,6,0,10,0,4,0,4,3,0,0,3,13,30,3,46,4,6,3,13,3,12,0,15,0,8,0,8,8,12,0,20,4,10,0,14,0,7,0,7,3,6,0,9,22,61,3,86
ILOC40200103,0,14,0,14,0,15,0,15,4,19,3,26,3,24,0,27,0,6,3,9,0,3,0,3,0,6,0,6,7,87,6,100,0,19,0,19,0,16,3,19,3,16,7,26,3,17,0,20,3,8,0,11,3,6,0,9,3,7,0,10,15,89,10,114,0,33,0,33,0,31,3,34,7,35,10,52,6,41,0,47,3,14,3,20,3,9,0,12,3,13,0,16,22,176,16,214
ILOC40200104,3,0,0,3,3,0,0,3,0,3,0,3,0,5,0,5,0,3,0,3,0,0,0,0,0,4,0,4,6,15,0,21,0,6,0,6,0,4,0,4,3,3,0,6,3,6,0,9,0,3,0,3,0,0,0,0,0,0,0,0,6,22,0,28,3,6,0,9,3,4,0,7,3,6,0,9,3,11,0,14,0,6,0,6,0,0,0,0,0,4,0,4,12,37,0,49
ILOC40200105,0,11,0,11,0,7,0,7,0,24,3,27,0,19,0,19,0,10,0,10,0,4,3,7,3,3,0,6,3,78,6,87,0,15,3,18,0,5,0,5,0,20,0,20,0,25,3,28,0,6,0,6,0,5,0,5,0,4,0,4,0,80,6,86,0,26,3,29,0,12,0,12,0,44,3,47,0,44,3,47,0,16,0,16,0,9,3,12,3,7,0,10,3,158,12,173
ILOC40200106,0,3,0,3,0,3,0,3,3,6,3,12,0,6,0,6,0,3,3,6,0,3,0,3,0,0,0,0,3,24,6,33,0,3,0,3,0,5,3,8,3,6,0,9,3,5,0,8,3,3,3,9,0,0,0,0,0,3,0,3,9,25,6,40,0,6,0,6,0,8,3,11,6,12,3,21,3,11,0,14,3,6,6,15,0,3,0,3,0,3,0,3,12,49,12,73
ILOC40200107,3,8,0,11,0,19,0,19,8,18,0,26,3,16,0,19,0,8,0,8,0,5,0,5,0,3,0,3,14,77,0,91,0,19,0,19,3,20,0,23,5,7,3,15,0,14,0,14,3,11,0,14,0,3,0,3,0,3,0,3,11,77,3,91,3,27,0,30,3,39,0,42,13,25,3,41,3,30,0,33,3,19,0,22,0,8,0,8,0,6,0,6,25,154,3,182
ILOC40200108,0,0,0,0,0,5,0,5,0,4,0,4,3,5,0,8,0,3,0,3,0,0,0,0,0,3,0,3,3,20,0,23,0,4,0,4,4,5,0,9,0,11,0,11,0,6,0,6,0,3,0,3,0,3,0,3,0,3,0,3,4,35,0,39,0,4,0,4,4,10,0,14,0,15,0,15,3,11,0,14,0,6,0,6,0,3,0,3,0,6,0,6,7,55,0,62
ILOC40200109,4,22,0,26,5,16,0,21,8,41,3,52,3,15,0,18,3,18,0,21,0,3,0,3,4,6,0,10,27,121,3,151,0,18,0,18,3,18,3,24,15,30,4,49,6,18,0,24,3,10,0,13,3,11,0,14,3,10,0,13,33,115,7,155,4,40,0,44,8,34,3,45,23,71,7,101,9,33,0,42,6,28,0,34,3,14,0,17,7,16,0,23,60,236,10,306
ILOC40200110,0,0,0,0,0,0,0,0,3,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,7,0,10,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,3,0,5,0,5,0,3,0,3,0,0,0,0,3,11,0,14,0,0,0,0,0,0,0,0,3,6,0,9,3,0,0,3,0,5,0,5,0,3,0,3,0,4,0,4,6,18,0,24
