region_id,HYSC_Y10_e_No_In_F,HYSC_Y10_e_No_In_P,HYSC_Y10_e_In_s_nsM,HYSC_Y10_e_In_s_nsF,HYSC_Y10_e_In_s_nsP,HYSC_Y10_e_TotM,HYSC_Y10_e_TotF,HYSC_Y10_e_TotP,HYSC_Y9_e_Ind_M,HYSC_Y9_e_Ind_F,HYSC_Y9_e_Ind_P,HYSC_Y9_e_No_In_M,HYSC_Y9_e_No_In_F,HYSC_Y9_e_No_In_P,HYSC_Y9_e_In_st_nsM,HYSC_Y9_e_In_st_nsF,HYSC_Y9_e_In_st_nsP,HYSC_Y9_e_TotM,HYSC_Y9_e_TotF,HYSC_Y9_e_TotP,HYSC_Y8_bel_Ind_M,HYSC_Y8_bel_Ind_F,HYSC_Y8_bel_Ind_P,HYSC_Y8_bel_No_Ind_M,HYSC_Y8_bel_No_Ind_F,HYSC_Y8_bel_No_Ind_P,HYSC_Y8_be_In_st_nsM,HYSC_Y8_be_In_st_nsF,HYSC_Y8_be_In_st_nsP,HYSC_Y8_bel_TotM,HYSC_Y8_bel_TotF,HYSC_Y8_bel_TotP,HYSC_Dng_to_sc_Ind_M,HYSC_Dng_to_sc_Ind_F,HYSC_Dng_to_sc_Ind_P,HYSC_Dng_to_sc_No_In_M,HYSC_Dng_to_sc_No_In_F,HYSC_Dng_to_sc_No_In_P,HYSC_Dng_sc_In_st_nsM,HYSC_Dng_sc_In_st_nsF,HYSC_Dng_sc_In_st_nsP,HYSC_Dng_to_sc_TotM,HYSC_Dng_to_sc_TotF,HYSC_Dng_to_sc_TotP,tpe_ur_occ_pvte_dwg_Sh_Indi_M,tpe_ur_occ_pvte_dwg_Sh_Indi_F,tpe_ur_occ_pvte_dwg_Sh_Indi_P,tpe_ur_occ_pte_dw_Sh_No_Ind_M,tpe_ur_occ_pte_dw_Sh_No_Ind_F,tpe_ur_occ_pte_dw_Sh_No_Ind_P,t_ur_occ_pte_dw_Sh_In_st_nsM,t_ur_occ_pte_dw_Sh_In_st_nsF,t_ur_occ_pte_dw_Sh_In_st_nsP,tpe_ur_occ_pvte_dwg_Sh_TotM,tpe_ur_occ_pvte_dwg_Sh_TotF,tpe_ur_occ_pvte_dwg_Sh_TotP,t_ur_oc_p_dw_im_h_t_s_o_In_M,t_ur_oc_p_dw_im_h_t_s_o_In_F,t_ur_oc_p_dw_im_h_t_s_o_In_P,T_ur_o_pr_d_I_h_t_s_o_No_In_M,T_ur_o_pr_d_I_h_t_s_o_No_In_F,T_ur_o_pr_d_I_h_t_s_o_No_In_P,t_ur_o_p_d_I_h_t_s_o_i_s_nsM,t_ur_o_p_d_I_h_t_s_o_i_s_nsF,t_ur_o_p_d_I_h_t_s_o_i_s_nsP,t_ur_o_p_d_I_h_t_s_o_TotM,t_ur_o_p_d_I_h_t_s_o_TotF,t_ur_o_p_d_I_h_t_s_o_TotP,ty_ur_oc_p_dw_Ot_p_dw_In_M,ty_ur_oc_p_dw_Ot_p_dw_In_F,ty_ur_oc_p_dw_Ot_p_dw_In_P,ty_ur_o_pr_d_Ot_pr_d_No_In_M,ty_ur_o_pr_d_Ot_pr_d_No_In_F,ty_ur_o_pr_d_Ot_pr_d_No_In_P,ty_ur_o_p_d_O_p_d_In_st_nsM,ty_ur_o_p_d_O_p_d_In_st_nsF,ty_ur_o_p_d_O_p_d_In_st_nsP,ty_ur_oc_pr_dw_Ot_pr_dw_TotM,ty_ur_oc_pr_dw_Ot_pr_dw_TotF,ty_ur_oc_pr_dw_Ot_pr_dw_TotP,ty_ur_occ_pri_dw_Tot_Ind_M,ty_ur_occ_pri_dw_Tot_Ind_F,ty_ur_occ_pri_dw_Tot_Ind_P,ty_ur_occ_pri_dw_Tot_No_Ind_M,ty_ur_occ_pri_dw_Tot_No_Ind_F,ty_ur_occ_pri_dw_Tot_No_Ind_P,ty_ur_oc_pr_dw_Tot_In_st_nsM,ty_ur_oc_pr_dw_Tot_In_st_nsF,ty_ur_oc_pr_dw_Tot_In_st_nsP,ty_ur_occ_pri_dw_Tot_TotM,ty_ur_occ_pri_dw_Tot_TotF,ty_ur_occ_pri_dw_Tot_TotP,ty_ur_Non_pri_dw_Ind_M,ty_ur_Non_pri_dw_Ind_F,ty_ur_Non_pri_dw_Ind_P,ty_ur_Non_pri_dw_NonInd_M,ty_ur_Non_pri_dw_NonInd_F,ty_ur_Non_pri_dw_NonInd_P,ty_ur_Non_pri_dw_IndSt_nsM,ty_ur_Non_pri_dw_IndSt_nsF,ty_ur_Non_pri_dw_IndSt_nsP,tpe_ur_Non_pvte_dwg_TotM,tpe_ur_Non_pvte_dwg_TotF,tpe_ur_Non_pvte_dwg_TotP
ILOC70500306,22,43,0,0,0,24,25,49,0,3,3,9,5,14,0,0,0,9,8,17,5,0,5,6,0,6,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,30,36,66,35,35,70,0,0,0,65,71,136,7,5,12,0,0,0,0,0,0,7,5,12,0,0,0,20,27,47,0,0,0,20,27,47,37,41,78,55,62,117,0,0,0,92,103,195,0,0,0,7,7,14,0,0,0,7,7,14
ILOC70500307,0,0,0,0,0,45,46,91,37,25,62,0,0,0,0,0,0,37,25,62,44,27,71,0,0,0,0,0,0,44,27,71,18,7,25,0,0,0,0,0,0,18,7,25,231,224,455,7,8,15,0,0,0,238,232,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,224,455,7,8,15,0,0,0,238,232,470,8,4,12,0,0,0,0,0,0,8,4,12
ILOC70500401,16,60,0,0,0,59,39,98,12,8,20,18,4,22,0,0,0,30,12,42,13,10,23,5,3,8,0,0,0,18,13,31,12,3,15,0,0,0,0,0,0,12,3,15,123,111,234,57,39,96,3,3,6,183,153,336,0,0,0,0,0,0,0,0,0,0,0,0,6,12,18,27,24,51,0,0,0,33,36,69,129,123,252,84,63,147,3,3,6,216,189,405,9,0,9,21,4,25,5,0,5,35,4,39
ILOC70500402,0,4,0,0,0,35,27,62,15,14,29,0,0,0,0,0,0,15,14,29,21,16,37,0,0,0,3,0,3,24,16,40,14,8,22,0,0,0,0,0,0,14,8,22,199,221,420,15,13,28,0,3,3,214,237,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,221,420,15,13,28,0,3,3,214,237,451,0,0,0,0,0,0,0,0,0,0,0,0
ILOC70500403,3,3,0,0,0,8,9,17,3,6,9,0,0,0,0,0,0,3,6,9,4,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,43,45,88,4,0,4,0,0,0,47,45,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,43,45,88,4,3,7,0,0,0,47,48,95,0,0,0,0,0,0,0,0,0,0,0,0
ILOC70500404,0,3,0,0,0,25,16,41,12,14,26,0,3,3,0,0,0,12,17,29,20,11,31,0,0,0,0,0,0,20,11,31,4,0,4,0,0,0,0,0,0,4,0,4,91,96,187,4,3,7,0,0,0,95,99,194,4,3,7,0,0,0,0,0,0,4,3,7,10,16,26,4,0,4,0,0,0,14,16,30,105,115,220,8,3,11,0,0,0,113,118,231,0,0,0,0,5,5,0,0,0,0,5,5
ILOC70500405,0,8,0,0,0,8,0,8,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,17,27,3,6,9,0,0,0,13,23,36,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,0,9,0,0,0,9,3,12,10,20,30,12,6,18,0,0,0,22,26,48,0,0,0,0,0,0,3,0,3,3,0,3
ILOC70500501,0,0,0,0,0,6,14,20,21,19,40,0,0,0,0,0,0,21,19,40,20,22,42,0,0,0,0,0,0,20,22,42,12,7,19,0,0,0,0,0,0,12,7,19,75,63,138,0,0,0,0,3,3,75,66,141,0,0,0,0,0,0,0,0,0,0,0,0,27,33,60,3,0,3,0,0,0,30,33,63,102,96,198,3,0,3,0,3,3,105,99,204,0,0,0,0,0,0,0,0,0,0,0,0
ILOC70500502,509,1140,12,7,19,767,680,1447,66,76,142,158,125,283,4,0,4,228,201,429,69,87,156,128,66,194,3,0,3,200,153,353,28,15,43,6,5,11,0,0,0,34,20,54,503,546,1049,2185,2229,4414,221,198,419,2909,2973,5882,20,16,36,10,5,15,5,3,8,35,24,59,138,191,329,453,376,829,142,113,255,733,680,1413,661,753,1414,2648,2610,5258,368,314,682,3677,3677,7354,48,59,107,180,89,269,34,22,56,262,170,432
ILOC70500503,0,0,0,0,0,18,21,39,14,6,20,0,0,0,0,0,0,14,6,20,63,62,125,0,0,0,0,0,0,63,62,125,5,5,10,0,0,0,0,0,0,5,5,10,94,110,204,4,0,4,0,0,0,98,110,208,20,17,37,0,0,0,0,0,0,20,17,37,5,3,8,0,0,0,0,0,0,5,3,8,119,130,249,4,0,4,0,0,0,123,130,253,10,9,19,0,0,0,0,0,0,10,9,19
