region_id,M_Y12_equivalent_Indigenous,M_Y12_equivalent_Non_Indig,M_Y12_equiv_IndigStat_ns,M_Y12_equivalent_Tot,M_Y11_equivalent_Indigenous,M_Y11_equiv_Non_Indig,M_Y11_equiv_IndigStat_ns,M_Y11_equivalent_Tot,M_Y10_equivalent_Indigenous,M_Y10_equiv_Non_Indig,M_Y10_equiv_IndigStat_ns,M_Y10_equivalent_Tot,M_Y9_equivalent_Indigenous,M_Y9_equiv_Non_Indig,M_Y9_equiv_IndigStat_ns,M_Y9_equivalent_Tot,M_Y8_below_Indigenous,M_Y8_below_Non_Indig,M_Y8_below_IndigStat_ns,M_Y8_below_Tot,M_Did_not_go_to_school_Indig,M_Did_not_go_to_sch_Non_Indig,M_Di_no_go_to_sch_IndSt_ns,M_Did_not_go_to_school_Tot,M_Highest_yr_school_ns_Indig,M_Highest_yr_sch_ns_Non_Indig,M_Highe_yr_sch_ns_IndSt_ns,M_Highest_yr_school_ns_Tot,M_Tot_Indigenous,M_Tot_Non_Indigenous,M_Tot_IndigStat_ns,M_Tot_Tot,F_Y12_equivalent_Indigenous,F_Y12_equivalent_Non_Indig,F_Y12_equiv_IndigStat_ns,F_Y12_equivalent_Tot,F_Y11_equivalent_Indigenous,F_Y11_equiv_Non_Indig,F_Y11_equiv_IndigStat_ns,F_Y11_equivalent_Tot,F_Y10_equivalent_Indigenous,F_Y10_equiv_Non_Indig,F_Y10_equiv_IndigStat_ns,F_Y10_equivalent_Tot,F_Y9_equivalent_Indigenous,F_Y9_equiv_Non_Indig,F_Y9_equiv_IndigStat_ns,F_Y9_equivalent_Tot,F_Y8_below_Indigenous,F_Y8_below_Non_Indig,F_Y8_below_IndigStat_ns,F_Y8_below_Tot,F_Did_not_go_to_school_Indig,F_Did_not_go_to_sch_Non_Indig,F_Di_no_go_to_sch_IndSt_ns,F_Did_not_go_to_school_Tot,F_Highest_yr_school_ns_Indig,F_Highest_yr_sch_ns_Non_Indig,F_Highe_yr_sch_ns_IndSt_ns,F_Highest_yr_school_ns_Tot,F_Tot_Indigenous,F_Tot_Non_Indigenous,F_Tot_IndigStat_ns,F_Tot_Tot,P_Y12_equivalent_Indigenous,P_Y12_equivalent_Non_Indig,P_Y12_equiv_IndigStat_ns,P_Y12_equivalent_Tot,P_Y11_equivalent_Indigenous,P_Y11_equiv_Non_Indig,P_Y11_equiv_IndigStat_ns,P_Y11_equivalent_Tot,P_Y10_equivalent_Indigenous,P_Y10_equiv_Non_Indig,P_Y10_equiv_IndigStat_ns,P_Y10_equivalent_Tot,P_Y9_equivalent_Indigenous,P_Y9_equiv_Non_Indig,P_Y9_equiv_IndigStat_ns,P_Y9_equivalent_Tot,P_Y8_below_Indigenous,P_Y8_below_Non_Indig,P_Y8_below_IndigStat_ns,P_Y8_below_Tot,P_Did_not_go_to_school_Indig,P_Did_not_go_to_sch_Non_Indig,P_Di_no_go_to_sch_IndSt_ns,P_Did_not_go_to_school_Tot,P_Highest_yr_school_ns_Indig,P_Highest_yr_sch_ns_Non_Indig,P_Highe_yr_sch_ns_IndSt_ns,P_Highest_yr_school_ns_Tot,P_Tot_Indigenous,P_Tot_Non_Indigenous,P_Tot_IndigStat_ns,P_Tot_Tot
ILOC40101301,0,48,3,51,3,59,0,62,9,89,0,98,0,19,0,19,3,43,0,46,0,0,0,0,3,13,71,87,18,271,74,363,9,81,0,90,10,63,3,76,7,53,0,60,3,29,0,32,6,53,0,59,0,0,0,0,3,20,58,81,38,299,61,398,9,129,3,141,13,122,3,138,16,142,0,158,3,48,0,51,9,96,0,105,0,0,0,0,6,33,129,168,56,570,135,761
ILOC40101302,16,732,7,755,10,651,4,665,23,699,4,726,7,284,4,295,10,346,10,366,3,11,3,17,4,119,123,246,73,2842,155,3070,15,923,7,945,7,535,8,550,9,567,4,580,7,198,5,210,7,277,5,289,0,16,0,16,4,108,80,192,49,2624,109,2782,31,1655,14,1700,17,1186,12,1215,32,1266,8,1306,14,482,9,505,17,623,15,655,3,27,3,33,8,227,203,438,122,5466,264,5852
ILOC40101303,3,0,0,3,7,0,0,7,6,3,0,9,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,21,3,0,24,5,3,0,8,4,0,0,4,10,0,0,10,7,0,0,7,3,0,0,3,0,0,0,0,4,0,0,4,33,3,0,36,8,3,0,11,11,0,0,11,16,3,0,19,12,0,0,12,3,0,0,3,0,0,0,0,4,0,0,4,54,6,0,60
ILOC40101401,79,15196,99,15374,66,8071,41,8178,70,6860,53,6983,27,1919,20,1966,18,1409,16,1443,3,73,3,79,33,1118,832,1983,296,34646,1064,36006,96,16788,113,16997,69,7690,36,7795,83,7192,46,7321,20,1923,24,1967,19,1657,27,1703,0,96,0,96,31,1438,779,2248,318,36784,1025,38127,175,31984,212,32371,135,15761,77,15973,153,14052,99,14304,47,3842,44,3933,37,3066,43,3146,3,169,3,175,64,2556,1611,4231,614,71430,2089,74133
ILOC40101402,30,2293,20,2343,32,1476,8,1516,32,1524,15,1571,7,483,8,498,6,404,13,423,0,30,3,33,9,369,311,689,116,6579,378,7073,45,2649,19,2713,29,1316,14,1359,35,1528,15,1578,11,510,4,525,10,464,10,484,4,25,0,29,16,494,227,737,150,6986,289,7425,75,4942,39,5056,61,2792,22,2875,67,3052,30,3149,18,993,12,1023,16,868,23,907,4,55,3,62,25,863,538,1426,266,13565,667,14498
ILOC40101403,43,6406,38,6487,21,3612,32,3665,28,3328,22,3378,8,860,8,876,8,699,9,716,5,38,0,43,4,501,616,1121,117,15444,725,16286,57,7750,48,7855,32,3436,19,3487,27,3336,28,3391,8,819,13,840,6,642,12,660,0,34,0,34,4,594,554,1152,134,16611,674,17419,100,14156,86,14342,53,7048,51,7152,55,6664,50,6769,16,1679,21,1716,14,1341,21,1376,5,72,0,77,8,1095,1170,2273,251,32055,1399,33705
ILOC40101501,27,1412,14,1453,24,1153,12,1189,41,1193,14,1248,14,502,9,525,28,366,8,402,3,38,3,44,20,287,288,595,157,4951,348,5456,50,1760,15,1825,46,1132,8,1186,60,1194,11,1265,17,432,5,454,10,386,19,415,0,66,3,69,18,313,266,597,201,5283,327,5811,77,3172,29,3278,70,2285,20,2375,101,2387,25,2513,31,934,14,979,38,752,27,817,3,104,6,113,38,600,554,1192,358,10234,675,11267
ILOC40101502,27,3208,15,3250,20,2216,22,2258,24,2009,16,2049,11,499,5,515,7,367,5,379,0,23,0,23,13,265,215,493,102,8587,278,8967,39,3630,28,3697,28,1972,14,2014,38,1960,13,2011,11,556,4,571,0,399,11,410,0,36,3,39,8,289,200,497,124,8842,273,9239,66,6838,43,6947,48,4188,36,4272,62,3969,29,4060,22,1055,9,1086,7,766,16,789,0,59,3,62,21,554,415,990,226,17429,551,18206
ILOC40101503,49,2352,18,2419,43,1773,19,1835,57,2065,30,2152,40,804,14,858,34,767,13,814,4,112,6,122,33,644,443,1120,260,8517,543,9320,52,2568,28,2648,60,1748,21,1829,73,2157,25,2255,30,883,11,924,31,889,17,937,3,151,3,157,36,771,394,1201,285,9167,499,9951,101,4920,46,5067,103,3521,40,3664,130,4222,55,4407,70,1687,25,1782,65,1656,30,1751,7,263,9,279,69,1415,837,2321,545,17684,1042,19271
ILOC40101504,16,1377,8,1401,14,1036,10,1060,6,1023,17,1046,6,363,8,377,5,351,5,361,0,74,3,77,3,169,205,377,50,4393,256,4699,14,1746,19,1779,13,870,5,888,11,922,9,942,6,290,4,300,5,316,3,324,0,77,6,83,8,172,179,359,57,4393,225,4675,30,3123,27,3180,27,1906,15,1948,17,1945,26,1988,12,653,12,677,10,667,8,685,0,151,9,160,11,341,384,736,107,8786,481,9374
