region_id,Age_0_Indig_M,Age_0_Indig_F,Age_0_Indig_P,Age_0_NonInd_M,Age_0_NonInd_F,Age_0_NonInd_P,Age_0_IndigStat_nsM,Age_0_IndigStat_nsF,Age_0_IndigStat_nsP,Age_0_TotM,Age_0_TotF,Age_0_TotP,Age_1_Indig_M,Age_1_Indig_F,Age_1_Indig_P,Age_1_NonInd_M,Age_1_NonInd_F,Age_1_NonInd_P,Age_1_IndigStat_nsM,Age_1_IndigStat_nsF,Age_1_IndigStat_nsP,Age_1_TotM,Age_1_TotF,Age_1_TotP,Age_2_Indig_M,Age_2_Indig_F,Age_2_Indig_P,Age_2_NonInd_M,Age_2_NonInd_F,Age_2_NonInd_P,Age_2_IndigStat_nsM,Age_2_IndigStat_nsF,Age_2_IndigStat_nsP,Age_2_TotM,Age_2_TotF,Age_2_TotP,Age_3_Indig_M,Age_3_Indig_F,Age_3_Indig_P,Age_3_NonInd_M,Age_3_NonInd_F,Age_3_NonInd_P,Age_3_IndigStat_nsM,Age_3_IndigStat_nsF,Age_3_IndigStat_nsP,Age_3_TotM,Age_3_TotF,Age_3_TotP,Age_4_Indig_M,Age_4_Indig_F,Age_4_Indig_P,Age_4_NonInd_M,Age_4_NonInd_F,Age_4_NonInd_P,Age_4_IndigStat_nsM,Age_4_IndigStat_nsF,Age_4_IndigStat_nsP,Age_4_TotM,Age_4_TotF,Age_4_TotP,Age_0_4_Indig_M,Age_0_4_Indig_F,Age_0_4_Indig_P,Age_0_4_NonInd_M,Age_0_4_NonInd_F,Age_0_4_NonInd_P,Age_0_4_Indig_st_nsM,Age_0_4_Indig_st_nsF,Age_0_4_Indig_st_nsP,Age_0_4_TotM,Age_0_4_TotF,Age_0_4_TotP,Age_5_Indig_M,Age_5_Indig_F,Age_5_Indig_P,Age_5_NonInd_M,Age_5_NonInd_F,Age_5_NonInd_P,Age_5_IndigStat_nsM,Age_5_IndigStat_nsF,Age_5_IndigStat_nsP,Age_5_TotM,Age_5_TotF,Age_5_TotP,Age_6_Indig_M,Age_6_Indig_F,Age_6_Indig_P,Age_6_NonInd_M,Age_6_NonInd_F,Age_6_NonInd_P,Age_6_IndigStat_nsM,Age_6_IndigStat_nsF,Age_6_IndigStat_nsP,Age_6_TotM,Age_6_TotF,Age_6_TotP,Age_7_Indig_M,Age_7_Indig_F,Age_7_Indig_P,Age_7_NonInd_M,Age_7_NonInd_F,Age_7_NonInd_P,Age_7_IndigStat_nsM,Age_7_IndigStat_nsF,Age_7_IndigStat_nsP,Age_7_TotM,Age_7_TotF,Age_7_TotP,Age_8_Indig_M,Age_8_Indig_F,Age_8_Indig_P,Age_8_NonInd_M,Age_8_NonInd_F,Age_8_NonInd_P,Age_8_IndigStat_nsM,Age_8_IndigStat_nsF,Age_8_IndigStat_nsP,Age_8_TotM,Age_8_TotF,Age_8_TotP,Age_9_Indig_M,Age_9_Indig_F,Age_9_Indig_P,Age_9_NonInd_M,Age_9_NonInd_F,Age_9_NonInd_P,Age_9_IndigStat_nsM,Age_9_IndigStat_nsF,Age_9_IndigStat_nsP,Age_9_TotM,Age_9_TotF,Age_9_TotP,Age_5_9_Indig_M,Age_5_9_Indig_F,Age_5_9_Indig_P,Age_5_9_NonInd_M,Age_5_9_NonInd_F,Age_5_9_NonInd_P,Age_5_9_Ind_status_nsM,Age_5_9_Ind_status_nsF,Age_5_9_Ind_status_nsP,Age_5_9_TotM,Age_5_9_TotF,Age_5_9_TotP,Age_10_Indig_M,Age_10_Indig_F,Age_10_Indig_P,Age_10_NonInd_M,Age_10_NonInd_F,Age_10_NonInd_P,Age_10_Indig_st_nsM,Age_10_Indig_st_nsF,Age_10_Indig_st_nsP,Age_10_TotM,Age_10_TotF,Age_10_TotP,Age_11_Indig_M,Age_11_Indig_F,Age_11_Indig_P,Age_11_NonInd_M,Age_11_NonInd_F,Age_11_NonInd_P,Age_11_Indig_st_nsM,Age_11_Indig_st_nsF,Age_11_Indig_st_nsP,Age_11_TotM,Age_11_TotF,Age_11_TotP,Age_12_Indig_M,Age_12_Indig_F,Age_12_Indig_P,Age_12_NonInd_M,Age_12_NonInd_F,Age_12_NonInd_P,Age_12_IndigStat_nsM,Age_12_IndigStat_nsF,Age_12_IndigStat_nsP,Age_12_TotM,Age_12_TotF,Age_12_TotP,Age_13_Indig_M,Age_13_Indig_F,Age_13_Indig_P,Age_13_NonInd_M,Age_13_NonInd_F,Age_13_NonInd_P,Age_13_IndSt_nsM,Age_13_IndSt_nsF,Age_13_IndSt_nsP,Age_13_TotM,Age_13_TotF,Age_13_TotP,Age_14_Indig_M,Age_14_Indig_F,Age_14_Indig_P,Age_14_NonInd_M,Age_14_NonInd_F,Age_14_NonInd_P,Age_14_IndSt_nsM,Age_14_IndSt_nsF
IREG101,147,151,298,447,427,874,38,26,64,632,604,1236,149,171,320,462,466,928,26,23,49,637,660,1297,169,155,324,477,479,956,32,23,55,678,657,1335,153,150,303,493,424,917,41,28,69,687,602,1289,175,163,338,529,435,964,28,27,55,732,625,1357,793,790,1583,2408,2231,4639,165,127,292,3366,3148,6514,134,135,269,474,468,942,35,28,63,643,631,1274,163,126,289,430,427,857,21,29,50,614,582,1196,136,124,260,451,464,915,28,28,56,615,616,1231,153,125,278,472,467,939,33,22,55,658,614,1272,135,109,244,446,447,893,33,23,56,614,579,1193,721,619,1340,2273,2273,4546,150,130,280,3144,3022,6166,145,151,296,533,470,1003,39,20,59,717,641,1358,126,143,269,475,500,975,37,31,68,638,674,1312,152,138,290,429,492,921,34,27,61,615,657,1272,147,123,270,521,396,917,33,21,54,701,540,1241,156,154,310,440,476,916,35,31
IREG102,254,208,462,1093,1076,2169,61,67,128,1408,1351,2759,231,220,451,1151,1086,2237,62,84,146,1444,1390,2834,188,235,423,1150,1103,2253,77,73,150,1415,1411,2826,244,231,475,1142,1127,2269,81,63,144,1467,1421,2888,251,232,483,1230,1154,2384,79,66,145,1560,1452,3012,1168,1126,2294,5766,5546,11312,360,353,713,7294,7025,14319,227,206,433,1255,1129,2384,67,70,137,1549,1405,2954,219,225,444,1111,1084,2195,65,66,131,1395,1375,2770,216,202,418,1177,1073,2250,79,77,156,1472,1352,2824,188,215,403,1153,1124,2277,55,64,119,1396,1403,2799,201,196,397,1174,1121,2295,79,84,163,1454,1401,2855,1051,1044,2095,5870,5531,11401,345,361,706,7266,6936,14202,192,197,389,1165,1091,2256,79,66,145,1436,1354,2790,202,187,389,1189,1128,2317,68,78,146,1459,1393,2852,222,217,439,1193,1077,2270,81,78,159,1496,1372,2868,228,230,458,1255,1124,2379,74,86,160,1557,1440,2997,211,215,426,1242,1087,2329,84,77
IREG103,71,80,151,173,163,336,22,22,44,266,265,531,91,97,188,173,192,365,23,19,42,287,308,595,85,100,185,192,166,358,33,24,57,310,290,600,77,86,163,171,169,340,15,24,39,263,279,542,80,97,177,183,180,363,16,25,41,279,302,581,404,460,864,892,870,1762,109,114,223,1405,1444,2849,99,109,208,188,175,363,25,15,40,312,299,611,101,76,177,166,156,322,20,15,35,287,247,534,78,75,153,188,176,364,22,27,49,288,278,566,81,82,163,174,156,330,23,12,35,278,250,528,82,110,192,205,161,366,30,24,54,317,295,612,441,452,893,921,824,1745,120,93,213,1482,1369,2851,88,79,167,189,174,363,20,16,36,297,269,566,102,71,173,167,160,327,26,15,41,295,246,541,78,96,174,165,167,332,22,24,46,265,287,552,69,82,151,168,128,296,27,13,40,264,223,487,95,65,160,145,156,301,16,15
IREG104,633,598,1231,7565,7000,14565,343,338,681,8541,7936,16477,665,602,1267,7688,7394,15082,343,346,689,8696,8342,17038,715,641,1356,8055,7482,15537,380,360,740,9150,8483,17633,661,610,1271,8075,7759,15834,371,385,756,9107,8754,17861,701,693,1394,8326,7941,16267,380,361,741,9407,8995,18402,3375,3144,6519,39709,37576,77285,1817,1790,3607,44901,42510,87411,697,607,1304,8257,7831,16088,382,370,752,9336,8808,18144,667,657,1324,8075,7503,15578,380,393,773,9122,8553,17675,625,631,1256,7815,7427,15242,345,330,675,8785,8388,17173,599,651,1250,7970,7585,15555,376,381,757,8945,8617,17562,678,616,1294,8026,7544,15570,388,374,762,9092,8534,17626,3266,3162,6428,40143,37890,78033,1871,1848,3719,45280,42900,88180,661,641,1302,8290,7951,16241,436,399,835,9387,8991,18378,636,657,1293,8458,8070,16528,451,420,871,9545,9147,18692,665,648,1313,8460,8242,16702,436,430,866,9561,9320,18881,682,656,1338,8492,8349,16841,440,354,794,9614,9359,18973,685,671,1356,8805,8258,17063,393,384
IREG105,244,253,497,2574,2474,5048,144,128,272,2962,2855,5817,294,273,567,2703,2589,5292,150,140,290,3147,3002,6149,260,261,521,2801,2672,5473,162,157,319,3223,3090,6313,239,278,517,2820,2666,5486,173,146,319,3232,3090,6322,268,280,548,2917,2805,5722,157,160,317,3342,3245,6587,1305,1345,2650,13815,13206,27021,786,731,1517,15906,15282,31188,272,254,526,2786,2645,5431,162,155,317,3220,3054,6274,241,281,522,2815,2665,5480,150,145,295,3206,3091,6297,248,214,462,2817,2520,5337,158,139,297,3223,2873,6096,226,225,451,2766,2648,5414,136,138,274,3128,3011,6139,203,237,440,2745,2610,5355,150,145,295,3098,2992,6090,1190,1211,2401,13929,13088,27017,756,722,1478,15875,15021,30896,286,245,531,2893,2661,5554,154,147,301,3333,3053,6386,257,251,508,2798,2722,5520,161,133,294,3216,3106,6322,264,250,514,2856,2775,5631,163,160,323,3283,3185,6468,277,245,522,2990,2808,5798,169,122,291,3436,3175,6611,264,235,499,3039,2782,5821,159,141
IREG106,115,147,262,1662,1469,3131,92,99,191,1869,1715,3584,144,142,286,1687,1605,3292,93,97,190,1924,1844,3768,127,128,255,1757,1667,3424,113,104,217,1997,1899,3896,111,141,252,1836,1723,3559,110,102,212,2057,1966,4023,147,141,288,1854,1756,3610,97,109,206,2098,2006,4104,644,699,1343,8796,8220,17016,505,511,1016,9945,9430,19375,132,154,286,1847,1668,3515,99,106,205,2078,1928,4006,158,121,279,1800,1703,3503,107,77,184,2065,1901,3966,125,136,261,1773,1671,3444,113,122,235,2011,1929,3940,147,109,256,1766,1651,3417,98,102,200,2011,1862,3873,141,127,268,1835,1770,3605,110,97,207,2086,1994,4080,703,647,1350,9021,8463,17484,527,504,1031,10251,9614,19865,110,138,248,1941,1869,3810,111,121,232,2162,2128,4290,130,146,276,1953,1883,3836,123,123,246,2206,2152,4358,139,135,274,2062,1954,4016,112,134,246,2313,2223,4536,147,135,282,1910,2037,3947,107,95,202,2164,2267,4431,157,124,281,2049,1983,4032,105,95
IREG107,591,557,1148,27806,26454,54260,1759,1601,3360,30156,28612,58768,604,606,1210,28845,27408,56253,1747,1613,3360,31196,29627,60823,641,568,1209,27915,26676,54591,1571,1481,3052,30127,28725,58852,602,601,1203,28171,26798,54969,1614,1467,3081,30387,28866,59253,678,622,1300,28117,26495,54612,1555,1364,2919,30350,28481,58831,3116,2954,6070,140854,133831,274685,8246,7526,15772,152216,144311,296527,660,600,1260,27136,25698,52834,1519,1393,2912,29315,27691,57006,592,533,1125,26528,24790,51318,1454,1273,2727,28574,26596,55170,628,498,1126,25763,24264,50027,1393,1300,2693,27784,26062,53846,603,557,1160,25703,24181,49884,1371,1320,2691,27677,26058,53735,632,535,1167,24852,23766,48618,1380,1201,2581,26864,25502,52366,3115,2723,5838,129982,122699,252681,7117,6487,13604,140214,131909,272123,610,512,1122,25507,23988,49495,1366,1235,2601,27483,25735,53218,587,551,1138,25637,24305,49942,1359,1293,2652,27583,26149,53732,630,580,1210,25437,23869,49306,1376,1188,2564,27443,25637,53080,624,557,1181,25308,23916,49224,1278,1182,2460,27210,25655,52865,601,596,1197,25653,24408,50061,1370,1144
IREG194,10,16,26,55,35,90,3,4,7,68,55,123,9,9,18,46,38,84,3,5,8,58,52,110,7,7,14,46,33,79,7,5,12,60,45,105,8,8,16,47,37,84,3,3,6,58,48,106,6,9,15,46,38,84,7,3,10,59,50,109,40,49,89,240,181,421,23,20,43,303,250,553,10,7,17,31,24,55,3,4,7,44,35,79,4,4,8,23,23,46,0,4,4,27,31,58,0,4,4,29,29,58,7,3,10,36,36,72,9,0,9,23,23,46,0,0,0,32,23,55,3,3,6,25,17,42,3,3,6,31,23,54,26,18,44,131,116,247,13,14,27,170,148,318,5,3,8,28,31,59,10,0,10,43,34,77,0,4,4,22,27,49,6,0,6,28,31,59,3,5,8,17,18,35,4,3,7,24,26,50,4,7,11,33,25,58,5,3,8,42,35,77,4,0,4,21,16,37,3,5
IREG197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
