Medicare Local,Jurisdiction,Peer group,Usage rate,Number of checks,Indigenous population
Australian Capital Territory,ACT,Metro 1,11.80%,181,"6,151"
Barwon,Vic,Regional 1,6.80%,46,"2,700"
Bayside,Vic,Metro 1,6.10%,25,"1,627"
Bentley - Armadale,WA,Metro 2,17.70%,429,"9,705"
Central Adelaide and Hills,SA,Metro 2,9.60%,145,"6,060"
Central and North West Queensland,Qld,Rural 2,10.80%,273,"10,119"
Central Coast NSW,NSW,Regional 1,5.90%,162,"10,935"
Central Queensland,Qld,Rural 1,31.60%,"1,002","12,699"
Country North SA,SA,Rural 1,12.70%,413,"13,034"
Country South SA,SA,Regional 2,9.40%,102,"4,330"
Darling Downs - South West Queensland,Qld,Regional 2,18.10%,761,"16,841"
Eastern Melbourne,Vic,Metro 2,4.60%,27,"2,365"
Eastern Sydney,NSW,Metro 1,9.60%,104,"4,326"
Far North Queensland,Qld,Rural 2,27.00%,"3,140","46,519"
Far West NSW,NSW,Rural 1,24.30%,489,"8,033"
Frankston - Mornington Peninsula,Vic,Regional 1,1.80%,11,"2,507"
Fremantle,WA,Metro 2,3.30%,28,"3,354"
Gippsland,Vic,Regional 2,12.50%,145,"4,637"
Gold Coast,Qld,Metro 2,25.20%,492,"7,802"
Goldfields - Midwest,WA,Rural 2,28.60%,"1,058","14,810"
Goulburn Valley,Vic,Regional 2,18.80%,180,"3,837"
Grampians,Vic,Regional 2,15.50%,110,"2,843"
Great South Coast,Vic,Regional 2,29.60%,127,"1,714"
Greater Metro South Brisbane,Qld,Metro 2,22.80%,"1,190","20,862"
Hume,Vic,Regional 2,11.00%,105,"3,818"
Hunter,NSW,Regional 1,11.10%,770,"27,872"
Illawarra - Shoalhaven,NSW,Regional 1,15.90%,513,"12,898"
Inner East Melbourne,Vic,Metro 1,4.90%,16,"1,318"
Inner North West Melbourne,Vic,Metro 1,14.60%,77,"2,116"
Inner West Sydney,NSW,Metro 1,10.20%,160,"6,279"
Kimberley - Pilbara,WA,Rural 2,15.60%,"1,048","26,948"
Loddon - Mallee - Murray,Vic,Regional 2,10.70%,129,"4,814"
Lower Murray,Vic,Rural 1,22.10%,205,"3,709"
Macedon Ranges and North Western Melbourne,Vic,Metro 3,5.50%,43,"3,131"
Metro North Brisbane,Qld,Metro 2,29.50%,"1,301","17,629"
Murrumbidgee,NSW,Regional 2,21.00%,526,"10,021"
Nepean - Blue Mountains,NSW,Regional 1,10.00%,281,"11,196"
New England,NSW,Regional 2,15.60%,744,"19,082"
North Coast NSW,NSW,Regional 2,22.50%,"1,452","25,797"
Northern Adelaide,SA,Metro 3,6.80%,154,"9,086"
Northern Melbourne,Vic,Metro 3,6.60%,82,"4,983"
Northern Sydney,NSW,Metro 1,2.10%,7,"1,328"
Northern Territory,NT,Rural 2,25.60%,"4,407","68,846"
Perth Central and East Metro,WA,Metro 2,25.40%,574,"9,054"
Perth North Metro,WA,Metro 2,21.40%,372,"6,965"
Perth South Coastal,WA,Regional 1,9.90%,146,"5,872"
South Eastern Melbourne,Vic,Metro 3,4.10%,30,"2,920"
South Eastern Sydney,NSW,Metro 2,6.90%,63,"3,652"
South West WA,WA,Regional 2,10.30%,283,"10,986"
South Western Melbourne,Vic,Metro 2,15.30%,75,"1,960"
South Western Sydney,NSW,Metro 3,9.90%,395,"15,918"
Southern Adelaide - Fleurieu - Kangaroo Island,SA,Metro 2,2.30%,28,"4,888"
Southern NSW,NSW,Regional 2,16.00%,274,"6,857"
Sunshine Coast,Qld,Regional 1,8.60%,152,"7,051"
Sydney North Shore and Beaches,NSW,Metro 1,3.10%,13,"1,653"
Tasmania,Tas,Regional 2,5.30%,322,"24,165"
Townsville - Mackay,Qld,Rural 1,32.90%,"2,273","27,635"
West Moreton - Oxley,Qld,Metro 3,16.30%,526,"12,920"
Western NSW,NSW,Regional 2,26.20%,"1,611","24,625"
Western Sydney,NSW,Metro 3,7.40%,259,"14,062"
Wide Bay,Qld,Regional 2,12.00%,253,"8,425"
,,,32.90%,"30,309","668,287"
